source_id,summary
14-0,"Militants armed with guns and grenades attacked the Sardar Daud hospital in Afghanistan, detonating explosives at the gate and opening fire on staff and patients. Afghan commandos killed all four attackers after several hours of fighting. The Islamic State (IS) group claimed responsibility, while the Taliban denied involvement. Over 50 people were wounded. Afghan President Ashraf Ghani condemned the attack as violating human values and religious sanctity. This incident marks a shift in IS tactics, as it is their first direct engagement with security forces in Kabul, previously targeting mainly civilian gatherings. Observers suggest IS may now have increased resources and military training, potentially leading to more attacks. IS has been active in Afghanistan since declaring its Khorasan Province in 2015, carrying out multiple deadly attacks, including recent assaults on Kabul's Supreme Court and religious gatherings. The Afghan government has struggled to fully dislodge IS from mountainous areas despite some successes. The Taliban has also continued attacks, recently killing 16 people in Kabul."
14-1,"The passage discusses the 2014 Booker Prize shortlist, highlighting Neel Mukherjee's ""The Lives of Others"" as the bookmakers' favourite. This year marks the first time the prize is open to all English-language authors regardless of nationality. The shortlist includes British authors Howard Jacobson and Ali Smith, Americans Joshua Ferris and Karen Joy Fowler, and Australian Richard Flanagan. Fowler's novel ""We Are All Completely Beside Ourselves"" is the best-selling among the shortlisted titles. The winner will be announced at London's Guildhall, with the ceremony broadcast on BBC. The judging panel is chaired by AC Grayling. The passage also notes criticism of the shortlist's strength and debates about literary merit versus readability."
14-2,"Mark Carney, Governor of the Bank of England, surprised many by deciding to extend his term by only one year, until 2019, rather than leaving in 2018 as originally planned or staying until 2021. His decision was driven primarily by personal considerations, particularly his family's educational milestones and their planned return to Canada. Carney acknowledged the importance of providing stability during Britain's Brexit negotiations, but ultimately chose a shorter extension due to family circumstances. He emphasized that his decision was entirely personal, unrelated to political pressures or criticism of the Bank's Brexit forecasts. Theresa May supported his choice, leaving the decision entirely to him. Carney's departure in 2019 will coincide with the expected completion of the Article 50 process, after which a new governor will guide Britain's economic future."
14-3,"Adrian Gill, a prominent journalist and columnist for the Sunday Times since 1993, has died following a cancer diagnosis he described as the ""full English"" due to its severity. Known for his fearless, witty, and controversial writing style, Gill overcame dyslexia by dictating his articles over the phone. His work often sparked controversy, notably through provocative comments about various places and people. Colleagues and peers praised him as a brilliant, compassionate, and unique writer. Gill was married twice, including to current Home Secretary Amber Rudd, and had four children. Shortly before his death, he became engaged to his long-term partner Nicola Formby."
14-4,"The passage describes three prominent hacker groups involved in the Ukraine-Russia conflict: the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International. The Ukrainian Cyber Troops, led by Yevhen Dokukin, conduct cyber-attacks such as DDoS attacks, hacking CCTV systems, disrupting rebel funding, and hijacking network printers to spread pro-Ukrainian messages. They have also leaked data suggesting Russian military involvement in Ukraine. Cyber Berkut, an anti-Western group opposing Ukraine's government, hacks Ukrainian government websites, electronic billboards, and election systems, and claims to have obtained sensitive documents related to U.S. military assistance to Ukraine. Anonymous International, also known as Shaltay Boltay, publishes leaked Kremlin documents, including material related to Ukraine, and its website is blocked in Russia. Ukrainian officials deny using hacker-obtained data for military targeting."
5-0,"James Milner, a former Manchester City player, earned 61 senior caps for England after debuting in 2009, participating in two World Cups and two European Championships, though he played only three minutes at Euro 2016. He holds the record for most England Under-21 caps with 46 appearances since 2004. Milner scored his sole international goal during England's 5-0 win against Moldova in the 2014 FIFA World Cup qualifiers. Upon retiring from international football, Milner expressed support and good wishes for manager Sam Allardyce and the England team."
5-1,"Brad Wilk is best known as the drummer for the rock bands Rage Against the Machine (1991–2000; 2007–11) and Audioslave (2001–07). He began his career with Greta in 1990 and co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in 1991. As of 2016, Wilk plays in the band Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also mentions a separate German heavy metal band named Rage, formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke, previously interim manager at Kilmarnock, has been appointed permanently on a three-year contract. Locke initially joined as assistant manager to Allan Johnston last summer and took charge after Johnston resigned in February. Since then, Locke has lost only one of seven matches. He will address the media at a press conference on Friday morning."
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News. He previously had full control as Chairman and CEO of News Corporation, a global media holding company, which split into News Corp and 21st Century Fox on 28 June 2013. His younger son, James Rupert Jacob Murdoch, is CEO of 21st Century Fox and chairman of Sky plc."
15-0,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small,"" portraying Winston Churchill, and appearing as Cornelius Fudge in the Harry Potter films, is auctioning off his extensive antique collection due to downsizing his home. The auction, conducted by Dominic Winter Auctioneers in Gloucestershire, includes 238 lots such as furniture, paintings, swords, rifles, silverware, crystal chandeliers, and rare books dating back to the 17th century. Notable items include a specially commissioned 1960s diorama of the Battle of Agincourt, a yew longbow with a mother-of-pearl handle, and a portrait of Hardy holding the bow. Hardy, 89, studied English under J.R.R. Tolkien and C.S. Lewis, is an expert on medieval longbows, and has published two books on the subject. He expressed sadness at parting with his treasured collection but hopes the new owners will find joy in the items. Hardy retired from stage acting after a fall two years ago but intends to continue television work."
