source_id,summary
15599,"Blue Bell Ice Cream has temporarily closed its Broken Arrow, Oklahoma, manufacturing plant due to listeria contamination found in a serving of ice cream from that facility. The CDC has warned consumers against eating Blue Bell products from this plant, specifically 3-ounce servings marked with letters O through T behind the coding date, distributed to institutions. This warning does not apply to other Blue Bell products made elsewhere. The company has recalled certain products and is investigating the contamination source. Listeria was found in a cup from the Broken Arrow plant dated April 2014, matching samples from the plant but not directly linking to a Kansas hospital outbreak where five were infected and three died. A separate Texas outbreak from 2010-2014 showed a genetic match between patient samples and Blue Bell product samples. The CDC notes that investigations continue to determine if Blue Bell products are the source of these illnesses. Blue Bell's CEO expressed devastation and commitment to improvement. This is the first recall in the company's 108-year history. Listeriosis, caused by listeria, is a severe infection affecting vulnerable populations, with significant health risks including death and pregnancy complications."
15601,"An outside review by Columbia Journalism School professors criticized Rolling Stone for a flawed article about an alleged gang rape at the University of Virginia, citing failures in reporting, editing, editorial supervision, and fact-checking. Rolling Stone's managing editor, Will Dana, issued an apology to readers and those affected, including the Phi Kappa Psi fraternity and UVA community. The passage explores the potential for defamation lawsuits against Rolling Stone by UVA, Phi Kappa Psi, or other campus fraternities. It notes that UVA, as a governmental entity, cannot sue for defamation. For Phi Kappa Psi, a key issue is whether defamatory statements about a group can be actionable by individual members; generally, groups cannot sue unless the defamatory content targets a small, identifiable group where harm to individuals is clear. Rolling Stone may argue the fraternity is too large and fluid to establish individualized injury. The passage concludes that while defamation suits are rare due to the need to prove financial harm, this case could potentially succeed if Phi Kappa Psi members overcome initial legal hurdles and demonstrate tangible damages."
15604,"In this passage, a former Kentucky State Senator, the first woman and person of color to serve in that body since 1967, criticizes Rand Paul, a current U.S. Senator from Kentucky, as he announces his presidential campaign. The author disputes Paul's campaign message of ""expanding the Republican Party"" and inclusion, arguing that his policies do not support minority communities. Specifically, the author highlights Paul's opposition to the Civil Rights Act, his desire to eliminate the Department of Education, his stance against women's choices, and his opposition to protections for DREAMers. Additionally, Paul has been dismissive of the need for a stronger Voting Rights Act and has been perceived as condescending in engagements with historically black colleges. The author concludes that Paul's views are outdated and disqualifying for a presidential candidate, asserting that the American people deserve a leader who respects their intelligence and supports democratic progress."
15613,"Mary Kay Letourneau Fualaau, a former teacher, and Vili Fualaau, her former student, are still together and will celebrate their 10th wedding anniversary on May 20. Their relationship began in 1996 when Letourneau was 34 and Fualaau was 13, leading to her serving over seven years in prison for related charges. They married in 2005 after her release and have two teenage daughters. In an upcoming ""20/20"" interview with Barbara Walters, Letourneau, now 53, discusses their marriage, her plans to teach again, and her desire to remove her registered sex offender status. Vili, now 31, talks about his struggles with alcoholism and depression, and his belief that the system failed him as a minor."
15616,"Kanye West settled a civil lawsuit with paparazzi photographer Daniel Ramos, who sued West after an assault at Los Angeles International Airport in July 2013. West had previously pleaded no contest to a misdemeanor battery charge related to the incident, receiving two years' probation, anger management sessions, and community service. The settlement, reached just before the trial, included an apology from West to Ramos, though other details were not disclosed. The original altercation, captured on video, showed West attempting to take Ramos's camera. Ramos's lawyer, Gloria Allred, emphasized that the case demonstrated celebrities are not above the law. Additionally, West had settled another civil case in 2014 related to an assault in Beverly Hills."
15617,"B.B. King, the blues legend, was recently hospitalized for dehydration due to his Type II diabetes but has since recovered and returned home. His daughter, Claudette King, and publicist, Angela Moore, confirmed his improved condition and his determination to not disappoint his fans. King, who expressed gratitude for the concern shown by his fans, is now resting at home with his grandchildren. Known as the ""King of the Blues,"" B.B. King, whose nickname originated from his days as a Memphis disc jockey, was inducted into the Rock and Roll Hall of Fame in 1987 and has 30 Grammy nominations. He is famous for naming his Gibson guitars ""Lucille,"" with a custom model created exclusively for him. Some of his notable hits include ""The Thrill Is Gone,"" which earned him his first Grammy in 1970. Last year, he also faced health issues due to dehydration and exhaustion, leading to the cancellation of a tour after a show in Chicago."
15623,"Chris Copeland of the Indiana Pacers was stabbed outside the Fulton Houses project in New York early Wednesday after leaving the 1OAK nightclub in Chelsea. The incident occurred around 4 a.m., and Copeland, along with his companion Katrine Saltara, sustained injuries; Copeland was stabbed in the abdomen and elbow, and Saltara received cuts to her arm, breast, and buttock. Another woman was also injured. A suspect was detained by Copeland’s driver and is in police custody with charges pending. Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, were arrested on charges of obstructing governmental administration and disorderly conduct, with Sefolosha also charged with resisting arrest, after they pushed through a crowd at the scene. They were not involved in the stabbing. Copeland is in stable condition in a New York hospital. The Hawks, in New York for a game against the Brooklyn Nets, and the Pacers, set to play the Knicks, issued statements expressing concern and are gathering more information about the incident."
15627,"Twenty years after her death, Tejano star Selena is being brought back as a hologram-like figure named ""Selena the One"" through a project by her family and Acrovirt LLC, a Nevada-based tech company. This digital embodiment will sing, dance, and interact, using advanced technology to replicate Selena's persona. Her sister, Suzette Quintanilla, emphasizes that the project is not meant to replace Selena but to continue her legacy, especially for new fans. The virtual Selena will release new music, collaborate with current artists, and is planned to tour in 2018. This technology is a pioneering step, with Selena being the first to use it, and follows previous virtual performances by artists like Michael Jackson and Tupac Shakur. An Indiegogo campaign to support the project aims to raise $500,000 and starts on April 16, coinciding with the Fiesta de la Flor celebration in Corpus Christi, Texas, on April 17 and 18. Selena remains highly popular, with 2 million likes on her Facebook page."
15628,"On Monday afternoon, Alaska Airlines Flight 448, en route from Seattle-Tacoma International Airport to Los Angeles, returned to the airport shortly after takeoff due to unusual banging from the cargo hold. The source of the noise was a ramp agent from Menzies Aviation, a contractor for Alaska Airlines, who had fallen asleep in the cargo hold. The cargo hold was pressurized and temperature-controlled, and the plane was only airborne for 14 minutes, ensuring the agent was not in danger. Passengers heard the banging and faint screams for help, prompting a federal air marshal to respond by banging back and reassuring the trapped individual. After an emergency landing, the agent was found to be okay, passed a drug test, and was discharged from a hospital after a precautionary check. The agent, part of a four-person baggage loading team, was reported missing by his team lead before the flight but was assumed to have gone home. Alaska Airlines is investigating the incident, and the flight, carrying 170 passengers and six crew members, eventually reached Los Angeles after the delay."
15634,"Emy Afalava, a decorated veteran born in American Samoa, a U.S. territory, is denied U.S. citizenship and the right to vote despite being subject to American law his entire life. The Fourteenth Amendment supports citizenship for those born in the U.S. and under its jurisdiction, yet the federal government classifies Afalava as a non-citizen. This issue, highlighted during the 115th anniversary of American Samoa joining the U.S., is being challenged in a federal lawsuit before the D.C. Circuit. Historically, U.S. citizenship was granted to those born on U.S. soil, but racial discrimination has influenced exceptions, as seen in the Dred Scott case and the case of Isabel Gonzalez from Puerto Rico. Despite legal challenges and partial victories, full citizenship rights have often been withheld from residents of U.S. territories due to racial biases in court rulings. American Samoans, including Afalava, remain the last group of Americans awaiting citizenship, a situation rooted in historical precedents of racial discrimination that have been widely criticized and partially overturned."
