source_id,summary
14-0,"Militants armed with guns and grenades attacked a hospital in Afghanistan, killing and injuring many. The Islamic State (IS) group claimed responsibility for the attack, while the Taliban denied involvement. The attack marked a change in IS tactics, showing their ability to engage directly with security forces in the capital. The Afghan government has been fighting IS militants in the east but has not completely dislodged them. The attack at the hospital suggests IS may be expanding its attacks. The assault ended after several hours of fighting, with all attackers killed by commandos. The attack is part of IS's increased activity in Afghanistan and Pakistan since declaring its Khorasan Province in 2015."
14-1,"The passage discusses the shortlist for the Booker Prize, including the favorite, Mukherjee's ""The Lives Of Others,"" and other contenders like Jacobson, Smith, Ferris, Fowler, and Flanagan. It mentions the themes and backgrounds of some of the nominated books, as well as their sales figures. The passage also touches on the debate surrounding the literary merit of the nominated works and the judging panel for the prize."
14-2,"The passage discusses the decision of Mark Carney, Governor of the Bank of England, to extend his term by one year instead of the expected full extension until 2021. The decision was influenced by personal factors, including his daughters' education and family circumstances. Carney's choice to leave in 2018 aligns with his family's plans to return to Canada. Despite speculation and considerations related to Brexit negotiations and economic stability, Carney's decision was primarily driven by personal reasons rather than political pressure or economic forecasts."
14-3,"The passage discusses the life and death of journalist Adrian Gill, who was diagnosed with multiple cancers and passed away suddenly. Gill was a highly respected journalist known for his controversial yet brilliant writing style. Despite facing criticism for some of his articles, he was praised for his wit and intelligence. Gill's final column in the Sunday Times focused on his battle with cancer. He was remembered by colleagues and peers as a giant in journalism and a kind man. Gill overcame dyslexia to become a successful writer and had a significant impact on the field."
14-4,"The passage describes the activities of various cyber warfare groups involved in the conflict between Ukraine and Russia. The Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International are highlighted for their hacking and cyber warfare tactics. The Ukrainian Cyber Troops target rebel websites, disrupt separatist funding, and monitor rebel-held areas. Cyber Berkut focuses on anti-Western activities, hacking government websites and leaking confidential documents. Anonymous International publishes leaked documents from the Kremlin and focuses on Russia's domestic affairs. The passage also mentions the use of hacked information by Ukraine's security services, but officials deny using data obtained through hacking for directing artillery fire."
5-0,"The passage discusses James Milner, a former Manchester City player who earned 61 caps for England. He participated in two World Cups and two European Championships, with limited playing time at Euro 2016. Milner holds the record for the most capped England Under-21 player with 46 caps and scored his only international goal during a 2014 FIFA World Cup qualifier against Moldova. He expressed well wishes to Sam Allardyce, the players, staff, and supporters after a decision was made."
5-1,"Brad Wilk is a drummer known for his work with rock bands Rage Against the Machine and Audioslave. He started his career with Greta in 1990 and co-founded Rage Against the Machine in 1991. As of 2016, he is part of the band Prophets of Rage."
5-2,Gary Locke has been appointed as the permanent manager of Kilmarnock after initially serving as the interim manager. He signed a three-year deal after taking over the team when the previous manager left in February. Locke has only lost one game out of seven since assuming the role.
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News. His son, James Rupert Jacob Murdoch, is an Australian, British, American businessman who is the CEO of 21st Century Fox and chairman of Sky plc. Rupert Murdoch had full control as Chairman and CEO of global media holding company News Corporation, which split into News Corp and 21st Century Fox in 2013."
15-0,"Veteran actor Robert Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is selling his extensive collection of antiques in a £100,000 auction to downsize his home. The collection includes over 200 items he has collected over his career, such as a diorama of the Battle of Agincourt and a longbow. Hardy, an expert on the medieval longbow and military history, has a keen interest in classic literature. The auction includes paintings, furniture, swords, rifles, silverware, crystal chandeliers, and books dating back to the 17th century. The auction is set to take place at Dominic Winter in Gloucestershire, with 238 lots up for sale. Hardy expressed sadness at parting with his collection but entrusted its sale to Dominic Winter and Co. He has had a distinguished career in acting, working with top actors and gaining national fame for his role in ""All Creatures Great and Small."" Hardy has also portrayed Winston Churchill in various television dramas and appeared in the Harry Potter films. Despite retiring from stage acting due to a fall, he plans to continue working in television."
15-1,"Veteran actor Robert Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is selling his extensive collection of antiques in a £100,000 auction to downsize his home. The collection includes over 200 items, such as a diorama of the Battle of Agincourt, early Victorian furniture, a longbow, and a portrait of Hardy holding the bow. The auction also features paintings, swords, rifles, silverware, crystal chandeliers, and books dating back to the 17th century. Hardy, a military historian and expert on the medieval longbow, studied English with J.R.R. Tolkien and C.S. Lewis at Magdalen College, Oxford. Despite his sadness at parting with his collection, Hardy expressed his hope that the new owners will find joy and pleasure in the items. Hardy, who has worked with esteemed actors and found fame in various roles, including in the ""Harry Potter"" films, plans to continue his television work despite retiring from stage acting."
15-2,"Veteran actor Robert Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is selling his extensive collection of antiques in a £100,000 auction to downsize his home. The collection includes over 200 items he has collected over his career, such as a diorama of the Battle of Agincourt and a longbow. Hardy, an expert on the medieval longbow and military history, has a keen interest in classic literature. The auction includes paintings, furniture, swords, rifles, silverware, crystal chandeliers, and books dating back to the 17th century. The auction is set to take place at Dominic Winter in Gloucestershire, with 238 lots up for sale. Hardy expressed sadness at parting with his collection but entrusted its sale to Dominic Winter and Co. He has a long history in acting, including working with esteemed actors and gaining national fame for his role in ""All Creatures Great and Small."" Hardy has also portrayed Winston Churchill in various television dramas and appeared in the Harry Potter films. Despite retiring from stage acting due to a fall, he plans to continue working in television."
15-3,"A major study on alcohol use in the United States found that heavy drinking and binge-drinking have increased significantly, especially among women. The rise in drinking rates is attributed to changing social norms and economic factors. The study revealed that despite the increase in heavy drinking, the percentage of people who drink any alcohol has remained relatively unchanged. The study also highlighted the impact of alcohol-related deaths and costs, as well as the challenges in getting individuals to seek treatment for alcoholism. Various cultural and economic factors, such as social acceptability, affordability, and advertising, were identified as contributing to the increase in excessive drinking."
