source_id,overview
13601,"Finch & Fork is a restaurant and bar located at 31 W Carrillo St, Santa Barbara, CA. It falls under categories including Breakfast & Brunch, American (New and Traditional), Restaurants, Nightlife, and Bars. The business holds a 4.0-star rating.

Operating hours are Monday 5:30 PM - 11:00 PM, Tuesday to Saturday 5:00 PM - 9:00 PM, and Sunday 9:00 AM - 2:00 PM.

Key attributes include available parking (garage, street, validated, valet), acceptance of reservations, free WiFi, takeout availability, and suitability for groups. The establishment does not have outdoor seating or music, and its ambiance is described as classy.

Customer reviews mention positive experiences with brunch, specifically highlighting a ""bottomless brunch"" deal for mimosas with multiple flavor options (orange, grapefruit, cranberry). Dishes like the breakfast burrito, steak/eggs/frites, and eggs benedict were praised as delicious and filling. Service was frequently noted as good, awesome, hospitable, fast, and on point, with specific servers named Matthew and Jamie receiving positive mentions. The restaurant is located inside a hotel lobby, contributing to a nice, classy ambiance. One review indicated that the food, while great in taste and quality, was considered overpriced."
13603,"Tinker's Burgers, located at 2275 Ortega Hill Rd, Ste C in Summerland, CA, is a restaurant specializing in burgers. It operates daily from 11:00 AM to 5:00 PM. The establishment has an overall rating of 4.0 stars.

Attributes include street parking, outdoor seating, and takeout availability. Tinker's Burgers does not accept reservations, offer WiFi, valet, garage, or lot parking. It is considered good for groups, with an ambiance described as both ""divey"" and ""classy"".

Customer reviews mention specific menu items like the Sourdough Bacon Cheeseburger, double cheeseburger (available with an egg), fries, corn dog, freeze, and malt. Some reviewers praise the food as ""excellent"" and ""superb,"" calling the place a ""hidden gem"" and becoming regular customers. However, one review notes a long wait time (approximately 30 minutes for an order) and describes the food as good but not above average. This review also criticizes the service, specifically mentioning difficulty obtaining extra ketchup and passive-aggressive staff behavior, leading the customer to decide against returning."
13604,"Benchmark Eatery is located at 1201 State St in Santa Barbara, CA. It operates in several categories including American (Traditional and New), Breakfast & Brunch, Seafood, Vegetarian, Bars, and Event Planning & Services. The establishment is closed on Mondays and generally open from 11:30 AM on other days, with closing times varying between 4:00 PM and 8:00 PM depending on the day.

Key attributes include the availability of garage, street, and lot parking, outdoor seating, free WiFi, and takeout services. The restaurant does not take reservations but is considered good for groups. The ambiance is described as classy and casual. Benchmark Eatery has an overall business rating of 4.0 stars.

Customer reviews offer mixed feedback. One reviewer enjoyed their flatbreads and found the clam chowder tasted good, though a bit thick, describing the place as friendly and upscale casual. Another reviewer had a negative experience, citing order inaccuracies (unwanted tomato), bland and unseasoned food (grilled chicken, burger, onion rings), messy sandwich construction, and okay service requiring prompting for refills. This reviewer also experienced stomach discomfort after the meal, questioned food freshness, noted an unpleasant cleaning spray smell, and found the menu overwhelming. A third reviewer reported multiple positive visits, specifically mentioning enjoying the burrito, though noted inconsistency in the spiciness of the Spanish soup."
13613,"Based on the provided data:

Pizza Mizza is a business in Santa Barbara, CA, categorized as Food Delivery Services, Restaurants, Pizza, and Italian. It operates from 11:00 AM to 9:00 PM on Mondays and Sundays and holds a 3.5-star rating. The establishment offers lot parking, accepts reservations, has outdoor seating, provides free WiFi, offers takeout, is suitable for groups, and has a casual ambiance.

Customer reviews highlight several key points. Some customers indicate the business is currently operating only for delivery. The menu is described as extensive, featuring a wide variety of pizzas (including cauliflower and gluten-free crusts), pastas, and salads. Food quality receives positive mentions, with praise for fresh ingredients and crust, and one reviewer considering it their favorite pizza. However, another review describes the pizza place as average. Significant criticism focuses on customer service, citing experiences with long wait times (over 30 minutes), staff perceived as inattentive, and order delays leading to refunds. One delivery experience noted a one-hour wait time but was positive overall due to included extras like ranch and plates."
13614,"Taffy's Pizza, located at 2026 De La Vina St in Santa Barbara, CA, is categorized as a restaurant specializing in pizza. It operates Tuesday through Saturday from 11:00 AM to 9:00 PM, Sunday from 12:00 PM to 8:00 PM, and is closed on Mondays.

The business has a 4.0-star rating. Attributes include street and lot parking, acceptance of reservations, outdoor seating, free WiFi, takeout availability, and suitability for groups. The ambiance is described as casual.

Customer reviews highlight several aspects. Positive feedback mentions enjoyment of the pizza, beer selection, breadsticks, salads, pastas, and sandwiches, noting a wide variety of toppings and reasonable prices. Some customers appreciate the customer service, free delivery (though it may take time), family-friendly atmosphere with an arcade room and children's books, and long-term patronage. One negative review cited an instance where the restaurant reportedly refused to accept an ""axxess card"" and expressed dissatisfaction with the chicken piccata, leading to a poor first-time experience."
13619,"Goodland Kitchen is located at 231 S Magnolia Ave, Goleta, CA. Its business categories include Food, Local Services, Farmers Market, Professional Services, American (New), Restaurants, and Shopping. The establishment operates Monday through Friday from 7:00 AM to 2:00 PM.

Key attributes include the availability of street parking, outdoor seating, and takeout services. Goodland Kitchen does not accept reservations and does not offer Wi-Fi. It is considered good for groups, with an ambiance described as both classy and casual. The business holds an overall rating of 3.5 stars.

Customer reviews highlight that the business offers takeout and has friendly service. Specific food items mentioned positively include chorizo, chips, and large salads. One review noted a reopening in late 2020. Another review from 2019 expressed disappointment, stating the food had become standard, lunch specials were no longer offered despite being listed online, and mentioned issues with bread quality on a BLT and soup availability."
13632,"Sam's To Go, located at 315 Meigs Rd, Ste I in Santa Barbara, CA, operates as a sandwich shop, restaurant, and New American eatery. It holds a 4.5-star rating. The business is open Monday through Saturday from 10:00 to 21:00 and Sunday from 10:00 to 19:30.

Key attributes include the availability of a parking lot, outdoor seating, free Wi-Fi, and takeout services. Sam's To Go does not take reservations but is considered good for groups.

Customer reviews highlight several aspects. Positive feedback mentions delicious sandwiches, specifically citing the #11 Italian cold cuts, #29 veggie sandwich, and Pastrami Avocado and Cheese. Reviewers noted fresh bread, quality ingredients, and large portion sizes, with one mentioning the medium size is substantial. Some customers described the service as excellent, sweet, nice, and funny. Conversely, one review expressed disappointment with a turkey sandwich, describing it as sloppily made, poorly wrapped, and indicating a perceived decline in quality. This review also reported poor customer service, describing a staff member as cantankerous with a bad attitude."
13633,"Viva Modern Mexican, located at 1114 State St in Santa Barbara, CA, operates across various categories including Mexican, Latin American, Peruvian, Seafood, Tapas/Small Plates, Breakfast & Brunch, Bars, Cocktail Bars, Nightlife, Venues & Event Spaces, and Event Planning & Services. The business offers garage and street parking, accepts reservations, provides outdoor seating, free WiFi, and takeout. It is considered good for groups and has a classy ambience. Operating hours are not specified. The business has an overall rating of 3.5 stars.

Customer reviews highlight mixed experiences. One review praises the margarita flights and salads, expressing sadness about a potential closure. Another review details a very negative experience, reporting severe food poisoning requiring ER treatment for one diner and an injury from broken glass. A third review describes a successful rehearsal dinner and welcome party hosted in the upstairs event space for 30-75 guests, commending the taco buffet, the helpfulness of the Events Coordinator (Dina), and the overall staff performance for the event."
13637,"Hollister Brewing Company, located at 6980 Marketplace Dr in Goleta, CA, operates as a restaurant, brewery, and brewpub featuring American (Traditional) food. The establishment is open daily, with hours from 11:30 AM to 7:30 PM Monday through Thursday and Sunday, and 11:30 AM to 8:00 PM on Friday and Saturday.

The business offers several amenities including lot parking, outdoor seating, free WiFi, takeout, and accepts reservations. It is considered good for groups and has a classy and casual ambience. Hollister Brewing Company has an overall rating of 3.5 stars.

Customer reviews mention a new chef and menu, with one reviewer expressing excitement about improved flavors, specifically praising the Korean chicken wings and house-made dressings, and noting the convenience of the location and on-site brewing. However, other reviews report negative experiences, including dissatisfaction with the new menu compared to the old one, perceptions of unfriendly staff, allegations of staff drinking on the job and ignoring guests, and complaints about very slow service and long wait times for ordering."
13669,"Jeannine's American Bakery Restaurant, located at 7060 Hollister Ave, Ste 105 in Goleta, CA, operates as a bakery, restaurant, and coffee & tea spot specializing in American (Traditional) and Breakfast & Brunch cuisine. The establishment has a 4.5-star rating. It offers lot parking, outdoor seating, free WiFi, and takeout services. The ambiance is described as classy.

The restaurant is open Wednesday through Friday from 7:30 AM to 1:30 PM, and Saturday and Sunday from 7:30 AM to 2:00 PM. It is closed on Mondays (hours for Tuesday are not provided).

Customer reviews mention varied experiences. Positive feedback highlights excellent food and service, a cute ambiance, delicious French toast, avocado toast, matcha lattes, tasty eggs, fresh orange juice, and notably good bacon. Negative feedback includes disappointment with coffee, chilaquiles (described as bitter with overcooked eggs), and croissants, with one reviewer finding the fresh orange juice not tasty and the overall breakfast expensive for the quality received compared to another location. French toast was mentioned positively even in a critical review."
13673,"Holdren's Grill is located at 6920 Market Pl Dr in Goleta, CA. It operates in the Seafood, American (New and Traditional), Steakhouse, Restaurant, Nightlife, and Bar categories. The establishment is open daily from 4:00 PM, closing at 9:00 PM Sunday through Thursday, and at 10:00 PM on Friday and Saturday.

Attributes include a parking lot, acceptance of reservations, outdoor seating, free WiFi, takeout availability, suitability for groups, and an intimate ambience. The business has an overall rating of 2.5 stars based on review data.

Customer reviews offer mixed perspectives. One reviewer frequently visits and reports consistent, good experiences with food (noting a wide variety including steaks and appetizers priced around $20-$30 per person) and excellent, attentive service. Conversely, another review describes ""horrible service"" despite finding the pricey food good. A third review found the food ""terrible"" (burnt steaks, undercooked fish) and reported significant billing errors resulting in substantial overcharges."
13688,"Uniboil, located at 5599 Hollister Ave, Unit C in Goleta, CA, operates in the Food, Bubble Tea, Chinese, Restaurants, Asian Fusion, and Hot Pot categories. The restaurant is open Tuesday through Sunday from 11:30 to 20:30 and is closed on Mondays. It has an overall business rating of 4.0 stars.

Attributes include lot parking, acceptance of reservations, outdoor seating, free WiFi, takeout availability, and suitability for groups. The ambience is described as trendy and casual.

Based on customer reviews:
*   The restaurant offers both indoor and outdoor dining and is connected to Phresh Tea, allowing customers to order Boba.
*   Hotpots are a known offering, mentioned as having large portions and reasonable prices. Specific dishes like Beef Thai Tom Yum Hotpot, Korean Army Stew, sizzling beef, and popcorn chicken were reviewed, with varying opinions.
*   The beef noodle soup received negative feedback regarding meat quality and was reported unavailable by one customer.
*   Boba drinks were praised by one reviewer.
*   Parking is described as easy with plenty of spaces.
*   Customer service experiences were mixed, described as friendly but sometimes inconsistent or slow. One review noted difficulty getting a table and unavailability of certain menu items."
