source_id,summary
15599," Blue Bell Creameries has temporarily closed its Broken Arrow, Oklahoma, manufacturing plant after discovering listeria contamination in a 3-ounce serving of ice cream produced there. The Centers for Disease Control and Prevention (CDC) has warned consumers not to consume any products from this plant, which include 3-ounce servings marked with the letters O, P, Q, R, S, or T behind the coding date. The recall does not affect other Blue Bell products. The company is investigating the contamination and has recalled other products as a precaution. Listeriosis, caused by the bacteria Listeria monocytogenes, primarily affects the elderly, pregnant women, newborns, and people with weakened immune systems. Symptoms include fever, muscle aches, and gastrointestinal issues. The CDC advises institutions and individuals to check their freezers for the recalled products and discard them."
15601," Rolling Stone magazine published a flawed article about a purported gang rape at the University of Virginia (UVA), prompting an external review by Columbia Journalism School professors that highlighted significant editorial failures. The article's portrayal of a fraternity, Phi Kappa Psi, as involved in the alleged incident has led to potential legal repercussions. While UVA, as a public university, cannot sue for defamation due to its status as a governmental entity, Phi Kappa Psi may pursue legal action. The fraternity could argue that the defamatory statements were ""of or concerning"" them, as the article's implications were easily imputed to individual members, causing harm to their reputations. However, Rolling Stone's lawyers might counter that the fraternity is a large and fluid group, making it difficult to prove individualized injury. The fraternity would need to demonstrate tangible damages and overcome the high legal thresholds for defamation cases involving private individuals."
15604," The passage highlights the political career of Kentucky State Senator Rand Paul, focusing on his controversial views and policies. It emphasizes his opposition to landmark voting rights and civil rights legislation, questioning the Civil Rights Act and opposing protections for DREAMers. The author criticizes Paul's stance on women's rights, education, and his dismissive attitude towards the need for a more robust Voting Rights Act. The passage concludes by stating that the American people deserve a leader who respects their intelligence and works to protect progress made over the last five decades, asserting that Rand Paul is not the right choice for the country."
15613," Mary Kay Letourneau Fualaau, a 34-year-old teacher and mother of four, began an affair with her 13-year-old student, Vili Fualaau, in 1996. She served over seven years in prison for charges related to their sexual relationship and gave birth to his child. The couple, now married for nearly 10 years, has two teenage daughters. In an exclusive interview with ABC's ""20/20,"" Mary Kay discusses what makes their marriage work despite their age difference, her plans to teach again, and her intention to have her status as a registered sex offender lifted. Vili Fualaau opens up about his struggles with alcoholism, depression, and his belief that the system failed him as a minor."
15616," Kanye West settled a lawsuit with paparazzi photographer Daniel Ramos, who had accused West of assaulting him and attempting to take his camera at Los Angeles International Airport in July 2013. The incident, which was caught on video, led to West pleading no contest to a misdemeanor battery charge and receiving two years' probation, anger management sessions, and community service. The civil suit, seeking general and punitive damages, was settled out of court, with West offering an apology to Ramos, who filed a dismissal of the case. The settlement details were not disclosed."
15617," B.B. King, the 89-year-old blues legend, was hospitalized for dehydration caused by his Type II diabetes but was discharged after a brief stay. Despite his health struggles, King remained determined to perform and not disappoint his fans. He is now back home, resting and spending time with his grandchildren. King, known for his hits like ""The Thrill Is Gone"" and ""When Love Comes to Town,"" has a history of health issues, including a similar incident last year that forced him to cancel his tour."
15623," Indiana Pacers player Chris Copeland was stabbed outside a New York nightclub early Wednesday, and two Atlanta Hawks players were arrested on obstruction and other charges. The incident occurred around 4 a.m. in front of the Fulton Houses project, not at the club, 1OAK, where Copeland and his companion, Katrine Saltara, had been earlier. The Hawks players, Pero Antic and Thabo Sefolosha, were not involved in the stabbing but were arrested after interfering with officers trying to establish a crime scene. Copeland, who suffered a knife wound to his left elbow and abdomen, is in stable condition at a New York hospital. The Hawks, who had just finished a home game hours before the incident, are in New York for a Wednesday night game against the Brooklyn Nets."
15627," Selena, the Tejano star who died 20 years ago, is being brought back to life through a hologram-like figure called ""Selena the One."" The project, created by her family and Acrovirt LLC, will feature a ""walking, talking, singing and dancing digital embodiment"" of Selena. The technology will allow Selena to release new music, collaborate with current artists, and go on tour in 2018. Fans can support the launch through an Indiegogo campaign, which begins on April 16. The commemorative Fiesta de la Flor in Corpus Christi, Texas, will celebrate her life on April 17 and 18."
15628," Alaska Airlines Flight 448, en route to Los Angeles from Seattle, made an emergency landing shortly after takeoff due to unusual banging noises from the cargo hold. The source was identified as a ramp agent from Menzies Aviation, a contractor for Alaska Airlines, who had fallen asleep in the pressurized, temperature-controlled cargo hold. The plane was in the air for only 14 minutes, and the agent was unharmed, passing a drug test and being discharged from the hospital. The incident, which occurred during a pre-departure huddle, involved a four-person baggage loading team, all of whom had security badges and had undergone criminal background checks. The flight, carrying 170 passengers and six crew members, resumed its journey to Los Angeles after the emergency landing."
15634," Emy Afalava, a decorated veteran born in American Samoa, a U.S. territory since 1900, has been denied the right to vote despite being subject to American law his entire life. The Constitution, specifically the Fourteenth Amendment, declares that all persons born in the United States and subject to its jurisdiction are citizens. However, the federal government insists that Afalava is not a citizen. The D.C. Circuit is currently hearing a federal lawsuit on the matter. The history of U.S. territorial citizenship is marked by racial discrimination, as seen in the Dred Scott case, which legitimized slavery, and the Gonzalez case, which denied Puerto Ricans full citizenship rights. The upcoming decision could finally grant citizenship to American Samoans, ending the last instance of territorial disenfranchisement in the U.S."
