source_id,summary
15599,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Plant Shutdown & Warning:** Blue Bell temporarily shut down its Broken Arrow, Oklahoma manufacturing plant after listeria contamination was discovered in a serving of ice cream originating from there. Public health officials warned consumers not to eat Blue Bell products made at that plant.
2.  **Affected Product:** The specific warning applies to 3-ounce servings from the Broken Arrow plant distributed to institutions, identified by the letters O, P, Q, R, S, or T behind the coding date. Other Blue Bell products are not affected by this warning.
3.  **Recall Context:** This action is Blue Bell's third in response to a listeria outbreak at a Kansas hospital that served its ice cream. The company had previously recalled products made at a Texas plant and later added 3-ounce cups.
4.  **Contamination Evidence:** Listeria matching the strain found in an ice cream cup recovered from the Kansas hospital (produced at Broken Arrow in April 2014) was also found in samples from the Broken Arrow plant itself. The hospital/factory samples matched each other genetically but not the patient samples from Kansas.
5.  **Texas Outbreak Link:** In a separate Texas outbreak, listeria from patients matched the listeria found in recovered Blue Bell ice cream samples.
6.  **Ongoing Investigation:** The CDC states that investigations are ongoing to determine if the illnesses are related to Blue Bell products. The discovered contamination does not definitively prove the ice cream caused the outbreaks.
7.  **Human Impact:** Five people were infected and three died in Kansas in the past year from listeria potentially linked to Blue Bell; all were hospitalized at the same outbreak hospital, and at least four consumed Blue Bell milkshakes beforehand.
8.  **Company Response:** Blue Bell stated it shut the plant ""out of an abundance of caution"" to find the contamination source. The CEO expressed devastation and commitment to safety, noting this is the company's first product recall in its 108-year history.
9.  **CDC Advice:** The CDC advises individuals and institutions to check freezers for recalled products and throw them away. Blue Bell clarified that the recall does not include half gallons, pints, quarts, 3 gallons, or other 3 oz. cups."
15601,"Based solely on the provided passage, the concise summary is:

1.  **Journalistic Failure:** An outside review by Columbia Journalism School professors concluded that an institutional failure at Rolling Stone resulted in a deeply flawed article about a purported gang rape at the University of Virginia (UVA). The failure encompassed reporting, editing, supervision, and fact-checking. Rolling Stone's managing editor apologized.
2.  **Defamation Law Basics:** To sue for defamation (libel) in Virginia, a plaintiff must show: (1) publication of (2) an actionable statement (false and defamatory) with (3) the requisite intent. True statements and pure opinions are not actionable.
3.  **UVA Cannot Sue:** UVA, as a governmental entity, cannot sue for defamation under U.S. law.
4.  **Fraternities Generally Cannot Sue:** Groups like fraternities typically cannot sue for defamation. Defamatory statements about a group are generally not actionable by individual members.
5.  **Potential for Phi Kappa Psi Members:** Individual members of Phi Kappa Psi *might* sue under a ""small group"" exception if they can argue the defamatory statement is easily imputed to all members of this specific, relatively small group and they suffered individualized harm. Rolling Stone would likely argue the group is too large and fluid for this exception.
6.  **Other Fraternities:** Members of other fraternities not implicated in the story would likely find it harder to sue as they constitute a larger group.
7.  **Hurdles & Rarity:** Defamation suits are rare because plaintiffs usually need to prove financial harm. While the UVA case is unusual and potentially viable for Phi Kappa Psi members if they overcome preliminary hurdles (like the ""small group"" argument) and prove tangible damages, it faces significant legal challenges."
15604,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Author's Background:** The author was the first woman and first person of color elected to the Kentucky State Senate in 1967.
2.  **Subject:** The author criticizes Rand Paul's announcement of his campaign for President of the United States.
3.  **Core Criticism - Hypocrisy on Inclusion:** Paul's campaign claims a message of ""expanding the Republican Party"" and inclusion, but the author argues this is just hype. Paul tries to brand himself as a different Republican focused on minority outreach, but his policies contradict this.
4.  **Specific Criticisms of Paul's Record:** The author details Paul's positions they view as harmful and regressive:
    *   Questioning the Civil Rights Act.
    *   Advocating for the elimination of the Department of Education.
    *   Seeking to limit women's choices.
    *   Opposing protections for DREAMers from deportation.
    *   Making condescending remarks during speeches at historically black colleges.
    *   Claiming private business owners have a right to discriminate.
    *   Dismissing the need for a stronger Voting Rights Act.
5.  **Author's View of Impact:** The author believes Paul would take the country backward, undoing progress made over the last five decades, and that his views are outdated, outside the mainstream, and disqualifying for a presidential candidate.
6.  **Conclusion:** The author states the American people deserve better than Rand Paul, a leader who won't disrespect their intelligence, pander, or dismantle progress. Paul's announcement speech did not change the facts of his record."
15613,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Origin of Relationship:** In 1996, Mary Kay Letourneau, a 34-year-old married teacher and mother of four in Seattle, began a sexual relationship with her 13-year-old student, Vili Fualaau.
2.  **Legal Consequences:** Letourneau became pregnant with Fualaau's child and served over seven years in prison on charges stemming from their sexual relationship.
3.  **Current Relationship:** Despite the past, the couple is still together. They married soon after Letourneau's release from prison in 2005 and will celebrate their 10th wedding anniversary. They are now parents to two teenaged daughters.
4.  **ABC Interview:** An exclusive ""20/20"" interview with Barbara Walters will air where:
    *   Mary Kay discusses what makes their marriage work despite the significant age difference, her surprising plans to teach again, and her intentions to have her sex offender status lifted.
    *   Vili Fualaau discusses his struggles with alcoholism and depression, and why he believes the system failed him as a minor.
5.  **Current Ages:** At the time of the passage, Mary Kay Letourneau Fualaau is 53 years old and Vili Fualaau is 31 years old."
15616,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Incident:** In July 2013 at LAX, Kanye West assaulted paparazzi photographer Daniel Ramos and tried to take his camera. The incident was captured on video, showing an exchange and the physical altercation.
2.  **Criminal Case:** West pleaded no contest to misdemeanor battery in 2014. He was sentenced to two years' probation, anger management sessions, and community service.
3.  **Civil Lawsuit:** Ramos, represented by lawyer Gloria Allred, filed a civil suit against West. The suit sought general and punitive damages, arguing West interfered with Ramos' right to pursue his lawful occupation.
4.  **Settlement:** The civil case, set for trial, was settled out of court. A key aspect of the settlement was an apology from West to Ramos. A photo showed them shaking hands after the apology. The parties filed for dismissal because the settlement satisfied them.
5.  **Legal Representative's Statement:** Gloria Allred stated the case sent a message that celebrities are not above the law and have no right to physically attack someone for being asked a question.
6.  **Related Incident Mentioned:** The passage notes that Beverly Hills Police investigated a separate January 2014 incident where West was accused of assault; he avoided criminal charges in that case by reaching a civil settlement."
15617,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Hospitalization & Recovery:** Blues legend B.B. King was hospitalized due to dehydration caused by his Type II diabetes. His daughter, Claudette King, stated he was ""much better."" King released a statement on Tuesday saying he was feeling better and leaving the hospital that day. Publicist Angela Moore confirmed King was back home resting and spending time with his grandchildren later that Tuesday. Moore described King as a ""trouper"" who wouldn't let his fans down.
2.  **Limited Details:** No further information about his condition or the hospital location was available.
3.  **Background:**
    *   His nickname ""B.B."" stands for Blues Boy, originating from ""Beale Street Blues Boy"" used during his time as a Memphis disc jockey.
    *   He was inducted into the Rock and Roll Hall of Fame in 1987 and has received 30 Grammy nominations.
    *   He named all his Gibson guitars ""Lucille."" In the 1980s, Gibson created a custom-made signature model named Lucille exclusively for him.
    *   Some of his hit songs include ""The Thrill Is Gone"" (which won his first Grammy in 1970), ""There Must be a Better World Somewhere,"" and ""When Love Comes to Town"" (a collaboration with U2).
4.  **Previous Incident:** Last year, he suffered from dehydration and exhaustion after a Chicago show, forcing him to cancel the rest of his tour."
15623,"Based solely on the provided passage, the core information is:

1.  **Stabbing Incident:** Chris Copeland (Indiana Pacers) and Katrine Saltara were stabbed early Wednesday morning near the Fulton Houses project in New York City, after leaving the nightclub 1OAK. A third woman was also injured.
2.  **Location:** The stabbing occurred on the street near the Fulton Houses project, not at the 1OAK nightclub entrance. Copeland and Saltara were walking towards their parked car there.
3.  **Suspect:** An unidentified 22-year-old Brooklyn man (suspect) was detained at the scene by Copeland's driver and arrested. Charges are pending.
4.  **Injuries:** Copeland suffered stab wounds to his left elbow and abdomen and is in stable condition. Saltara suffered cuts to her arm, breast, and buttock. A third woman suffered a slash to her stomach.
5.  **Arrests of Hawks Players:** Pero Antic and Thabo Sefolosha (Atlanta Hawks players) were arrested at the scene. They were not involved in the stabbing but were charged with obstructing governmental administration and disorderly conduct. Sefolosha faces an additional charge of resisting arrest.
6.  **Reason for Hawks' Arrests:** After hearing about the stabbing involving their friend Copeland, Antic and Sefolosha went outside and pushed through the crowd gathered around the scene, interfering with police establishing a crime scene.
7.  **Hawks Players' Status:** They will not play in the Hawks' Wednesday night game against the Brooklyn Nets. They released a joint statement apologizing and stating they will contest the charges.
8.  **Club Statement:** 1OAK stated the incident occurred away from their venue beyond their view, but staff assisted Copeland when he returned seeking help. Surveillance footage from the club will not show the stabbing.
9.  **Team Responses:** The Pacers confirmed Copeland's injuries and stable condition. The Hawks and NBA are gathering information. Copeland's agent expressed concern. The Pacers are still scheduled to play the Knicks Wednesday night.
10. **Player Whereabouts:** Antic and Sefolosha had played in the Hawks' game in Atlanta Tuesday night, which ended around 10 p.m., before traveling to New York."
15627,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Project Announcement:** Twenty years after her death, Tejano star Selena is being revived as a ""walking, talking, singing and dancing digital embodiment"" called ""Selena the One.""
2.  **Creators & Technology:** Selena's family is creating this hologram-like figure using technology developed by Acrovirt LLC. The technology creates a ""Digitized Human Essence"" that learns and reacts autonomously.
3.  **Purpose & Justification:** Selena's sister, Suzette Quintanilla, stated the project is not ""creepy or weird"" but ""amazing,"" aiming to help new fans experience Selena and continue her legacy, not replace her. She emphasized Selena being the first to use this tech and a Latina makes it ""awesome.""
4.  **Planned Activities:** ""Selena the One"" will release new songs and videos, collaborate with current artists, and aims to go on tour in 2018.
5.  **Context:** Selena remains popular 20 years after her death, evidenced by 2 million Facebook likes and ongoing fan tributes.
6.  **Comparison:** While holograms of Michael Jackson (2014 Billboard Awards) and Tupac Shakur (2012 Coachella) exist, Quintanilla positions this new technology as a step forward.
7.  **Timeline & Funding:** The technology is being built over the next 2-3 years for a 2018 debut. An Indiegogo campaign (www.selenatheone.com) launches April 16 to raise $500,000 in support.
8.  **Event:** The commemorative Fiesta de la Flor celebrating Selena's life is scheduled for April 17 and 18 in Corpus Christi, Texas."
15628,"Based strictly on the provided passage, here is a concise summary covering the core information:

1.  **Incident:** A ramp agent for Menzies Aviation (an Alaska Airlines contractor) accidentally fell asleep inside the cargo hold of Alaska Airlines Flight 448 while loading baggage.
2.  **Discovery in Flight:** Shortly after takeoff from Seattle-Tacoma to Los Angeles, the pilot heard unusual banging from the cargo hold and suspected someone might be inside. Passengers also heard loud pounding and faint screams for help, alerting the flight attendant.
3.  **Response:** The plane returned to Seattle-Tacoma International Airport for an emergency landing after only 14 minutes in the air. A federal air marshal on board banged back and yelled a warning to the person in the hold to hold on.
4.  **Resolution & Safety:** The ramp agent was found in the pressurized and temperature-controlled cargo hold. He was taken to a hospital as a precaution but was discharged after passing a drug test and appeared okay.
5.  **Aftermath:** Emergency vehicles met the plane upon landing. Coworkers had assumed the agent finished his shift (which started at 5 a.m. and was scheduled to end at 2:30 p.m.) and went home when he didn't respond to calls or texts during a pre-departure check. Alaska Airlines is investigating the incident.
6.  **Flight Outcome:** The flight, with 170 passengers and 6 crew, eventually continued to Los Angeles, arriving early Monday evening."
15634,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Emy Afalava's Situation:** Emy Afalava is a decorated veteran born in American Samoa (a U.S. territory since 1900). He has been subject to U.S. law his whole life but is denied U.S. citizenship and the right to vote by the federal government, despite the 14th Amendment's citizenship clause for those born in the U.S. and subject to its jurisdiction.
2.  **Legal Challenge:** Afalava and other American Samoans are challenging this denial of citizenship in a federal lawsuit currently before the D.C. Circuit Court.
3.  **Historical Context of Discrimination:** The passage links this denial to historical racial discrimination in citizenship rulings:
    *   The Dred Scott case denied citizenship to African-Americans.
    *   The 14th Amendment overturned Dred Scott.
    *   The Isabel Gonzalez case (1904) involved a Puerto Rican denied entry and citizenship rights. While the Supreme Court ruled Puerto Ricans were not aliens, it avoided declaring them citizens due to racist views among justices about ""tropical peoples"" being unfit for citizenship.
    *   Justice Edward Douglas White explicitly cited racial and social dangers as a reason for denying full constitutional rights to territorial residents.
4.  **Current Status:** American Samoans are the only inhabitants of a U.S. territory today who are not automatically U.S. citizens at birth, unlike residents of other territories who gained citizenship over the past century. Afalava's lawsuit seeks to end this situation."
