source_id,summary
14-0," Militants armed with guns and grenades attacked a hospital in Afghanistan, detonating explosives at the gate and opening fire on staff and patients. Commandos killed all four attackers after several hours of fighting. The so-called Islamic State (IS) group claimed responsibility for the attack, which resulted in more than 50 wounded. The hospital attack marks a change in approach by IS, as they have primarily targeted civilian gatherings and caused carnage at the Supreme Court in the past. The government claims to have rooted out IS militants from several bases in the east but has yet to dislodge them from mountainous areas they control."
14-1," The Booker Prize, now in its 46th year, is open to all authors writing in English for the first time. The shortlist includes six novels: The Lives of Others by Neel Mukherjee, J by Howard Jacobson, How To Be Both by Ali Smith, To Rise Again at a Decent Hour by Joshua Ferris, We Are All Completely Beside Ourselves by Karen Joy Fowler, and The Narrow Road to the Deep North by Richard Flanagan. The winner will be announced at London's Guildhall on Tuesday night. The prize includes £2,500 and a specially bound edition of the book for each shortlisted author."
14-2," Mark Carney, the Governor of the Bank of England, announced a decision to extend his term by one year, surprising many. This decision was influenced by personal circumstances, particularly his daughters' educational needs, and the desire to avoid leaving during the critical Brexit negotiations. Carney emphasized that the extension was a personal choice and not related to government policy. The move aims to provide stability during the Brexit process, with a new Governor expected to take over after the Article 50 process is complete."
14-3," Adrian Gill, a renowned journalist and writer, passed away after a battle with cancer. Known for his wit, intelligence, and fearless writing, Gill joined The Sunday Times in 1993 and was a central figure at the paper. His final column, about coming to terms with his illness, will be published posthumously. Gill's writing often sparked controversy, but he was respected for his unique style and compassion. He leaves behind a legacy as a giant among journalists and a beloved friend to many in the industry."
14-4," The passage describes the activities of three prominent hacking groups involved in the Ukrainian conflict: the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International. The Ukrainian Cyber Troops, led by Yevhen Dokukin, are known for their use of DDoS attacks and hacking into Russian servers and payment systems. They also monitor rebel-held areas using public CCTV systems and have hijacked network printers to spread pro-Ukrainian messages. Cyber Berkut, a staunchly anti-Western group, targets Ukrainian government websites and has claimed to have hacked documents related to U.S. military assistance to Ukraine. Anonymous International, known for leaking Kremlin documents, has also published information related to the Ukrainian conflict, including a letter from a Russian fighter and emails from a rebel commander. The passage highlights the use of cyber warfare in the conflict, with each group employing different tactics to achieve their objectives."
5-0," James Milner, a former Manchester City player, has retired from international football after earning 61 caps for England. He made his senior debut in 2009 and played in two World Cups and two European Championships, but only saw three minutes of action at Euro 2016. Milner also holds the record for the most capped England Under-21 player, with 46 appearances. His only international goal came in a 5-0 victory over Moldova during the 2014 FIFA World Cup qualifiers."
5-1," Brad Wilk is a drummer known for his work with Rage Against the Machine (1991–2000, 2007–11) and Audioslave (2001–07). He began his career with Greta in 1990 and co-founded Rage with Tom Morello and Zack de la Rocha in August 1991. As of 2016, he is part of the band Prophets of Rage, alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. Rage is a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2," Gary Locke, Kilmarnock's interim manager, has been appointed permanently after signing a three-year deal. He took over as assistant to Allan Johnston last summer and assumed control when Johnston resigned in February. Locke has lost only once in seven games and will speak at a press conference on Friday."
5-3," Rupert Murdoch is the chairman and acting CEO of Fox News. He is an Australian, British, and American businessman, and the younger son of media mogul Rupert Murdoch. James Murdoch is the CEO of 21st Century Fox and chairman of Sky plc. Rupert Murdoch had full control as chairman and CEO of News Corporation, which is now the world's second-largest media conglomerate. The conglomerate split on June 28, 2013, into News Corp and 21st Century Fox."
15-0," Veteran actor Robert Hardy is auctioning off his extensive collection of antiques, valued at £100,000, to downsize his home. The collection includes over 200 items, such as a hand-painted limewood diorama of the Battle of Agincourt, early Victorian furniture, a portrait of Hardy holding a longbow, and a longbow made of yew with a mother-of-pearl handle. The auction also features paintings, furniture, swords, flintlock rifles, silverware, and crystal chandeliers. Hardy, a military historian and expert on the medieval longbow, studied English with J.R.R. Tolkien at Magdalen College, Oxford, and has published two books on the history of the longbow. He is best known for his role as Siegfried Farnon in the BBC drama All Creatures Great and Small and for portraying Winston Churchill in various television dramas."
