source_id,summary
14-0,"Militants from the so-called Islamic State attacked the 400-bed Sardar Daud hospital by detonating explosives at its gate and then opening fire on staff and patients, injuring more than 50 people. Commandos later landed on the hospital roof and, after several hours of fighting, killed all four attackers. This incident marks the first direct engagement between IS fighters and security forces in the capital—a change from their previous tactics of targeting civilian gatherings—and suggests they may now have more military resources and training. While IS claimed responsibility, the Taliban denied involvement. President Ashraf Ghani condemned the attack as an assault on Afghanistan’s values, and the episode comes amid ongoing IS activities and a broader context of violence in the country."
14-1,"The passage discusses the current Booker Prize shortlist and betting odds, highlighting Mukherjee’s The Lives of Others—a novel set in 1960s Calcutta and the bookmakers’ 5/2 favorite—as well as other nominees including Howard Jacobson’s J, Ali Smith’s How To Be Both, Joshua Ferris’s To Rise Again at a Decent Hour, Karen Joy Fowler’s best-selling We Are All Completely Beside Ourselves, and Australia’s Richard Flanagan’s The Narrow Road to the Deep North. The prize, now open to all authors writing in English, will be awarded at London’s Guildhall on Tuesday night, with each shortlisted author receiving £2,500 and a specially bound edition. The passage also notes a post-shortlist sales boost and includes commentary questioning the strength of the long list, as well as details about the judging panel and the previous year’s winner."
14-2,"Mark Carney, the Governor of the Bank of England, surprised many by choosing a ""third way"" for his tenure: instead of staying until 2021 or leaving in 2018 as planned, he extended his term by only one year, stepping down in 2019. Although his decision would provide market stability during the Brexit negotiations, he emphasized that the choice was driven entirely by personal reasons—particularly his family’s needs, as his younger daughters were approaching key academic milestones. Carney also clarified that there was no political pressure influencing his decision."
14-3,"The passage reports on the death of Adrian Gill, a celebrated and controversial journalist at the Sunday Times. Diagnosed with multiple cancers—which he described as the ""full English"" of cancers—Gill continued to work and even penned his final column about coming to terms with his illness just before his death was announced by editor Martin Ivens. Praised by colleagues for his wit, fearless writing, and compassionate intelligence, Gill was remembered as a giant among journalists and the heart and soul of the paper. The passage also outlines his career, noting his early art reviews, overcoming dyslexia, and long tenure at the Sunday Times, as well as aspects of his personal life, including his marriages, children, and his recent engagement to long-term partner Nicola Formby."
14-4,"The passage details how pro-Ukrainian hacktivist groups—chief among them the Ukrainian Cyber Troops, led by Yevhen Dokukin—engage in various cyberattacks against Russian and rebel targets. These attacks include DDoS operations to overwhelm websites, hacking into servers and CCTV systems, and even commandeering electronic billboards and network printers to broadcast pro-Ukrainian messages. The group has released data purportedly showing evidence of Russian military movements and has urged others to analyze this information. In contrast, the passage describes Cyber Berkut as an anti-Western hacker group that attacked Ukrainian government websites during high-profile events, leaked documents regarding US military support, and claimed responsibility for disrupting electoral systems. Additionally, the group Anonymous International, known for publishing leaked Kremlin documents, is mentioned as focusing on Russian domestic affairs with some coverage of Ukraine. The overall narrative illustrates the active and multifaceted use of cyber warfare in the conflict between Ukrainian forces and their opponents."
5-0,"The passage outlines that a former 30‐year-old Manchester City player made his England senior debut in 2009 and earned 61 caps, participating in two World Cups and two European Championships (though he only played three minutes at Euro 2016). He also set a record for the England Under-21 team with 46 caps since his debut in 2004, and scored his sole international goal in a 5-0 win over Moldova during the 2014 World Cup qualifiers. Additionally, Milner described the decision reached as based on common sense and wished Sam Allardyce, the players, staff, and supporters success in the future."
5-1,"The passage outlines drummer Brad Wilk’s career, noting that he is best known for his work with Rage Against the Machine (active from 1991 to 2000 and 2007 to 2011) and Audioslave (2001–2007). It mentions that he began his career with the band Greta in 1990 and co-founded Rage Against the Machine in August 1991 alongside Tom Morello and Zack de la Rocha. Additionally, as of 2016, Wilk was playing in Prophets of Rage with Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also includes a note about a German heavy metal band named Rage, formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke has been appointed Kilmarnock’s permanent manager after signing a three-year deal. The 41‐year‐old, a former Hearts boss, joined the club last summer as assistant to Allan Johnston and assumed control in February after his ex‐Tynecastle teammate resigned. During his interim period, Locke lost just one out of seven games and will speak at a press conference on Friday morning."
5-3,"The passage notes that Rupert Murdoch is Fox News' current chairman and acting CEO. It also introduces James Rupert Jacob Murdoch—born 13 December 1972—as an Australian, British, American businessman and the younger son of media mogul Rupert Murdoch, who is also the CEO of 21st Century Fox and chairman of Sky plc. Additionally, it explains that Rupert Murdoch maintained full control over News Corporation (now succeeded by News Corp and 21st Century Fox) after its split on 28 June 2013, making it the world’s second-largest media conglomerate."
15-0,"Veteran actor Robert Hardy, aged 89, is auctioning his personal collection of over 200 antiques for an estimated total of £100,000 as he downsizes his Cotswolds home. His collection, acquired over a long career enriched by his interests in military history and classic literature, includes unique items such as a hand-painted limewood diorama of the Battle of Agincourt, a yew longbow with a mother-of-pearl handle, a portrait of him holding the longbow, as well as paintings, furniture, swords, flintlock rifles, silverware, crystal chandeliers, and a selection of rare books dating as far back as the 17th century. The auction, organized by Dominic Winter Auctioneers in Gloucestershire, reflects both his personal passions—stemming from his studies with J.R.R. Tolkien and C.S. Lewis and his expertise on the medieval longbow—and his lengthy acting career noted for roles in All Creatures Great and Small, multiple portrayals of Winston Churchill, and an appearance in the Harry Potter films as Cornelius Fudge. Despite his sadness in parting with a treasured library, Hardy hopes new owners will derive as much joy from the items as he has."
