source_id,qa_response
14300,"Automotive technicians are paid through several structures—most commonly hourly wages, commission-based pay, flat/flag-rate (per job) pay, or a mix of hourly and commission."
14323,"Start a three-zone fire: pour a chimney of lit coals into the grill, pile them two layers deep at the far side, one layer in the center, and leave the area nearest you coal-free (use the same three-zone setup on a gas grill). Replace the grate, let it get hot, brush it clean, and oil it; then grill the porterhouse over the appropriate zones."
14353,"Lay the quilt flat on a bed, table, or other surface. Fold the lower right corner toward the center on the bias, then the lower left corner the same way. Next fold the top left corner toward the center on the bias, and finally fold the top right corner down to the center on the bias."
14355,"A Waterpik shoots a strong water stream that loosens food, plaque, and germs where brushing can’t reach, massages and stimulates gum tissue to lower gingivitis risk, and overall helps keep teeth, gums, and mouth healthier."
14360,"Open the Start menu, choose Settings (or press Win + I), select System → Default apps, scroll to the Web browser section, click the current browser (e.g., Edge), and choose the browser you want (e.g., Chrome or Firefox). This sets that browser as the Windows default."
14366,"Retire it by ceremony: fold the worn flag into the customary triangle, burn it peacefully, and bury the ashes (or, after cutting off the blue field, burn that portion, bury the ashes, and place the rest out for collection)."
14375,"Prick the bratwurst, then simmer them 15–20 min in a pot of beer, onions (plus butter/seasonings if desired). Preheat a medium-high grill, oil the grate, remove brats from the beer, and grill 5–14 min, turning to brown evenly. Serve with the cooked onions/beer mixture."
14390,"Symptoms  
• Diarrhea (sometimes violent)  
• Constipation or alternating constipation-diarrhea  
• Belly pain/cramps—usually low in the abdomen, worse after meals, relieved by a bowel movement  
• Excess gas and bloating  

Causes (exact cause unknown, but thought to involve)  
• Abnormal motility/movements of the colon or small intestine (too fast, slow, or strong)  
• Disrupted brain–gut or nervous-system signaling and heightened sensitivity to bowel pain or gas  
• Food intolerances or poor absorption of certain sugars/acids"
14392,"Essential amino acids cannot be made by the body and therefore must be obtained from the diet, whereas non-essential amino acids can be synthesized by the body and do not have to come from food."
14394,"Indiana typically has long, warm, humid, and wet summers; chilly, windy winters; and partly cloudy skies throughout the year, with normal temperatures ranging from about 22 °F in winter to 85 °F in summer (rarely below 3 °F or above 92 °F)."
14396,"1. Open iTunes on your computer and connect the iPhone with a USB cable.  
2. In iTunes, click the iPhone’s name under “Devices.”  
3. Select the “Books” (or “Audiobooks”) tab.  
4. Check “Sync Audiobooks,” then either pick the specific titles you want or choose “All Audiobooks.”  
5. Click Apply/Sync; when the sync finishes, the selected audiobooks are copied between the iPhone and iTunes."
14404,"Body systems operate interdependently: the skeletal, muscular, digestive, respiratory, circulatory, urinary, endocrine, lymphatic, immune, reproductive and nervous systems all cooperate to keep the body functioning. Specifically, the urinary system cleans waste from the blood produced by the skeletal, muscular, digestive, respiratory, circulatory and nervous systems, while the respiratory system supplies oxygen and removes carbon dioxide for those same systems, illustrating how each system supports and relies on the others."
14418,"Teresa (or Theresa) comes from Greek, likely via the island name Therasia, and means “reaper/harvester” (sometimes linked to Greek therizein ‘to harvest’ or theros ‘summer’)."
14433,"Based on the passages:

– Colonial history and independence: India gained independence from the United Kingdom in 1947, whereas Vietnam won independence from France in 1945.  
– Education: Vietnam’s school system is described as relatively equitable, giving poor children opportunities comparable to those of richer students, while India’s educational trends are characterized as more “typical” and are not noted for the same level of equity."
14445,"Under section 43(6), when an asset is discarded (but not sold) you:

• deduct its scrap value from the written-down value of the relevant depreciation block in the year of discard, and  
• continue to claim depreciation on the remaining block balance (opening WDV – scrap value) even though that particular asset is no longer in use."
14458,"1. Make a few securing stitches at the zipper’s top stop.  
2. Pin one gusset piece to the zipper, right sides together, the fabric edge ¼ in from the zipper center.  
3. Using a zipper foot, stitch close to the seam line to hold the gusset to the zipper.  
4. Place the gusset lining on top, right side down, and sew on the same seam line.  
5. Flip the lining to the underside and top-stitch near the seam.  
6. Repeat Steps 2–5 for the opposite side of the zipper; the finished opening between gusset seams should be ½ in wide.  
7. Switch to a regular presser foot and stitch around the seam allowance to join main fabric and lining securely.  
8. Align the completed zipper gusset with the body of the item (e.g., pencil case), match end markings, and sew from mark to mark on both ends.  
9. Place the body lining over this assembly, right side down, and stitch to finish."
14468,"Place eggs in a single layer in a saucepan and cover with about 1 inch of cold water. Bring the water just to a boil/simmer, then immediately turn off the heat, cover the pan, and let the eggs sit in the hot water—about 9 min (medium), 12 min (large), or up to 17 min as one method states. Drain, rinse with cold water to cool, and peel when ready. Hard-boiled eggs spin smoothly; if they wobble, they need more cooking."
14470,"On many oven models, the bottom drawer is a warming drawer—meant to keep cooked food warm until it’s ready to be served."
15092,"HTC One VX factory-reset methods:

Software path  
1. Slide down the notification panel and tap the Settings icon.  
2. Tap Storage ➔ Factory data reset.  
3. Tap Reset phone, then Erase everything.

Hardware keys (if the phone won’t start normally)  
1. Power the phone off.  
2. Press and hold Volume Down + Power until the Bootloader screen appears, then release.  
3. Use Volume Down to highlight Factory Reset and press Power to confirm."
15097,"PSA level is the concentration of prostate-specific antigen in a man’s blood (reported in ng/mL); elevated values—such as 4–10 ng/mL—can indicate prostate cancer, benign prostate hyperplasia, or prostate inflammation (prostatitis)."
15103,"1. Collect and organize the data you want to compare (e.g., inches of rainfall for each month).  
2. Pick an appropriate graph type:  
   • Bar graph – best for comparing groups or categories.  
   • Line graph – also common in science projects for showing change over time.  
   • Pie chart – useful when you have only a few, clearly different data points.  
3. If you choose a bar graph:  
   a. Title the graph.  
   b. Decide how high the y-axis must go to fit your largest value.  
   c. Draw rectangular bars whose heights are proportional to each category’s value.  
4. Use graph paper if you want straight, even lines and a neat final display."
15108,"Open Power Options (Start menu → search for “Power Options”; in Windows 10, type “power options” in the task-bar search and select it), click “Change when the computer sleeps” on the left, then set the “Put the computer to sleep” time to the interval you want (or choose Never) and save the changes."
15111,"Hugging induces pleasant feelings, promotes emotional intimacy and better relationships, and reduces existential anxiety—including fears about mortality."
15112,"Let the small prime rib stand at room temperature for about 1 hour. Pre-heat the oven (Passage 1 uses 375 °F; Passage 2 pre-heats to 450 °F). Season the meat—just salt and plenty of freshly ground black pepper (or your “House Seasoning”). Place the roast on a rack, rib-side down and fat-side up. Roast for roughly 1 hour, then turn the oven off and leave the roast inside to rest."
