source_id,qa_response
14300,"Based on the provided passages, automotive technicians get paid through various compensation methods:

1. **Hourly rates** - Technicians can be paid standard hourly wages, with rates varying by location (e.g., Alaska technicians average $23.70/hour, while those in Connecticut, Maryland, Massachusetts and D.C. average $20.50-$21.50/hour).

2. **Commission-based pay** - Some technicians are paid on commission.

3. **Flat-rate or flag-rate systems** - Certain automotive mechanics and technicians are paid using these systems.

4. **Combinations of hourly and commission** - Many technicians receive compensation through various combinations of hourly wages and commission pay rates.

The specific payment method depends on several factors including where they work (auto dealer vs. repair shop), their specialization, and their geographic location. The passages indicate that while pay amounts don't vary dramatically between companies, the compensation methods can differ significantly."
14323,"Based on the provided passages, here's how to grill a porterhouse:

1. Set up your grill for three-zone grilling:
   - For charcoal: Dump lit coals and spread them with a double layer on one side, single layer in the center, and leave one section coal-free
   - For gas: Set up for three-zone grilling

2. When the grill grate is hot, clean it with a grill brush

3. Lubricate the grate with a grill oiler or paper towel dipped in vegetable oil

The passages note that the porterhouse has two different cuts (NY Strip and filet) on either side of the bone, but specific cooking times, temperatures, or techniques for grilling the porterhouse itself are not provided in these passages."
14353,"Based on the provided passages, here's how to fold a quilt:

1. Lay your quilt on a flat surface (bed, table, etc.)
2. Fold the lower right corner up toward the center of the quilt, ensuring the fold is on the bias
3. Fold the lower left corner up toward the center of the quilt, keeping the fold on the bias
4. Fold the top left corner down toward the center of the quilt, maintaining the fold on the bias
5. Fold the top right corner down toward the center of the quilt, ensuring the fold is on the bias

The key point emphasized in these instructions is that all folds should be made ""on the bias"" (diagonally across the fabric grain). This folding method brings all four corners toward the center of the quilt."
14355,"Based on the provided passages, the benefits of a water pick include:

1. **Removes plaque and germs** - It shoots a strong stream of water at the gum line to eliminate germs and plaque that are difficult to remove with a toothbrush

2. **Improves overall health** - Helps keep teeth, gums, mouth, and overall body healthier

3. **Massages and stimulates gums** - The water action massages and stimulates soft tissue in the mouth

4. **Reduces gingivitis risk** - The gum stimulation helps reduce the risk of gingivitis

5. **Cleans hard-to-reach areas** - Removes food from areas that brushing cannot access, providing better cleaning around teeth and gums

These benefits make the water pick a useful oral care tool for maintaining good oral health."
14360,"Based on the provided passages, here are the methods to set a default browser in Windows:

**For Windows 10 (Method from Passage 2):**
1. Open Settings (Start menu > Settings icon or press Windows + I)
2. Click System (display, notifications, apps, power)
3. Click ""Default apps"" in the left pane
4. Scroll down to the ""Web browser"" section
5. Click on the current browser shown and select your preferred browser from the list

**For Firefox (Method from Passage 3):**
1. Open Firefox browser
2. Click the Firefox menu button (three horizontal lines in upper right corner)
3. Select ""Options"" from the menu

**Note:** Passage 1 mentions Windows 7 but doesn't provide specific steps, only stating that once set, hyperlinks will open in the default browser."
14366,"Based on the provided passages, there are proper ways to dispose of a worn USA flag:

1. **Burning in a proper ceremony**: The flag can be burned in a peaceful, respectful ceremony. If doing this yourself, the flag should be folded in the customary triangle fold before burning.

2. **Separating and burning the blue field**: If putting the flag out for collection, you must first remove the blue field (the canton with stars) from the flag. The blue field should then be burned peacefully and the ashes buried.

The passages emphasize that disposal should be done respectfully, acknowledging that the flag ""has served its nation long and well"" and should be retired with honor when it reaches a condition where it should no longer represent the nation."
14375,"Based on the provided passages, here's how to cook brats:

**Method 1 - Beer and Grill:**
1. Combine beer and onions in a large pot and bring to a boil
2. Submerge bratwurst in the beer mixture with seasonings (red pepper flakes, garlic powder, salt, and pepper)
3. Reduce heat to medium and cook for 10-12 minutes
4. Remove brats from beer mixture
5. Grill on preheated medium-high heat grill for 5-10 minutes, turning once

**Method 2 - Simmer and Grill:**
1. Prick bratwurst with a fork to prevent exploding
2. Place in a pot with onions, butter, and beer
3. Simmer over medium heat for 15-20 minutes
4. Grill on preheated medium-high heat grill for 10-14 minutes, turning occasionally to brown evenly

Both methods involve pre-cooking the brats in a beer mixture before finishing them on the grill. Remember to lightly oil the grill grate before grilling."
14390,"Based on the provided passages:

**Symptoms of IBS:**
- Diarrhea (sometimes described as violent episodes)
- Constipation
- Alternating constipation and diarrhea
- Belly pains or cramps (usually in lower abdomen, worsen after meals, improve after bowel movements)
- Gas or bloating

**Causes of IBS:**
The exact cause is unknown, but it's believed to result from a combination of factors including:
- Abnormal gastrointestinal tract movements (too fast, slow, or strong)
- Disrupted communication between the brain and GI tract
- Increased sensitivity to pain from a full bowel or gas
- Food sensitivities/intolerances (possibly from poor absorption of sugars or acids)
- Abnormal nervous system signals"
14392,"Based on the provided passages, the key difference between essential and nonessential amino acids is:

**Essential amino acids** cannot be made by the body and must be obtained from your diet. There are 9 essential amino acids total, though adults only need 8 of them (histidine is only essential for infants).

**Nonessential amino acids** can be made by the body from essential amino acids or by breaking down protein products, so they don't need to be obtained from your diet. Examples include alanine, asparagine, aspartic acid, glutamic acid, arginine, cysteine, glutamine, glycine, ornithine, proline, serine and tyrosine.

Both types are necessary for the body to build proteins needed for cell repair, growth and maintenance."
14394,"Based on the provided passages, Indiana's typical weather features:

**Summers**: Long, warm, humid, and wet
**Winters**: Chilly, windy, with snow

**Temperature range**: Typically varies from 22°F to 85°F throughout the year (rarely below 3°F or above 92°F)

**General conditions**: Partly cloudy year-round, with hot and humid weather patterns

The state experiences snowfall during winter months and can have significant precipitation, as evidenced by historical records showing extreme variations in rainfall (from about 25 inches in dry years to over 57 inches in wet years)."
