source_id,summary
15599,"Blue Bell ice cream temporarily shut down its Broken Arrow, Oklahoma plant due to listeria contamination in a serving of ice cream from that plant. Public health officials warned against consuming Blue Bell products from that plant, specifically 3-ounce servings marked with certain letters. Blue Bell has recalled products and is investigating the cause of contamination. The CDC is looking into listeria outbreaks linked to Blue Bell ice cream in Kansas and Texas, with some patients infected and deaths reported. Blue Bell CEO expressed concern and emphasized quality and safety. The CDC advises checking freezers for recalled products. Listeriosis is a serious infection caused by listeria, primarily affecting vulnerable populations."
15601,"An outside review by Columbia Journalism School professors found that Rolling Stone's article about a gang rape at the University of Virginia was deeply flawed due to failures in reporting, editing, and fact-checking. The magazine's managing editor apologized for the story's impact on Phi Kappa Psi fraternity and UVA. The passage discusses the potential for defamation lawsuits by UVA, Phi Kappa Psi, and other fraternities, explaining the legal requirements for such claims and the challenges faced by different entities in pursuing defamation cases. It also touches on the difficulty of proving financial harm in defamation cases and the rarity of successful defamation lawsuits."
15604,"The passage discusses the author's disbelief and criticism towards Rand Paul's presidential campaign announcement, highlighting his questionable stances on voting rights, civil rights legislation, and minority issues. The author argues that Paul's views are outdated, not aligned with the mainstream, and disqualifying for a presidential candidate. The author emphasizes the importance of real commitment to minority communities and criticizes Paul's lack of such commitment."
15613,"The passage discusses the controversial relationship between Mary Kay Letourneau and Vili Fualaau, which began when she was a 34-year-old teacher and he was her 13-year-old student. Despite her serving time in jail for their relationship, they are still together and will celebrate their 10th wedding anniversary. They have two teenage daughters and are set to be interviewed on ABC's ""20/20."" The interview will cover their marriage, Letourneau's desire to teach again, and her wish to have her status as a registered sex offender lifted. Fualaau will talk about his struggles with alcoholism and depression, as well as his belief that the system failed him as a minor. Letourneau is now 53, and Fualaau is 31."
15616,"Kanye West settled a lawsuit with a paparazzi photographer, Daniel Ramos, whom he assaulted in 2013 at Los Angeles International Airport. West pleaded no contest to a misdemeanor count of battery and was sentenced to probation, anger management, and community service. The civil suit sought damages for interfering with the photographer's rights, but was settled before trial. The settlement included an apology from West to Ramos, as shown in a picture of them shaking hands. The incident was caught on video, showing West attempting to wrestle the camera from Ramos. Allred stated that the case sent a message that celebrities are not above the law. West had also reached a civil settlement in a separate incident where he was accused of assaulting a man in Beverly Hills."
15617,"Blues legend B.B. King was hospitalized briefly due to dehydration caused by his Type II diabetes. His daughter confirmed he is feeling much better and has been discharged. King, known for his iconic guitar named Lucille, is back home resting with his family. Despite health struggles, he remains dedicated to his fans and music career. King, 89, has had a successful music career with numerous Grammy nominations and hits like ""The Thrill Is Gone."""
15623,"Chris Copeland of the Indiana Pacers was stabbed outside a New York nightclub, with two Atlanta Hawks players arrested on obstruction charges. The incident occurred near the club, not inside, and the suspect was apprehended. Copeland and a companion were attacked while walking to their car, leaving a bloody trail back to the club. The injured parties were taken to the hospital, with Copeland in stable condition. The Hawks players involved apologized for the incident and were not in uniform for their next game. The NBA and teams were investigating the situation."
15627,"Selena, a Tejano star who passed away 20 years ago, is being brought back through a hologram-like figure created by her family in collaboration with Acrovirt LLC. The digital embodiment of Selena will sing, dance, and interact with fans, aiming to introduce her to new audiences and preserve her legacy. The project, named ""Selena the One,"" will also release new music, collaborate with current artists, and potentially go on tour in 2018. The technology is considered a significant advancement, and fans can support the launch through an Indiegogo campaign."
15628,"A ramp agent from Menzies Aviation, a contractor for Alaska Airlines, fell asleep in the cargo hold of Alaska Airlines Flight 448 as it departed from Seattle-Tacoma International Airport to Los Angeles. The pilot heard banging, suspected a person in the cargo hold, and returned to the airport. Passengers heard the banging and faint screams, alerting the flight crew. A federal air marshal intervened, and the plane made an emergency landing. The ramp agent was unharmed, taken to a hospital as a precaution, and later discharged. The airline is investigating the incident, and all ramp employees undergo background checks. The flight eventually reached Los Angeles with all passengers and crew members safe."
15634,"Emy Afalava, a decorated veteran born in American Samoa, is fighting for his right to be recognized as a U.S. citizen. Despite being born on U.S. soil and subject to American law, he has been denied citizenship and the right to vote. This denial of citizenship to Americans born on U.S. territories like American Samoa has historical roots in cases like Dred Scott and Isabel Gonzalez, where racial discrimination influenced Supreme Court decisions. The passage highlights the ongoing struggle for American Samoans like Afalava to gain citizenship and equal rights, emphasizing the need to rectify this injustice."
15638,"Iman and Siham Hashi, known as Faarrow, are Somali-born sisters who fled to Canada as refugees and are now based in Los Angeles pursuing a music career. They are working on their debut album, blending Afro-pop with influences like Michael Jackson and the Spice Girls. The sisters write and produce their music, collaborating with actor Elijah Kelley. They are also involved in humanitarian work with the UNHCR, advocating for refugees and supporting projects in Kenya and Somalia. Additionally, they have a socially conscious brand called ""Wish Creatively."" They are currently in the mixing process for their album and are focused on releasing their first single."
15651,"The passage discusses the dilemma faced by Pope Francis in deciding whether to use the term ""genocide"" to describe the killings of Armenians by the Turks a century ago. Previous popes had avoided using this term to maintain diplomatic relations with Turkey. Pope Francis ultimately used the term indirectly by quoting a document from Pope John Paul II. This decision was seen as a way to maintain continuity in church policy while also acknowledging the historical event. Turkey reacted negatively to the Pope's comments, recalling its ambassador from the Vatican. The passage also highlights Pope Francis's unique approach to diplomacy and geopolitics, contrasting his blunt statements on certain issues with his usual emphasis on mercy and compassion."
15652,"The passage discusses National Park Week in the United States, which takes place from April 18 to April 26. During this week, entry to the 128 national parks that usually charge a fee, such as Yellowstone and Yosemite, is free on Saturday and Sunday. The National Park Service and the National Park Foundation host various activities during this week, including night-time astronomy parties, Revolutionary War programs, Earth Day parties, and family-friendly Junior Ranger activities. People are encouraged to visit FindYourPark.com to learn more about nearby park sites and to share their experiences using the hashtag #FindYourPark."
15661,"A second robotic probe was sent into the Fukushima nuclear plant, capturing images of a green glow. The robot detected lower radiation levels and temperature, indicating effective cooling systems. The green glow was seen in the images, suggesting a discoloration of the grating, but the cause remains unknown. The robots were sent to assess damage in a reactor that suffered a meltdown in 2011. The first robot stalled due to a fallen object blocking its path, while the second robot successfully collected data from all points. The site remains too dangerous for human workers, with decommissioning estimated to cost $50 billion and take years to complete."
15665,"The passage describes the impact of Dzhokhar Tsarnaev's bombing at the Boston Marathon, detailing the devastating injuries and losses suffered by the victims and their families. It highlights the emotional testimonies of those affected, including the heartbreak of families who lost loved ones and the physical and emotional struggles faced by survivors. The prosecution emphasizes Tsarnaev's lack of remorse and the cruel nature of the attacks, aiming to show the jury the profound impact on the victims and their loved ones."
15667,"The passage discusses the 2015 Academy of Country Music Awards, which marked its 50th anniversary at the Dallas Cowboys stadium. It highlights some of the best moments, such as performances by Eric Church, Keith Urban, Reba McEntire, Garth Brooks, Taylor Swift, Miranda Lambert, and Jason Aldean. It also mentions some of the worst moments, including Tony Romo's awkward appearance and criticisms of the length of the show. Additionally, it addresses the controversy surrounding Taylor Swift's transition to pop music and the backlash she faced on Twitter for attending the ACMs."
15670,"A Polish Prince challenges Nigel Farage to a duel in Hyde Park over immigration policy. Farage blames EU membership for immigration issues, while the prince defends Poles in Britain. Farage declines the duel but criticizes Polish emigration. UKIP wants to leave the EU and cut foreign aid. The prince suggests a verbal duel instead. He highlights Polish contributions to Britain and calls for mutual respect."
15673,"The passage describes a tragic plane crash involving seven individuals, including Illinois State University associate men's basketball coach Torrey Ward and deputy athletic director Aaron Leetch. The crash occurred while they were returning from the NCAA tournament final in Indianapolis. The community is mourning the loss of Ward and Leetch, who were well-respected colleagues. Ward had a background in playing basketball professionally and coaching, while Leetch had various roles in athletics administration. The university president expressed deep grief over the tragedy, and colleagues remembered Ward and Leetch fondly for their contributions to the athletics department."
15683,"The passage describes the aftermath of the Boston Marathon bombing, focusing on the experiences of survivors and the impact on victims. It includes details of injuries sustained by individuals like Steve Woolfenden, Heather Abbott, and Marc Fucarile, as well as the tragic death of 8-year-old Martin Richard. The prosecution is seeking the death penalty for Dzhokhar Tsarnaev, who was found guilty of perpetrating the attack with his brother. The defense is expected to present witnesses to explain Tsarnaev's upbringing in an attempt to mitigate his portrayal as cold-hearted and remorseless."
15690,"Sofia Vergara is facing a legal battle with her ex-fiance, Nick Loeb, over two frozen embryos created during their relationship. Loeb is suing to prevent Vergara from destroying the embryos, expressing his desire to implant them in a surrogate and bring them to term. The lawsuit raises questions about who has the right to the embryos, with experts discussing legal, moral, and religious implications. The case is considered a gray area of law, as it is a developing issue that will need to be decided by a California court."
15693,"Sissa Abu Dahou, a woman from Luxor, Egypt, has been dressing as a man for 43 years to support her family in a patriarchal society where women faced challenges in earning a living. She initially did this to provide for her daughter after becoming a widow at a young age. Despite facing criticism, she worked as a brick maker and later as a shoeshiner to make ends meet. Her daughter credits her mother for providing a stable home and support. After gaining recognition for her resilience, Dahou was honored by Egypt's President as an ideal mother."
15695,"The passage describes the emotional toll on the jury during the Massachusetts murder trial of former NFL star Aaron Hernandez. The jury deliberated for over 35 hours, heard from 130 witnesses, and reviewed 400 pieces of evidence before convicting Hernandez of first-degree murder in the shooting death of Odin Lloyd. The jurors were struck by the viciousness of the crime and Hernandez's indifference, emphasizing that his football career did not influence their decision. The jury members expressed the seriousness of their task and the impact of the trial on their lives."
15696,"The passage describes the experience of passengers on a SkyWest Airlines flight that made an emergency landing in Buffalo, New York due to a reported pressurization problem. Passengers felt dizzy and lightheaded, with some losing consciousness. Despite initial reports of a pressurization issue, maintenance found no indication of such a problem. The National Transportation Safety Board is investigating the incident. A nurse on board attended to sick passengers, administering oxygen. The plane descended rapidly but landed safely, with no passengers requiring hospitalization."
