source_id,summary
15599,"Blue Bell ice cream temporarily shut down its Broken Arrow, Oklahoma plant and recalled certain products after listeria contamination was discovered in ice cream originating from that facility. Public health officials warned consumers against specific 3-ounce servings from the Broken Arrow plant. Listeria found in a Kansas hospital's ice cream and at the plant genetically matched each other, though not the listeria from Kansas patients. However, in a separate Texas outbreak, patient listeria samples matched those from Blue Bell cups. The CDC is investigating the link between these illnesses and Blue Bell products. Five people were infected and three died in Kansas, potentially linked to Blue Bell. This marks Blue Bell's first product recall in its 108-year history. Listeriosis is a serious infection, primarily affecting vulnerable populations."
15601,"An outside review by Columbia Journalism School professors concluded that a ""deeply flawed article"" by Rolling Stone about a purported gang rape at the University of Virginia resulted from ""institutional failure"" in reporting, editing, supervision, and fact-checking. Rolling Stone's managing editor, Will Dana, apologized for the story. The passage then explores potential defamation lawsuits. The University of Virginia, as a governmental entity, cannot sue for defamation. While groups generally cannot sue unless statements are ""of or concerning"" them, the Phi Kappa Psi fraternity might argue it falls under a ""small group"" exception where defamation is easily imputed to all members, though Rolling Stone could counter that the group is too large. Other fraternities would likely face greater difficulty. Although defamation cases often require proof of financial harm and are rarely successful, the passage suggests that individual Phi Kappa Psi members could potentially succeed if they overcome preliminary hurdles and demonstrate damages."
15604,"The author, the first woman and person of color elected to the Kentucky State Senate in 1967, expresses strong disapproval of Rand Paul's presidential campaign. She criticizes Paul for attempting to launch his campaign on a record that includes questioning landmark voting and civil rights legislation, supporting private business discrimination, and opposing protections for DREAMers and women's choices. The author argues that Paul's stated message of ""expanding the Republican Party"" is mere hype, as his policies contradict his claims of inclusion. She concludes that his views are outdated, outside the mainstream, and disqualify him from leading the country, advocating for more democracy and genuine commitment to minority communities."
15613,"Mary Kay Letourneau Fualaau and Vili Fualaau, whose relationship began in 1996 when she was his 34-year-old teacher and he was her 13-year-old student, are still happily married and will celebrate their 10th wedding anniversary. Their affair led to Letourneau serving over seven years in prison. Now 53 and 31 respectively, the couple, who are parents to two teen girls, will be featured in an exclusive ""20/20"" interview. In the interview, Mary Kay will discuss their marriage, her plans to teach again, and her intention to have her sex offender status lifted, while Vili will discuss his struggles with alcoholism and depression, and his belief that the system failed him as a minor."
15616,"Kanye West has settled a civil lawsuit with paparazzi photographer Daniel Ramos, who he assaulted in July 2013 at Los Angeles International Airport. During the incident, West tried to wrestle Ramos' camera from him. West had previously pleaded no contest to a misdemeanor battery charge for the scuffle, resulting in two years' probation, anger management, and community service.

Ramos, represented by lawyer Gloria Allred, filed the civil suit seeking damages, claiming West interfered with his right to pursue a lawful occupation. The case was settled to the satisfaction of both parties, with a key aspect of the undisclosed settlement being an apology from West to Ramos, followed by a handshake. Allred stated the case sent a message that celebrities are not above the law."
15617,"Blues legend B.B. King was hospitalized for dehydration, which was caused by his Type II diabetes. His daughter, Claudette King, confirmed he is now much better, has been released from the hospital, and is resting at home. King, 89, had a similar health issue last year, suffering from dehydration and exhaustion that led to a tour cancellation. A renowned musician, King was inducted into the Rock and Roll Hall of Fame in 1987, has 30 Grammy nominations, and famously named his Gibson guitars Lucille."
15623,"Indiana Pacers player Chris Copeland was stabbed early Wednesday in New York City after leaving a nightclub, 1OAK. His companion, Katrine Saltara, was also stabbed, and another woman was slashed. The incident occurred in front of the Fulton Houses project, down the street from the club, not on 1OAK's property, though club staff assisted Copeland. A suspect was arrested, and charges are pending. Separately, Atlanta Hawks players Pero Antic and Thabo Sefolosha were arrested on charges of obstructing governmental administration and disorderly conduct (Sefolosha also for resisting arrest) for pushing through a crowd at the scene, though police stated they were not involved in the stabbing itself. Copeland is in stable condition with knife wounds to his left elbow and abdomen."
15627,"Twenty years after her death, Tejano star Selena's family is creating ""Selena the One,"" a hologram-like digital embodiment of the singer. Developed by Nevada-based tech company Acrovirt LLC, this figure will be a ""walking, talking, singing and dancing digital embodiment"" of Selena, designed to allow new fans to experience her and continue her legacy. The project plans to release new songs and videos, collaborate with current artists, and aims to go on tour in 2018. Selena will be the first figure to use Acrovirt's technology and the first Latina to do so. An Indiegogo campaign, launching April 16, seeks to raise $500,000 to support the project."
15628,"Alaska Airlines Flight 448, en route from Seattle to Los Angeles, returned to Seattle-Tacoma International Airport shortly after takeoff due to unusual banging from the cargo hold. The noise came from a ramp agent, a contractor for Alaska Airlines, who had fallen asleep in the cargo hold. The cargo hold was pressurized and temperature-controlled, and the plane was only airborne for 14 minutes, so the agent was not in danger. Passengers also heard the pounding and yelling. After an emergency landing, the agent was taken to a hospital as a precaution, passed a drug test, and was discharged. Alaska Airlines is investigating the incident, and the flight, with 170 passengers and six crew members, later departed for Los Angeles."
15634,"Emy Afalava, a decorated veteran born in American Samoa (a U.S. territory), is denied U.S. citizenship despite the Fourteenth Amendment's declaration that persons born in the U.S. and subject to its jurisdiction are citizens. He and other American Samoans are pursuing a federal lawsuit to gain citizenship. The passage draws parallels to historical instances of citizenship denial based on race, such as the Dred Scott case (later overturned by the 14th Amendment) and the Isabel Gonzalez case involving Puerto Rico, where the Supreme Court avoided granting citizenship due to racial concerns. American Samoans are currently the only inhabitants of a U.S. island territory who have not been granted U.S. citizenship."
