source_id,summary
15599,"Blue Bell Creameries has closed its Broken Arrow, Oklahoma, plant after listeria was found in a 3-ounce ice-cream cup made there. The CDC urges consumers to discard any Blue Bell products from this facility, especially 3-ounce cups marked with the letters O–T after the date code; other Blue Bell items are not included. The shutdown—Blue Bell’s third action tied to listeria issues—aims to locate the contamination source. Listeria in the affected cup matched bacteria found in additional factory samples and resembled strains from illnesses linked to Blue Bell in Texas, but it differs from samples taken from Kansas patients; investigations continue to determine any direct link. Earlier, Blue Bell recalled items from a Texas plant after five Kansas hospital patients (three fatalities) became ill, four of whom had consumed the ice cream. This is the first recall in the company’s 108-year history. The CDC reminds institutions and consumers to discard recalled products, noting that listeriosis is a serious infection primarily threatening the elderly, pregnant women, newborns, and the immunocompromised."
15601,"A Columbia Journalism School review found that systemic failures in Rolling Stone’s reporting, editing, oversight and fact-checking produced a flawed story about an alleged gang rape at the University of Virginia. Rolling Stone’s managing editor issued a public apology to readers, UVA administrators, students and the Phi Kappa Psi fraternity.  

Legal analysis of potential defamation claims notes:  
• Defamation requires publication of a false, harmful statement made with at least negligent intent.  
• Government bodies like UVA cannot sue for libel.  
• Group defamation is generally not actionable; individual members can sue only if the group is “comparatively small” and the statement is clearly imputed to each member.  
• Phi Kappa Psi may argue it fits this small-group exception, while Rolling Stone would contend the fraternity’s size and changing membership defeat that claim.  
• Other fraternities are even less likely to have standing.  
• Any plaintiff must also prove concrete reputational or financial harm.  

Thus, UVA has no claim, but Phi Kappa Psi or its individual members might prevail if they clear these procedural hurdles and demonstrate actual damages."
15604,"The writer, who in 1967 became the first woman and first person of color in the Kentucky State Senate, criticizes Senator Rand Paul’s newly announced presidential bid. While Paul presents his run as an effort to “expand” and include minorities in the Republican Party, the author cites his record as evidence to the contrary: questioning the Civil Rights Act, suggesting private businesses may discriminate, down-playing the need for a strengthened Voting Rights Act, calling for elimination of the Education Department, seeking to restrict women’s reproductive choices, and opposing protections for DREAMers. The author describes Paul’s minority-outreach efforts as condescending and argues that his views would take the nation backward, making him unfit for the presidency."
15613,"Mary Kay Letourneau Fualaau, now 53, and her husband Vili Fualaau, 31, remain together nearly two decades after their illicit relationship began in 1996, when she was a 34-year-old married teacher and he was her 13-year-old student. Letourneau served more than seven years in prison and the couple wed shortly after her 2005 release; they have two teenage daughters and will mark their 10th wedding anniversary on May 20. In an upcoming ABC “20/20” interview with Barbara Walters, Letourneau discusses how their marriage endures despite the age gap, her wish to teach again, and efforts to remove her registered–sex-offender status, while Fualaau addresses his struggles with alcoholism, depression, and feeling the system failed him as a minor."
15616,"In July 2013 at LAX, Kanye West rushed paparazzo Daniel Ramos, trying to seize his camera; West later pleaded no contest to misdemeanor battery and received two years’ probation, anger-management classes, and community service. Ramos, represented by Gloria Allred, then filed a civil suit seeking general and punitive damages. The trial set for the following week was canceled after both parties reached a settlement that satisfied them; terms were undisclosed, but West formally apologized and the two shook hands, as shown in a released photo. Allred said the case underscored that celebrities “are not above the law.” (West had separately settled another alleged assault from January 2014 in Beverly Hills.)"
15617,"B.B. King, 89, was briefly hospitalized for dehydration related to his Type II diabetes but is “much better,” left the hospital the same day, and is now resting at home with his grandchildren. He thanked fans for their concern. Specific hospital details were not released. King—inducted into the Rock and Roll Hall of Fame in 1987, holder of 30 Grammy nominations, known for his Gibson “Lucille” guitars, and hits such as “The Thrill Is Gone,” “There Must Be a Better World Somewhere,” and “When Love Comes to Town”—had previously canceled shows last year due to dehydration and exhaustion."
15623,"Indiana Pacers forward Chris Copeland, 31, was stabbed in the abdomen and left elbow around 4 a.m. Wednesday after leaving the 1OAK nightclub area in Chelsea, New York. The attack occurred down the street near the Fulton Houses as Copeland and his companion, Katrine Saltara, walked to their car; Saltara and a second woman were also slashed. Copeland’s driver subdued the 22-year-old male suspect, who never entered the club and is now in police custody; charges are pending and a knife was recovered. Copeland is in stable condition at a New York hospital.

Atlanta Hawks players Pero Antic, 32, and Thabo Sefolosha, 30—who had played in Atlanta hours earlier—were arrested at the scene on charges of obstructing governmental administration and disorderly conduct (Sefolosha also for resisting arrest) after pushing through the crowd outside; police say they were not involved in the stabbing. Both players will miss the Hawks’ game against the Nets; the team and NBA are reviewing the matter.

1OAK states the incident began off-premises, that security aided Copeland upon his return toward the club, and that surveillance video does not capture the stabbing itself. The club shut down immediately afterward. Statements acknowledging and monitoring the situation were issued by Pacers president Larry Bird, Copeland’s agent, and Hawks officials."
15627,"Selena’s family is partnering with Nevada tech firm Acrovirt to create “Selena the One,” a hologram-like, fully animated version of the late Tejano star that will walk, talk, sing and dance. The digital figure—billed as the first to use Acrovirt’s “Digitized Human Essence” technology—will release new music, appear in videos, collaborate with current artists and mount a tour targeted for 2018. An Indiegogo campaign launching April 16 seeks $500,000 to fund the project, while the annual Fiesta de la Flor tribute in Corpus Christi follows on April 17–18. Family spokesperson Suzette Quintanilla emphasizes that the goal is to extend Selena’s legacy, which remains strong 20 years after her death."
15628,"Alaska Airlines Flight 448 left Seattle for Los Angeles on Monday but returned after 14 minutes when the pilot heard banging from the cargo hold. The noise came from a Menzies Aviation ramp agent who had accidentally fallen asleep inside while loading luggage. Passengers also heard pounding and faint cries; an onboard federal air marshal responded until landing. The pressurized, temperature-controlled hold kept the worker safe; he was taken to a hospital, passed a drug test, and released. His shift (5 a.m.–2:30 p.m.) had just ended, and coworkers thought he’d gone home when he couldn’t be reached. The flight, carrying 170 passengers and six crew, later continued to Los Angeles. Alaska Airlines is investigating."
15634,"Emy Afalava, a decorated veteran born in American Samoa (a U.S. territory since 1900), is barred from voting because the federal government denies him U.S. citizenship, despite the Fourteenth Amendment’s guarantee that anyone born “in the United States, and subject to the jurisdiction thereof,” is a citizen. He and other American Samoans are challenging this exclusion in a lawsuit now before the D.C. Circuit. The passage traces how racial prejudice has repeatedly shaped territorial citizenship: first in the Supreme Court’s Dred Scott decision against free African-Americans, later in early-1900s rulings that treated Puerto Ricans and other island residents as constitutionally inferior, exemplified by Isabel Gonzalez’s case. While all other U.S. territorial peoples have since received citizenship, American Samoans remain the lone exception. The author argues that continuing to withhold their citizenship perpetuates a discredited, racially driven legacy and urges the courts to correct it."
