source_id,qa_response
14300,"Automotive technicians are paid through various combinations of hourly and commission pay rates.
"
14323,"Based on the provided passages, here's how to start grilling:

1.  Dump lit coals into the grill.
2.  Spread the coals into a double layer on the far side and a single layer in the center.
3.  Leave the section closest to you coal-free.
4.  Replace the grill grate.
5.  If using a gas grill, set it up for three-zone grilling.
6.  When the grill grate is hot, clean it with a grill brush, then lubricate it with a grill oiler or a folded paper towel dipped in vegetable oil.
"
14353,"1.  Lay the quilt on a flat surface.
2.  Fold the lower right corner up toward the center of the quilt on the bias.
3.  Fold the lower left corner up toward the center of the quilt on the bias.
4.  Fold the top left corner down toward the center of the quilt on the bias.
5.  Fold the top right corner down toward the center of the quilt on the bias.
"
14355,"A water pick can help keep your teeth, gums, mouth, and overall body healthier by shooting a strong stream of water at your gum line to eliminate germs and plaque. It can massage and stimulate soft tissue in the mouth, helping to reduce the risk of gingivitis, and remove food from areas that brushing cannot access.
"
14360,"Passage 1 explains how to set the default web browser in Windows 7. Passage 2 describes how to set the default browser by opening the Settings app, clicking System, then Default apps, and choosing a browser. Passage 3 describes how to set Firefox as the default browser by opening Firefox, clicking the menu button, and selecting Options.
"
14366,"According to the passages, a worn American flag can be disposed of in one of two ways:

1.  Remove the blue field, burn it peacefully, and bury the ashes, then put the rest of the flag out for collection.
2.  Burn the flag in a proper ceremony after folding it in the customary triangle fold.
"
14375,"To cook brats, combine beer and onions in a pot, bring to a boil, and submerge the bratwurst with seasonings (Passage 1). Alternatively, prick the bratwurst with a fork and simmer in a pot with onions, butter, and beer (Passage 2). Then, preheat a grill, oil the grate, and cook the bratwurst on the grill, turning occasionally, until browned (Passage 1 & 2). The onions can be cooked before or after the bratwurst (Passage 3).
"
14390,"Symptoms of IBS include diarrhea, constipation, constipation alternating with diarrhea, belly pains or cramps that worsen after meals and improve after a bowel movement, gas, and bloating. The exact cause of IBS is unknown, but it is believed to be due to a combination of factors such as abnormal GI tract movements, increased awareness of bodily functions, disruption in communication between the brain and the GI tract, abnormal nervous system signals, increased sensitivity to pain, and food intolerances.
"
14392,"Essential amino acids cannot be made by the body and must be obtained from one's diet, while nonessential amino acids can be made by the body.
"
14394,"The summers in Indianapolis, Indiana are long, warm, humid, and wet. The winters are chilly and windy, and it is partly cloudy year round. The temperature typically varies from 22°F to 85°F. Indianapolis also has snow, with monthly and yearly averages for total days and inches of snowfall, snow accumulation, and heavy snowstorms.
"
14396,"To sync an audiobook from your iPhone to iTunes, the passages suggest the following methods:

*   **Passage 1:** Use OverDrive for Windows and turn on the ""Manually manage music"" setting in iTunes.
*   **Passage 2:** Download the audiobook from iTunes, connect your iPhone to your computer via USB, and wait for iTunes to sync.
*   **Passage 3:** Connect your iPhone to your PC, select the audiobooks you want to transfer, and click ""Sync Audiobooks"".
"
14404,"The body systems work together to keep the body functioning normally. For example, the urinary system cleans waste products from the skeletal, muscular, digestive, respiratory, circulatory, and nervous systems. The respiratory system provides oxygen for all body parts and removes carbon dioxide from the muscular, digestive, skeletal, circulatory, urinary, and nervous systems.
"
14418,"The name Teresa means ""reap; from Therasia"" in Greek and American. In Italian, it means ""harvester."" In Spanish, it is the name of two popular saints 'Teresa of Avila' and 'Therese of Lisieux'. The name is thought to come from the Greek ""therizein"" meaning ""to harvest, harvester"" or from the Greek ""theros"" meaning ""summer"". Therasia is also the name of a Greek island.
"
14433,"Based on the passages:

*   **Education:** India's education trends are more typical, initially focusing on resources and access. Vietnam's education system is relatively equitable, providing similar opportunities for poorer children.
*   **Historical/Political Relations:** India supported Vietnam's independence and unification, opposing American involvement in the Vietnam War. They have strong bilateral relations with cultural and economic links dating back to the 2nd century.
*   **Colonial History:** The United Kingdom lost India in 1947, and France lost Indochina, modern day Vietnam, shortly after World War II in 1945. After decolonization India was divided between the Hindus, Muslims and Sikhs, which resulted in numerous conflicts."
14445,"When an asset is discarded but not sold, the scrap value of the asset can be reduced from the block in the previous year in which the asset is discarded. The assessee can claim depreciation on the residual value of the discarded asset (opening WDV less scrap value), even if the asset is not used for business purposes in that year or subsequent years.
"
14458,"To sew a zipper gusset:

1.  Make a few stitches near the top stop of the zipper.
2.  Pin the zipper gusset to the zipper (1/4″ away from the center) with right sides facing each other.
3.  Change the presser foot to a zipper foot and sew a line near the seam line to secure the position.
4.  Place the zipper gusset lining on top with right side facing down and stitch on the seam line.
5.  Flip the lining to the bottom of the main zipper gusset and top stitch near the seam line.
6.  Repeat sewing another side of the zipper gusset. The width of the zipper in between the gusset should measure 1/2″.
7.  Change the presser foot back to normal and stitch on the seam allowance around the zipper gusset so that the main and lining fabric attach together nicely.
8.  Clip lightly on the piping seam allowance at the curve.
9.  Place the zipper gusset on the pencil case body, with the ends aligned to the center markings.
10. Sew from marking to marking at both ends.
11. Place the lining on top with right side facing down.
"
