source_id,summary
14-0,"Here is a concise summary of the passage, covering the core pieces of information:

Militants, later claimed to be from the Islamic State (IS) group, attacked a 400-bed hospital in Afghanistan, killing at least several people and wounding over 50. The attackers, armed with guns and grenades, gained entry after detonating explosives at a gate and opened fire on staff and patients. Commandos killed the four attackers after several hours of fighting. The attack is seen as a change in approach by IS in Afghanistan, as it is the first time they have directly engaged with security forces in the capital. The Taliban has denied involvement. The attack has been widely condemned by Afghan leaders, including President Ashraf Ghani and de-facto deputy leader Abdullah Abdullah. The incident suggests that IS may have gained more resources and military training, potentially leading to more such assaults in the future."
14-1,"The passage discusses the 46th year of the Booker Prize, a literary award that is now open to authors writing in English regardless of nationality. The six shortlisted novels are: Jhumpa Mukherjee's ""The Lives of Others"", Howard Jacobson's ""J"", Ali Smith's ""How To Be Both"", Joshua Ferris's ""To Rise Again at a Decent Hour"", Karen Joy Fowler's ""We Are All Completely Beside Ourselves"", and Richard Flanagan's ""The Narrow Road to the Deep North"". The favorites to win are Mukherjee at 5/2 and Flanagan at 3/1. The judging panel, chaired by AC Grayling, will announce the winner at London's Guildhall. The shortlisted authors will receive £2,500 and a specially bound edition of their book. The passage also mentions the sales figures of the shortlisted novels, with Fowler's being the best-selling, and quotes a professor of contemporary literature, David Brauner, who expresses some reservations about the shortlist."
14-2,"Here is a concise summary of the passage, covering the core pieces of information described:

Mark Carney, Governor of the Bank of England, announced a surprise decision to extend his term by one year, until 2019, instead of leaving in 2018 or staying until 2021. The decision was driven by personal reasons, specifically his family's plans and the education of his daughters. In 2018, his daughters will be taking important exams (A-levels and GCSEs), and he wants to return to Canada with his family to take advantage of its education system. Carney emphasized that the decision was entirely personal and not related to government policy or pressure. He intends to serve as Governor for as long as he can, giving the role his total attention and devotion. The decision allows him to see through the initial Brexit negotiations, as the Article 50 process is expected to be complete by 2019, after which a new Governor will take over."
14-3,"Here is a concise summary of the passage, covering the core pieces of information:

Adrian Gill, a columnist for the Sunday Times, died on Saturday after being diagnosed with multiple cancers. He had been undergoing chemotherapy and had written about his illness in his final column, which will be published in tomorrow's edition. Gill was known for his witty and fearless writing style, and was described by Sunday Times editor Martin Ivens as ""a giant among journalists"" and ""the heart and soul"" of the paper. Tributes have been paid to Gill by fellow writers, broadcasters, and journalists, who praised his writing talent and unique style. Gill had a history of writing provocative and sometimes contentious articles, which often sparked controversy. Born in 1954, Gill overcame dyslexia to become a successful writer, and had a long career with the Sunday Times, having joined in 1993. He was engaged to his partner, Nicola Formby, at the time of his death."
14-4,"Here is a concise summary of the passage, covering the core pieces of information:

The passage discusses the activities of three prominent cyber groups involved in the conflict between Ukraine and Russia: Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International. The Ukrainian Cyber Troops, led by Yevhen Dokukin, have hacked into Russian servers and email accounts, and have used distributed denial-of-service (DDoS) attacks to disrupt rebel websites. They have also hijacked CCTV cameras and network printers to gather intelligence and spread pro-Ukrainian messages. Cyber Berkut, on the other hand, is a pro-Russian group that has hacked into Ukrainian government websites and electronic billboards, and has leaked confidential documents. Anonymous International, a Russian group, has published leaked documents from the Kremlin and has released information related to the conflict in Ukraine. The passage highlights the significant role of these cyber groups in the conflict, with some of their activities potentially influencing the military operations on the ground."
5-0,"Here is a concise summary of the passage:

The passage is about James Milner, a 30-year-old former Manchester City player. He earned 61 caps for England, debuted in 2009, and played in two World Cups and two European Championships. Milner holds the record for most capped England Under-21 player with 46 caps and scored one international goal. He has announced his retirement from international football, wishing his successor Sam Allardyce and the team success."
5-1,"Here is a concise summary of the passage:

Brad Wilk is a drummer best known for his work with Rage Against the Machine (1991-2000, 2007-11) and Audioslave (2001-07). He started his career with Greta in 1990 and co-founded Rage Against the Machine in 1991. As of 2016, he was playing with Prophets of Rage. 

**Note that the passage contains an error**: it incorrectly states that ""Rage"" refers to a German heavy metal band, when in fact, the context clearly indicates that ""Rage"" refers to ""Rage Against the Machine"". The German heavy metal band is actually called ""Rage"", formed in 1984 by Peter ""Peavy"" Wagner, and is unrelated to Brad Wilk's work."
5-2,"Here is a concise summary of the passage:

Gary Locke has been appointed as the permanent manager of Kilmarnock after a successful interim spell, signing a three-year deal. He initially joined the club as assistant manager last summer and took over as manager in February. Since then, he has lost only once in seven games."
5-3,"Here is a concise summary of the passage:

Rupert Murdoch is the chairman and acting CEO of Fox News. He is a businessman and media mogul, and was previously the CEO of News Corporation, the world's second-largest media conglomerate. After a split in 2013, News Corporation became News Corp and 21st Century Fox, with Murdoch remaining in a leadership position."
15-0,"Here is a concise summary of the passage, covering the core pieces of information:

Veteran actor Robert Hardy, 89, is selling over 200 antiques and collectibles from his collection in a £100,000 auction due to downsizing his home. The sale, taking place at Dominic Winter Auctioneers in Gloucestershire, includes a range of items such as furniture, paintings, swords, flintlock rifles, silverware, crystal chandeliers, and rare books. Notable items include a hand-painted diorama of the Battle of Agincourt, a medieval longbow, and a portrait of Hardy holding the longbow. Hardy, a military historian and expert on the medieval longbow, has built up the collection through his interests in classic literature and military history. He has had a distinguished acting career, playing roles such as Siegfried Farnon in ""All Creatures Great and Small"" and Winston Churchill in various television dramas, and has appeared in the ""Harry Potter"" films. Despite retiring from stage acting two years ago, Hardy plans to continue working in television."
15-1,"Here is a concise summary of the passage, covering the core pieces of information:

Veteran actor Robert Hardy, 89, is selling over 200 antiques from his collection in a £100,000 auction due to downsizing his home. The collection includes a diorama of the Battle of Agincourt, a longbow, paintings, furniture, swords, and crystal chandeliers. Hardy, a military historian and expert on the medieval longbow, has built up the collection through his interests in classic literature and military history. He was taught by J.R.R. Tolkien and C.S. Lewis at Oxford University and has published two books on the history of the longbow. The auction, taking place at Dominic Winter Auctioneers in Gloucestershire, includes 238 lots and features items such as early Victorian furniture, 17th-century books, and a portrait of Hardy holding a longbow. Hardy is sad to be selling his collection but is entrusting it to the auctioneers, hoping the new owners will derive as much joy from the items as he has."
15-2,"Here is a concise summary of the passage, covering the core pieces of information:

Veteran actor Robert Hardy, 89, is selling over 200 antiques from his collection in a £100,000 auction due to downsizing his home. The collection includes a diorama of the Battle of Agincourt, a longbow, paintings, furniture, swords, and crystal chandeliers. Hardy, a military historian and expert on the medieval longbow, has built up the collection through his interests in classic literature and military history. He was taught by J.R.R. Tolkien and C.S. Lewis at Oxford University and has published two books on the history of the longbow. The auction, taking place at Dominic Winter Auctioneers in Gloucestershire, includes 238 lots, such as rare books dating back to the 17th century. Hardy is sad to sell his collection but is entrusting it to the auctioneers, hoping the new owners will derive as much joy from the items as he has."
15-3,"Here is a concise summary of the passage, covering the core pieces of information described:

A study published in the American Journal of Public Health found that heavy drinking among Americans increased by 17.2% between 2005 and 2012, largely due to rising rates among women. The study defined heavy drinking as exceeding one drink per day for women and two drinks per day for men, and binge drinking as four or more drinks for women and five or more drinks for men on a single occasion. The rate of binge drinking among women increased more than seven times the rate among men. In 2012, 8% of Americans were considered heavy drinkers and 18% were binge drinkers. The study attributed the increase in excessive drinking to changing social norms, increased affluence, decreased alcohol prices, and increased alcohol advertising. The consequences of excessive drinking are significant, with an estimated 88,600 U.S. deaths attributed to alcohol in 2010 and a cost of over $220 billion per year."
4-0,"Here is a concise summary of the passage:

The Giants lost 4-3 to the Panthers in a hockey match. The Giants will meet the Panthers again on Saturday night. The current league standings are: Nottingham (28 points) in the lead, followed by Sheffield Steelers (27 points), and Belfast (25 points)."
4-1,"Here is a concise summary of the passage:

The passage describes two unrelated topics: 
1. Anne Rice, an author born in New Orleans, who moved to various cities including Texas and San Francisco.
2. Route 495, a 3.45-mile freeway in New Jersey that connects to the New Jersey Turnpike and New York State Route 495 via the Lincoln Tunnel, providing access to Midtown Manhattan."
4-2,"The passage describes two films titled ""Home for the Holidays"". The first is a 1972 American made-for-television horror film starring Sally Field, Eleanor Parker, and Julie Harris, among others. The second is a 1995 film with a different cast, including Holly Hunter, Robert Downey Jr., and Anne Bancroft."
4-3,"Here is a concise summary of the passage:

St Mirren has acquired Cammy Smith on loan from Dundee United. The 21-year-old Scotland Under-21 cap has previously played for Aberdeen and has scored 5 goals this season while on loan at United. St Mirren boss Jack Ross praises Smith as a good player and a good fit for the team, who will host Falkirk on Saturday."
4-4,"Here is a concise summary of the passage:

The passage describes three different entities: 
1. Billy Ray Cyrus, an American country music singer and philanthropist.
2. ""Excuse My French"", which refers to both the debut studio album by American rapper French Montana and an Egyptian comedy film directed by Amr Salama.
3. The Egyptian film ""Excuse My French"" faced censorship issues due to its depiction of religious discrimination, based on the director's personal experiences."
7-0,"Here is a concise summary of the passage:

The six highest-spending parties in the UK's European election spent a total of £9,347,087 on campaigning. The breakdown is as follows: UKIP (£2,956,737), Conservatives (£2,980,815), Lib Dems (£1,580,575), Labour (£1,027,339), Greens (£534,249), and SNP (£267,372). The cost per vote varied among parties, ranging from 26p (Labour) to £1.45 (Lib Dems). All parties except Labour spent more than they did in the 2009 European election."
7-1,"Here is a concise summary of the passage:

The live-action adaptation of Beauty and the Beast has cast several actors, including Emma Watson as Belle, Dan Stevens as the Beast, and Luke Evans as Gaston. Other cast members include Emma Thompson as Mrs. Potts, Kevin Kline as Maurice, and Josh Gad as LeFou. The film, directed by Bill Condon, is set to be released on March 17, 2017, and begins filming at Shepperton Studios in May."
7-2,"The passage describes two different individuals: Dorothy Ann Willis Richards and Ann Richards. Dorothy Ann Willis Richards was an American politician and the 45th Governor of Texas from 1991 to 1995. She was a Democrat known for her feminism and one-liners, and was defeated for re-election by George W. Bush in 1994. Ann Richards, on the other hand, was a jazz singer and the wife of pianist Stan Kenton, with no apparent relation to Dorothy Ann Willis Richards despite sharing a similar name."
7-4,"Here is a concise summary of the passage:

Torbay-based football club, Torquay United (also known as ""The Gulls""), has made two new signings. Centre-back Myles Anderson, 27, has joined the club after cancelling his contract with Barrow by mutual consent. Striker Ruairi Keating, 21, has also signed, having been recommended by ex-Port Vale manager Micky Adams. The club is currently in the relegation zone, four points above the bottom, and has won only one of their last six games."
9-0,"Here is a concise summary of the passage:

The passage describes two historical figures named Francis I. The first, Francis I (Franz Stefan), was Holy Roman Emperor and Grand Duke of Tuscany from 1708 to 1765, though his wife held the actual power. The second, Francis I (François Ier), was King of France from 1515 to 1547 and was known for his involvement in wars against Charles V, Holy Roman Emperor and King of Spain. He formed a controversial alliance with the Ottoman Sultan Suleiman the Magnificent and clashed with Charles V in the Italian War of 1536-1538."
9-1,"Here is a concise summary of the passage:

During the Inaugural Indycar Grand Prix of Louisiana, a pit crew member, Todd Phillips, was hit by Francesco Dracone's car on lap 25 while changing tires. Phillips was injured, receiving a cut on his leg, but was treated at the infield care center and released after receiving stitches. Dracone, who spun out while exiting his pit box, did not finish the race and finished 23rd. The incident occurred on a track that was challenging due to rain that had fallen before the race, causing traction issues for many drivers."
9-2,"Here is a concise summary of the passage:

Widnes defeated Castleford 38-24, coming back from a nervy finish after Castleford scored three tries in four minutes. Widnes had taken a 26-point lead in the second half, but Castleford's Larne Patrick, Luke Gale, and Paddy Flynn (who was on loan from Widnes) scored tries to make it a close finish. Widnes' victory moved them above Wakefield into seventh place, while Castleford remained in sixth."
9-3,"Here is a concise summary of the passage:

Tony Clarkson, 30, has rejoined St Mirren and is expected to make his debut against Alloa on Saturday. He has been training hard and is match-fit, having played for the U20s. Clarkson has made nearly 400 senior appearances and has been capped twice for Scotland. St Mirren are currently 8th in the Championship, 7 points ahead of Alloa, and Clarkson hopes a win will boost their confidence and help push the team up the table."
9-4,"Here is a concise summary of the passage:

Amir Khan, a boxer from Bolton, took a break with his family to visit Six Flags Discovery Kingdom in Northern California. He was accompanied by his wife, Faryal, and daughter, Lamysa. During their visit, Khan interacted with various animals, including a rare white tiger, giraffes, and sea lions. The trip comes after Khan announced his next fight against Chris Algieri on May 30 at welterweight, ending speculation about his next opponent, which had included potential bouts against Kell Brook, Adrien Broner, and Keith Thurman."
16-0,"Here is a concise summary of the passage:

The passage discusses the significance of historic boxing fights and specifically highlights the rivalry between Sugar Ray Leonard and Roberto Duran. Their first fight in 1980 was contentious, with Duran winning by a unanimous decision after a disputed scoring. In the rematch eight months later, Leonard used his speed and movement to outmaneuver Duran, who became frustrated and quit in the 8th round, saying ""no mas"" to the referee. The result was met with shock and embarrassment for Duran, damaging his reputation in Panama. It took Duran three years to restore his reputation by winning the world light-middleweight title. Leonard considered forcing Duran to quit a greater achievement than knocking him out. The two fighters had a third bout in 1989, which Leonard won by a points landslide."
