source_id,overview
13601,"Finch & Fork is a classy American restaurant and bar located at 31 W Carrillo St, Santa Barbara, CA, operating evenings Monday–Saturday and offering a dedicated Sunday brunch (9 am–2 pm). It sits inside a hotel lobby and provides garage, street, validated, and valet parking. The venue accepts reservations, supplies free Wi-Fi, offers take-out, and accommodates groups; outdoor seating and live music are not provided.

Customer feedback (all 5-star in the supplied data) highlights:

• Brunch focus – popular dishes include breakfast burritos, steak & eggs with frites, and eggs Benedict.  
• “Bottomless” mimosa deal ($14 first pour, $1 refills; multiple juice flavors) and “mimosa madness” receive repeated praise.  
• Service is consistently described as friendly and attentive, with specific shout-outs to servers Jamie and Matthew.  
• Ambience is noted as pleasant and upscale-feeling; one review calls the food pricing high, while another finds it surprisingly affordable for the setting.

Overall rating in the dataset: 4.0 stars."
13603,"Tinker’s Burgers is a casual burger spot at 2275 Ortega Hill Rd, Ste C, Summerland, CA. It serves burgers and related fare daily from 11 a.m. to 5 p.m.  
Key details  
• Seating & service: walk-in only (no reservations), outdoor seating available, take-out offered, suitable for groups.  
• Amenities: street parking, no Wi-Fi, no valet/garage lot.  
• Ambience: described as both “divey” and “classy.”  

Customer feedback (overall 4.0 stars)  
• Food quality earns frequent praise—multiple reviewers call the burgers, fries, malts and freezes “excellent,” “superb,” and even the “best burgers we’ve ever had.”  
• One reviewer reports slow ticket times (≈30 minutes for a small order) and unhelpful cashier service, citing limited ketchup and poor value for the wait.  
• Others highlight the spot as a “hidden gem” and say they have become regular patrons.

In sum, Tinker’s Burgers is appreciated for its standout burgers and classic sides, though some guests note inconsistent speed and service."
13604,"Benchmark Eatery, 1201 State St, Santa Barbara, holds an overall 4.0-star rating. The casual-yet-classy spot serves a broad American menu (traditional, new, breakfast-brunch, seafood, vegetarian) and operates Tues–Thu & Sun 11:30 a.m.–8 p.m., Fri–Sat 11:30 a.m.–4 p.m.; it is closed Monday. Amenities include outdoor seating, free Wi-Fi, multiple parking options (garage, street, lot), take-out, and group-friendly tables; reservations are not accepted.

Customer feedback is mixed. Positive remarks note tasty flatbreads, good-flavored (if thick) clam chowder, and a consistently popular burrito; diners appreciate the welcoming, upscale-casual atmosphere and a pleasant patio. Critical comments cite bland or unseasoned items (BLAT with chicken, burger, onion rings), order errors (tomato left on a “no-tomato” request), inconsistent soup spiciness, slow beverage refills, and an off-putting cleaning-spray odor inside. One guest reported stomach discomfort and questioned ingredient freshness. Overall, patrons enjoy certain dishes and the setting, but some cite quality-control and service issues."
13613,"Pizza Mizza  
Location: Santa Barbara, CA  
Category: Pizza/Italian restaurant and food-delivery service  

Key facts  
• Hours: Monday & Sunday 11:00 am–9:00 pm  
• Services & amenities: delivery (current focus), take-out, reservations accepted, outdoor seating, free Wi-Fi, good for groups, casual ambience, lot parking available.  
• Overall rating: 3.5 stars (Yelp data).

Customer feedback highlights  
Food  
– Consistently praised pizza; fresh toppings and well-cooked crust.  
– Wide menu with many pizza styles plus pastas, salads, gluten-free and cauliflower crust options.  
Service & operations  
– Several reviewers note the restaurant is operating “delivery only” at present.  
– Delivery times reported around one hour; orders arrived complete with extras (ranch, plates, cheese, peppers).  
– In-house service criticized for long waits (30+ minutes), inattentive or disorganized staff, and orders left sitting; one guest received a full refund after delays.  

Overall  
Customers generally like the food variety and quality, but uneven service and extended wait times affect the dining experience, contributing to its mid-range rating."
13614,"Taffy’s Pizza is a casual, family-oriented restaurant at 2026 De La Vina St., Santa Barbara, specializing in pizza but also offering sandwiches, pastas, salads, breadsticks and a varied beer list. Customers highlight a wide choice of crusts, meats, cheeses and veggie toppings; free delivery (though wait times can vary); and accommodating service that will create off-menu items on request. The venue provides street or lot parking, accepts reservations, has outdoor seating and free Wi-Fi, and is described as good for groups, with a small arcade and children’s books adding to its kid-friendly appeal. Reviewers praise the pizza’s taste and value and note past trivia nights on the private patio. A lone critical review cites refusal to honor an Axxess discount card and dissatisfaction with a chicken piccata order. Overall rating from the data is 4.0 stars."
13619,"Goodland Kitchen, located at 231 S Magnolia Ave in Goleta, CA, is a casual–classy spot open Monday–Friday, 7 a.m.–2 p.m. It offers street parking only, no reservations or Wi-Fi, and features outdoor seating, takeout service, and group-friendly seating.

Rated 3.5 stars overall, customer feedback is mixed. Recent positive comments praise its friendly staff, “amazing” service, and solid lunch fare such as chorizo dishes, chips, and large salads; patrons also note the business’s recent reopening and encourage support. A contrasting review reports a decline from previously innovative offerings to “humdrum” meat-heavy dishes, missing lunch specials, and issues like stale bread and limited soup choices.

Categories list the establishment under Food, American (New), Farmers Market, and related local services."
13632,"Sam’s To Go is a sandwich-focused eatery at 315 Meigs Rd, Ste I, Santa Barbara, CA. It operates 10 a.m.–9 p.m. Monday–Saturday and 10 a.m.–7:30 p.m. Sunday. The shop provides lot parking, outdoor seating, free Wi-Fi, take-out service, and accommodates groups; reservations are not accepted.

Customer feedback averages 4.5 stars. Two recent 5-star reviews highlight fresh bread, high-quality ingredients, generous “medium” portions, and personable owners described as “nice and funny.” Popular items mentioned include the #11 Italian Cold Cuts, #29 Veggie, and Pastrami Avocado & Cheese. A contrasting 2-star review reports a “sloppily made” turkey sandwich, perceived decline in quality, poor wrapping, and unfriendly service from a staff member, leading that customer to state they would not return.

Overall, patrons frequently praise sandwich flavor, portion size, and friendly service, though one review notes inconsistency in food preparation and customer interaction."
13633,"Viva Modern Mexican  
1114 State St, Santa Barbara, CA  

Overview  
• Multi-category restaurant and bar offering Mexican-focused cuisine plus brunch, seafood, tapas and cocktails.  
• Functions as an event venue; reservations accepted and an upstairs space is available for private parties.  
• Amenities: garage and street parking, outdoor seating, free Wi-Fi, takeout service, and seating suitable for groups. Ambience is described as “classy.”  

Customer Feedback (avg. rating 3.5/5)  
• Praised for fresh margarita flights, flavorful salads, and a “delicious” taco buffet used for a 75-person rehearsal dinner; staff and event coordinator noted as “amazing” and helpful.  
• Criticisms include a report of severe food poisoning and an incident where a dropped plate sent glass flying and caused a minor injury.  

Key Points  
– Good option for private events and large groups.  
– Strong positive comments on drinks and buffet-style food.  
– One serious safety and food-quality complaint reported."
13637,"Hollister Brewing Company  
6980 Marketplace Dr, Goleta, CA  

Type & Amenities: Casual-classy brewpub serving American fare and house-made beer. Offers a full bar, outdoor seating, take-out, free Wi-Fi, reservations, and a parking lot; suitable for groups.  

Hours: Mon–Thu & Sun 11:30 am–7:30 pm, Fri–Sat until 8:00 pm.  

Customer Feedback (avg. 3.5★, mixed):  
• Positive: Patrons welcome the new chef and updated menu, praising stronger flavors, juicy Korean chicken wings, and in-house salad dressings. Location in a large shopping center and wide beer selection are also noted.  
• Negative: Others report 30-minute waits before ordering, slow overall service, unfriendly staff, and instances of staff and management drinking while on duty."
13669,"Jeannine's American Bakery Restaurant  
Address: 7060 Hollister Ave, Ste 105, Goleta, CA  

Overview:  
• Bakery-café serving American-style breakfast, brunch, coffee and baked goods; overall rating 4.5 stars.  
• Located in a mall setting; interior described as “super cute” and “classy” with outdoor seating.  
• Hours: Wed–Fri 7:30 am–1:30 pm, Sat–Sun 7:30 am–2 pm; closed Mon–Tue.  

Amenities:  
• Free Wi-Fi, take-out service, lot parking; no information on reservations; ambience marked classy rather than casual.  

Customer feedback highlights:  
• Popular menu items: French toast, avocado toast, bacon, fresh orange juice, matcha lattes; eggs praised for quality in positive reviews.  
• Service frequently noted as attentive and top-notch.  
• One reviewer reported poor coffee, disappointing chilaquiles, overcooked eggs and high cost, contrasting with two highly favorable reviews citing perfectly prepared food and pleasant atmosphere."
