source_id,overview
13601,"**Finch & Fork** is an American restaurant located at 31 W Carrillo St in Santa Barbara, CA, situated within a hotel lobby. The establishment operates as both a dinner restaurant (Monday-Saturday evenings) and a Sunday brunch venue, with a 4.0-star rating.

**Service & Atmosphere:** The restaurant offers a classy ambience within what customers describe as a ""very nice hotel."" Multiple parking options are available including garage, street, validated, and valet parking. The venue accommodates groups, offers free WiFi, and accepts reservations.

**Operating Hours:** Dinner service runs Monday 5:30 PM-11:00 PM, and Tuesday-Saturday 5:00 PM-9:00 PM. Sunday brunch is served from 9:00 AM-2:00 PM.

**Customer Feedback Highlights:**
- The Sunday brunch is particularly popular, featuring a ""bottomless mimosa"" deal that customers praise ($14 for the first mimosa, $1 for each additional)
- Menu items mentioned include breakfast burritos, steak and eggs with frites, and eggs benedict
- Multiple mimosa flavors are available: orange, grapefruit, and poinsettia/cranberry
- Service receives consistent praise, with servers noted for being hospitable and helpful with local recommendations
- While the ambiance and food quality are highly rated, some customers note the food is overpriced
- Despite the upscale hotel setting, reviewers were pleasantly surprised by the affordable menu prices

The restaurant offers takeout options and maintains a balance between upscale atmosphere and accessible dining."
13603,"Tinker's Burgers is a burger restaurant located at 2275 Ortega Hill Rd, Suite C in Summerland, California. The restaurant operates daily from 11:00 AM to 5:00 PM and has a 4.0-star rating.

The establishment offers takeout service and outdoor seating, with street parking available. It accommodates groups well and has a divey yet classy ambience. The restaurant does not accept reservations and does not offer WiFi.

Customer reviews highlight mixed experiences. Positive feedback praises the burgers, particularly the Sourdough Bacon Cheeseburger and double cheeseburger options, with some customers calling them the ""best burgers"" they've had and describing the restaurant as a ""hidden gem."" The fries, freezes, and malts also receive positive mentions. However, some customers report extended wait times of approximately 30 minutes for orders and service issues, particularly regarding condiment requests. Despite these concerns, the food quality is generally regarded as good, with the restaurant attracting both regular customers and travelers passing through the area."
13604,"Benchmark Eatery is an American restaurant located at 1201 State St in Santa Barbara, CA, offering a diverse menu that includes traditional and new American cuisine, breakfast and brunch, seafood, and vegetarian options. The establishment also serves as a bar and event venue.

The restaurant operates Tuesday through Thursday and Sunday from 11:30 AM to 8:00 PM, with shorter hours on Friday and Saturday (11:30 AM to 4:00 PM). It appears to be closed on Mondays. The venue offers multiple parking options including garage, street, and lot parking, features free WiFi, and provides both indoor and outdoor seating in a classy yet casual atmosphere. While they don't take reservations, they accommodate takeout orders and are suitable for groups.

With an overall rating of 4.0 stars, customer experiences vary significantly. Positive reviews highlight the flatbreads, burritos, and the pleasant atmosphere on State Street, with one customer noting multiple satisfactory visits. However, concerns have been raised about food quality and service consistency. Issues mentioned include unseasoned chicken and burgers, order accuracy problems (specifically with dietary restrictions), bland food, inconsistent spice levels in the Spanish soup, and service lapses such as unfilled drink refills. One customer reported stomach discomfort after dining and complained about an unpleasant cleaning product odor inside the restaurant. The clam chowder was noted as being thicker than preferred, though still flavorful."
13613,"Pizza Mizza is an Italian restaurant located in Santa Barbara, CA, specializing in pizza and food delivery services. The establishment operates Monday and Sunday from 11:00 AM to 9:00 PM and maintains a 3.5-star rating.

The restaurant offers a casual dining atmosphere with amenities including lot parking, outdoor seating, free WiFi, and takeout services. They accommodate groups and accept reservations. Pizza Mizza features an extensive menu with various pizza options, pastas, and salads, including specialty crusts such as cauliflower and gluten-free alternatives.

Based on customer reviews, the restaurant has transitioned to a delivery-only model as of late 2018. Customers consistently praise the food quality, with one reviewer calling it their ""favorite pizza in town."" The delivery service receives positive feedback for fresh ingredients, proper cooking, and generous inclusion of condiments and sides. Delivery times average around one hour.

Prior to the delivery-only transition, the restaurant experienced significant service challenges. Multiple customers reported extended wait times exceeding 30 minutes, staff inattentiveness, and food sitting unserved. Despite these service issues, reviewers unanimously agree that the food quality remains excellent, creating a disconnect between product quality and service delivery that appears to have influenced the business model change."
13614,"Taffy's Pizza is a restaurant located at 2026 De La Vina St in Santa Barbara, CA, with a 4.0-star rating. The establishment is closed on Mondays and operates Tuesday through Saturday from 11:00 AM to 9:00 PM, and Sunday from 12:00 PM to 8:00 PM.

The restaurant offers a casual dining atmosphere with amenities including free WiFi, outdoor seating on a private patio, and both street and lot parking options. They accept reservations, provide takeout services with free delivery, and are suitable for groups.

According to customer reviews, Taffy's Pizza has been serving the community for over 20 years. The menu features a wide variety of pizzas with extensive topping options including various breads, vegetables, cheeses, and meats. Beyond pizza, they serve breadsticks, salads, pastas, sandwiches, and offer a selection of beer. 

The restaurant includes family-friendly features such as a small arcade room and children's books. Pre-COVID, they hosted events like trivia nights on their outdoor patio. 

Customer experiences vary, with some praising the food quality, variety, and customer service—including their willingness to accommodate special requests like creating off-menu items. However, one customer reported issues with an access card not being accepted and dissatisfaction with pricing on certain dishes. Reviews indicate that delivery times can be lengthy during busy periods, though the free delivery service is appreciated by regular customers."
13619,"Goodland Kitchen is an American (New) restaurant located at 231 S Magnolia Ave in Goleta, CA, operating Monday through Friday from 7:00 AM to 2:00 PM. The establishment has a 3.5-star rating and offers both dine-in and takeout services.

The restaurant features outdoor seating and street parking, with an ambience described as both classy and casual. They accommodate groups well but do not accept reservations or offer WiFi. The business categories span restaurants, food services, farmers market, and shopping.

Customer reviews reveal mixed experiences. Recent reviews from late 2020 highlight positive aspects including friendly service, a good lunch menu featuring items like chorizo and chips, and notably large salads. One reviewer emphasized supporting the business after it reopened, praising both the service and food quality. However, an earlier 2019 review expressed disappointment, stating the restaurant had declined from serving ""interesting well-prepared food"" to ""humdrum standard food, heavy on the meat,"" with the reviewer also noting the removal of lunch specials previously advertised on their website and issues with bread quality.

The takeout option appears to be a strong service offering based on customer feedback, particularly relevant during the period when reviews indicate the restaurant had recently reopened."
13632,"Sam's To Go is a sandwich restaurant located at 315 Meigs Rd, Suite I in Santa Barbara, California, specializing in sandwiches and American (New) cuisine. The establishment maintains a 4.5-star rating and operates Monday through Saturday from 10:00 AM to 9:00 PM, with reduced Sunday hours until 7:30 PM.

The restaurant offers several amenities including free WiFi, outdoor seating, and takeout service. It accommodates groups well and has parking lot availability, though reservations are not accepted.

Customer reviews highlight both positive and negative experiences. Positive feedback emphasizes the quality of sandwiches, with customers praising fresh bread, quality ingredients, and menu items like the #11 Italian cold cuts, #29 veggie sandwich, and Pastrami Avocado and Cheese. Multiple reviewers note that sandwich portions are generous, with one customer warning that the medium size is ""BIG."" The owners are described as ""nice and funny"" with ""excellent customer service"" in favorable reviews.

However, a recent negative review from a long-time customer indicates concerns about declining sandwich quality, sloppy preparation, and deteriorating customer service, specifically mentioning unpleasant interactions with staff regarding order specifications. This reviewer, who had visited for several years, stated they would not return due to these issues.

The restaurant appears to be a casual, no-frills establishment that focuses on sandwich preparation, with experiences varying between customers regarding both food quality and service."
13633,"Viva Modern Mexican was a restaurant located at 1114 State St in Santa Barbara, CA, offering a diverse menu spanning Mexican, Latin American, Peruvian, seafood, and tapas cuisines. The establishment also served as an event venue and cocktail bar with breakfast and brunch options.

The restaurant had a 3.5-star rating and featured amenities including free WiFi, outdoor seating, takeout service, and both garage and street parking. It was suitable for groups and accepted reservations, with an ambience described as ""classy.""

Based on customer reviews, the restaurant appears to have closed by October 2019. Prior to closing, it received mixed feedback from patrons. Positive reviews highlighted the margarita flights described as ""the best fresh margaritas,"" light and flavorful salads, and a delicious taco buffet. The venue's upstairs event space accommodated private parties, with one customer successfully hosting a rehearsal dinner for 30 guests and welcome party for 75 guests. The events coordinator, Dina, received specific praise for her helpful service.

However, the restaurant also received a critical review citing a severe food poisoning incident that resulted in emergency room treatment, along with a safety issue involving broken glass that injured a customer."
13637,"**Hollister Brewing Company** is a brewpub located at 6980 Marketplace Dr in Goleta, CA, specializing in American traditional cuisine and on-site brewed beers. The establishment operates Monday through Thursday and Sunday from 11:30 AM to 7:30 PM, with extended hours until 8:00 PM on Friday and Saturday.

The venue offers a casual yet classy atmosphere with amenities including lot parking, outdoor seating, free WiFi, and takeout service. They accept reservations and accommodate groups well. The restaurant features a full bar alongside their house-brewed beers and some wine selections.

With a 3.5-star rating, customer experiences vary significantly. Recent reviews highlight a major menu overhaul with a new chef (as of late 2021), which retained favorite items while improving flavors. The Korean chicken wings and house-made dressings receive particular praise. The location within a large shopping area adds convenience for patrons.

However, service quality appears inconsistent. Multiple reviewers report concerning issues including extremely slow service (30+ minute waits for initial orders), unfriendly staff, and unprofessional behavior such as management and bartenders drinking on duty while neglecting guests. These service problems seem particularly challenging for families with children and hungry diners expecting prompt service.

The business appears to be experiencing a transition period with menu improvements contrasting against service management challenges that may impact the overall dining experience."
13669,"Jeannine's American Bakery Restaurant is an American traditional breakfast and brunch establishment located at 7060 Hollister Ave, Suite 105 in Goleta, CA. The restaurant operates Wednesday through Friday from 7:30 AM to 1:30 PM, and weekends from 7:30 AM to 2:00 PM, closing on Mondays. With a 4.5-star rating, it offers bakery items, coffee, and traditional American fare.

The restaurant features free WiFi, outdoor seating, takeout options, and parking lot availability. The ambience is described as classy in the structured data. Located in what customers describe as a mall or shopping center, the interior décor has been noted as ""super cute"" by visitors.

Customer reviews reveal mixed experiences. French toast emerges as a consistently praised menu item across multiple reviews, with customers describing it as ""delicious"" and the ""best thing ordered."" The bacon also receives high marks for being ""smokey and crisp."" However, opinions diverge on other offerings - coffee quality has been criticized by some, while others enjoyed specialty drinks like oat milk matcha lattes. Fresh orange juice and egg dishes received both positive and negative feedback from different customers.

Service experiences vary, with some praising ""attentive service"" and ""top notch"" quality, while others expressed disappointment, particularly one customer who spent $65 on a breakfast they found unsatisfactory, citing issues with overcooked eggs, bitter-tasting chilaquiles, and subpar coffee and croissants. The restaurant appears to have multiple locations, with one reviewer comparing this Goleta location unfavorably to a Montecito branch."
