source_id,qa_response
14300,"Automotive technicians can be paid on commission, flat-rate, flag-rate, or an hourly rate. There are also various combinations of hourly and commission pay rates."
14323,"The provided passages describe how to set up a grill and what a porterhouse steak is, but they do not contain instructions on how to grill a porterhouse."
14353,"To fold a quilt:
1.  Lay your quilt on a bed, table, or other flat surface.
2.  Fold the lower right corner up toward the center of the quilt, ensuring the fold is on the bias.
3.  Fold the lower left corner up toward the center of the quilt, ensuring the fold is on the bias.
4.  Fold the top left corner down toward the center of the quilt, ensuring the fold is on the bias.
5.  Fold the top right corner down toward the center of the quilt, ensuring the fold is on the bias."
14355,"A water pick can help keep teeth, gums, mouth, and overall body healthier by eliminating germs and plaque. It is useful in maintaining good oral health, can massage and stimulate soft tissue in the mouth to reduce the risk of gingivitis, and helps clean better around the teeth and gums by removing food from areas brushing cannot access."
14360,"To set a default web browser in Windows:

1.  Open the Settings app by opening the Start menu and clicking the Settings icon, or by using the Windows + I keyboard shortcut.
2.  Click on ""System"" (display, notifications, apps, power).
3.  In the left-pane, click ""Default apps"".
4.  On the right-side, scroll down to the ""Web browser"" section.
5.  Click on the current browser entry (e.g., Edge browser) to reveal ""Choose an app"", and then select your desired browser from the list."
14366,"A worn USA flag can be disposed of in one of two ways:

1.  Remove the blue field from the flag, burn the blue field in a peaceful manner, bury the ashes, and then put the rest of the flag out for collection.
2.  Burn the flag yourself in a proper ceremony, ensuring the flag is folded in the customary triangle fold."
14375,"To cook brats:

1.  Prick bratwurst with a fork.
2.  Submerge the bratwurst in a large pot with beer and onions (and optionally butter, red pepper flakes, garlic powder, salt, and pepper).
3.  Bring to a boil, then reduce heat to medium and cook for 10 to 12 minutes, or simmer for 15 to 20 minutes.
4.  Remove the bratwurst from the beer mixture.
5.  Preheat an outdoor grill for medium-high heat and lightly oil the grate.
6.  Cook the bratwurst on the preheated grill for 5 to 14 minutes, turning once or occasionally to brown evenly."
14390,"The symptoms of IBS can include diarrhea (often violent episodes), constipation, or constipation alternating with diarrhea, as well as belly pains or cramps (usually in the lower half of the belly, worsening after meals and improving after a bowel movement), and a lot of gas or bloating.

The exact cause of irritable bowel syndrome is unknown, but it is thought to result from a combination of factors. These include abnormal gastrointestinal (GI) tract movements (too fast, slow, or strong), increased awareness or hypersensitivity to pain from a full bowel or gas, a disruption in the communication between the brain and the GI tract (abnormal nervous system signals), and food intolerances or sensitivities, possibly due to poor absorption of sugars or acids."
14392,"Nonessential amino acids can be made by the body, while essential amino acids cannot be made by the body so you must get them from your diet."
14394,"In Indianapolis, Indiana, summers are long, warm, humid, and wet; winters are chilly and windy; and it is partly cloudy year round. Temperatures typically vary from 22°F to 85°F."
14396,"Based on the provided passages, there is no information on how to sync an audiobook from an iPhone to iTunes. The passages describe syncing audiobooks from iTunes or a computer to an iPhone."
