source_id,summary
14-0,"Militants from the Islamic State (IS) group attacked Kabul's Sardar Daud hospital by detonating explosives at the gate and opening fire on staff and patients, resulting in over 50 wounded. Afghan commandos killed all four attackers after several hours of fighting. This marked IS's first direct engagement with security forces in the capital, signaling a shift toward more militarized assaults similar to Taliban tactics. The Taliban denied involvement. President Ashraf Ghani condemned the attack as a violation of human values. IS has operated in Afghanistan since 2015, mainly in the east near Pakistan, targeting civilians and rival groups, but has struggled to expand its base. Recent attacks include a suicide bombing at Kabul's Supreme Court and other deadly assaults. Afghan forces claim to have cleared some IS bases but not mountainous strongholds. The attack raises concerns about increased IS capabilities and potential future assaults in Kabul."
14-1,"The 46th Booker Prize shortlist features six novels by authors from various nationalities, including Mukherjee's ""The Lives of Others,"" a 5/2 favorite set in 1960s Calcutta. This is the first year the prize is open to all English-language authors regardless of nationality. Other shortlisted authors include Howard Jacobson (""J""), Ali Smith (""How To Be Both""), Americans Joshua Ferris (""To Rise Again at a Decent Hour"") and Karen Joy Fowler (""We Are All Completely Beside Ourselves""), and Australian Richard Flanagan (""The Narrow Road to the Deep North""). Fowler's novel is the best-selling on the list. The shortlist announcement boosted sales for all titles. Critics have mixed views, with some considering the list weak and debating whether the prize should prioritize literary merit or readability. The winner will be announced at London's Guildhall, with coverage on BBC News Channel and BBC Arts. Each shortlisted author receives £2,500 and a special edition of their book."
14-2,"Mark Carney, Governor of the Bank of England, surprised many by deciding to extend his term by only one year beyond his original 2018 end date, rather than staying until 2021 as widely expected after the Brexit referendum. While extending to 2021 could have provided market stability during Brexit negotiations, Carney’s decision was primarily personal: his family wished to return to Canada in 2018 for his daughters' education. He emphasized the choice was personal and unrelated to government policy or political pressure. Although Theresa May wanted him to stay until 2021, she left the decision to him. Carney acknowledged the challenge of leaving during Brexit talks but felt a one-year extension was the best compromise, with a new Governor to take over after the Article 50 process concludes."
14-3,"Adrian Gill, a prominent Sunday Times columnist known for his sharp wit and fearless writing, died suddenly after being diagnosed with multiple cancers, which he described as the ""full English"" of cancers. Diagnosed months earlier and undergoing chemotherapy, Gill remained stoical and grateful. He joined the Sunday Times in 1993 and was widely praised by colleagues and fellow journalists for his unique style and intelligence. Despite his popularity, his writing often sparked controversy due to provocative remarks about various groups and places. Born in Edinburgh in 1954, Gill overcame dyslexia to build a successful career, starting with art reviews before moving to major publications. He was married twice, first to Cressida Connolly, then to Amber Rudd, with whom he had two children. Before his death, he became engaged to long-term partner Nicola Formby, with whom he had twins. His final column, addressing his illness, was published posthumously."
14-4,"The passage describes cyber warfare activities related to the Ukraine conflict, involving three main hacker groups: the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International. The Ukrainian Cyber Troops, led by Yevhen Dokukin, conduct DDoS attacks, hack Russian servers, monitor rebel-held areas via hijacked CCTV, and disrupt separatist funding. They share hacked data with Ukrainian security services, though officials claim to use only trusted sources. Cyber Berkut, an anti-Western group aligned with Russian rhetoric, targets Ukrainian government websites, leaks sensitive documents, hacks electronic billboards with propaganda, and claims to have interfered with elections and vote counting. They also allege Ukrainian responsibility for downing flight MH17, a claim unverified elsewhere. Anonymous International, known for leaking Kremlin documents, focuses on Russian domestic affairs but also releases information related to Ukraine, including communications from Russian fighters and rebel commanders. Their website is blocked in Russia. Overall, these groups engage in hacking, information leaks, and cyber disruptions to influence the conflict narrative and operations."
5-0,"The former Manchester City player, aged 30, earned 61 England caps since his 2009 debut, participating in two World Cups and two European Championships, though playing only three minutes at Euro 2016. He also holds the record for most England Under-21 appearances with 46 caps since 2004 and scored his sole international goal in a 5-0 win over Moldova during 2014 World Cup qualifiers. Milner expressed support for Sam Allardyce, players, staff, and fans following a decision described as common sense."
5-1,"Brad Wilk is a drummer best known for his work with rock bands Rage Against the Machine (1991–2000; 2007–2011) and Audioslave (2001–2007). He began his career with the band Greta in 1990 and co-founded Rage Against the Machine in 1991 with Tom Morello and Zack de la Rocha. As of 2016, he plays in Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also notes that Rage is a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke, previously interim manager of Kilmarnock, has been appointed permanently with a three-year contract. He joined last summer as assistant to Allan Johnston and took over in February after Johnston's departure. Since then, Locke, 41, has lost only once in seven games. He will address the media on Friday."
5-3,"Rupert Murdoch is the chairman and acting CEO of Fox News and was the chairman and CEO of News Corporation, a major global media conglomerate that later split into News Corp and 21st Century Fox. His son, James Rupert Jacob Murdoch, born in 1972, is an Australian, British, and American businessman who serves as CEO of 21st Century Fox and chairman of Sky plc."
15-0,"Veteran actor Robert Hardy, aged 89, is auctioning over 200 antiques from his £100,000 collection to downsize his home. Known for roles such as Siegfried Farnon in ""All Creatures Great and Small,"" Winston Churchill, and Cornelius Fudge in ""Harry Potter,"" Hardy is also a military historian and expert on the medieval longbow. The auction, held by Dominic Winter Auctioneers in Gloucestershire, features diverse items including a hand-painted 3D diorama of the Battle of Agincourt, Victorian furniture, paintings, swords, rifles, silverware, crystal chandeliers, and rare books dating back to the 17th century. Hardy, who studied English under J.R.R. Tolkien and C.S. Lewis at Oxford and authored books on the longbow, expressed sadness at parting with his collection but remains active in television despite retiring from stage acting after a fall."
