source_id,overview
13601,"
Finch & Fork is a local business located at 31 W Carrillo St, Santa Barbara, CA. The restaurant offers a variety of categories including breakfast & brunch, American (New), and American (Traditional) restaurants, as well as nightlife and bars.

Finch & Fork is open from 9:00 AM to 2:00 PM on Sundays, and from 5:00 PM to 11:00 PM on Mondays. The restaurant is also open from 5:00 PM to 9:00 PM on Tuesdays through Fridays, and from 5:00 PM to 9:00 PM on Saturdays.

The restaurant provides various amenities such as validated parking, valet service, free Wi-Fi, and the option for takeout and reservations.

Customers have given Finch & Fork a 4.0-star rating. Reviews highlight the great brunch, the delicious food, the nice ambiance, and the excellent service."
13603,"
Tinker's Burgers is a local burger restaurant located at 2275 Ortega Hill Rd, Ste C, Summerland, CA. The restaurant offers burgers and is open from 11:00 AM to 5:00 PM every day of the week. It provides street parking and does not offer valet parking, reservations, or validated parking. Tinker's Burgers is known for its divey and classy atmosphere, and it offers outdoor seating, takeout, and is good for groups. The restaurant has received a 4.0-star rating from customers."
13604,"
Benchmark Eatery is a local restaurant located at 1201 State St, Santa Barbara, CA. The eatery offers a variety of American cuisine, including traditional and new American dishes, breakfast and brunch, seafood, vegetarian options, and nightlife.

Benchmark Eatery is open from 11:30 AM to 8:00 PM on Monday, and from 11:30 AM to 8:00 PM on Tuesday, Wednesday, Thursday, Friday, and Saturday. On Sunday, the restaurant is open from 11:30 AM to 8:00 PM.

The eatery provides various amenities, including free Wi-Fi, outdoor seating, and on-site parking with a garage and street parking available.

Customer reviews indicate a mixed reputation. One customer gave a 4-star review, praising the flatbreads and clam chowder, as well as the friendly and upscale casual atmosphere.

In contrast, another customer gave a 1-star review, expressing dissatisfaction with the food quality, service, and overall dining experience."
13613,"
Pizza Mizza is a local pizza restaurant located in Santa Barbara, CA. The restaurant offers a variety of food delivery services, including pizza, Italian cuisine, and more.

Pizza Mizza is open from 11:00 AM to 9:00 PM on Mondays and Sundays. The restaurant provides several customer amenities, including free Wi-Fi, outdoor seating, and the option for takeout and group reservations.

Customer reviews indicate that the food at Pizza Mizza is highly regarded, with some customers describing it as their favorite pizza in town. However, some reviews also express dissatisfaction with the restaurant's customer service and the time it takes to receive food."
13614,"
Taffy's Pizza is a local restaurant located at 2026 De La Vina St, Santa Barbara, CA. The restaurant specializes in pizza and offers a variety of other dishes including sandwiches, salads, and pastas.

Taffy's Pizza provides customers with free Wi-Fi, outdoor seating, and accepts reservations. The restaurant offers parking options including street parking and a parking lot, though it does not provide validated parking or valet services.

The restaurant has received a business rating of 4.0 stars. Customer reviews highlight the restaurant's excellent pizza, family-friendly atmosphere, and attentive customer service."
13619,"
Goodland Kitchen is a local restaurant located at 231 S Magnolia Ave, Goleta, CA. The restaurant offers a variety of food and services, including takeout, outdoor seating, and good for groups.

The business has a 3.5-star rating based on customer reviews. Reviews highlight the restaurant's lunch menu, chorizo, chips, and salads. The service is described as friendly.

Some reviews also mention the restaurant's recent reopening and the importance of supporting small businesses. However, there is a mixed review that expresses disappointment in the food quality and lack of innovation."
13632,"
Sam's To Go is a local sandwich shop located at 315 Meigs Rd, Ste I, Santa Barbara, CA. The business offers a variety of sandwiches, categorized under Sandwiches, Restaurants, and American (New).

Sam's To Go provides ample parking with a lot available. The restaurant does not require reservations and offers outdoor seating. Free WiFi is available for customers.

The business has received an average rating of 4.5 stars out of possible 5 stars. Customer reviews highlight the delicious sandwiches, fresh bread, and high-quality ingredients. The excellent customer service and the friendly atmosphere are also mentioned positively. However, there is one negative review that expresses disappointment with the quality of the sandwich and the customer service experience."
13633,"
Viva Modern Mexican is a restaurant located at 1114 State St, Santa Barbara, CA. The restaurant offers a variety of Mexican dishes, including breakfast and brunch options. It also provides event planning and services, as well as venues for events and parties.

The restaurant has a 3.5-star rating based on customer reviews. Some customers have praised the restaurant for its delicious margarita flights, fresh margaritas, and flavorful salads. Additionally, a customer has highly recommended the restaurant for hosting events, noting the perfect space, delicious taco buffet, and helpful event coordinator.

On the other hand, a customer has reported a negative experience, including food poisoning and an incident involving a dropped plate and glass shards.

The restaurant offers various amenities, including free Wi-Fi, outdoor seating, and the option for reservations and takeout orders. The restaurant's ambiance is described as classy."
13637,"
Hollister Brewing Company is a local restaurant and brewery located at 6980 Marketplace Dr, Goleta, CA. The business offers a variety of American traditional dishes and a selection of beers brewed on-site.

The restaurant has a casual yet classy ambiance, with attributes including free WiFi, outdoor seating, and the option for reservations and takeout.

Customer reviews indicate a mixed experience. Some customers praise the new menu and the quality of the food, particularly the Korean chicken wings. The customers also appreciate the brewery's offerings and the restaurant's convenient location.

However, there are also negative reviews, with customers complaining about slow service, unfriendly staff, and a lack of attention from management to customer satisfaction.

Overall, Hollister Brewing Company is a casual dining establishment with a focus on American cuisine and craft beers, with a mixed customer experience highlighted by both positive feedback on the food and drink, and negative feedback regarding service and staff behavior."
13669,"
Jeannine's American Bakery Restaurant is a local business located at 7060 Hollister Ave, Ste 105, Goleta, CA. The bakery and restaurant offer a variety of American dishes, including breakfast and brunch items.

The business has a 4.5-star rating based on customer reviews. The reviews highlight both positive and negative aspects of the restaurant.

Positive reviews praise the ambiance, attentive service, and the quality of dishes such as French toast, bacon, and All American dishes.

Negative reviews, however, express disappointment with the coffee quality, the taste of the chilequiles, and the overcooked eggs.

The restaurant offers free WiFi, outdoor seating, and takeout options. The business operates with varying hours throughout the week."
13673,"
Holdren's Grill is a seafood and American cuisine restaurant located in Goleta, California. The restaurant offers a variety of seafood dishes, steaks, and appetizers. Holdren's Grill is known for its intimate and classy ambiance, with outdoor seating available. The restaurant offers free Wi-Fi, reservations, and takeout services. Holdren's Grill has received mixed reviews, with some customers praising the food and ambiance, while others have expressed dissatisfaction with the service and food quality."
13688,"
Uniboil is a trendy and casual restaurant located in Goleta, CA. The restaurant offers a variety of dishes, including hotpot, bubble tea, and Chinese cuisine. Uniboil provides both indoor and outdoor seating, and offers free Wi-Fi. The restaurant is known for its reasonable prices and large hotpot portions. However, customer service has been reported as inconsistent."
13693,"
La Salsa Fresh Mexican Grill is a Mexican fast food restaurant located at 3987 State St, Ste D, Santa Barbara, CA. The restaurant offers a variety of Mexican dishes and is known for its quick service. The restaurant has outdoor seating and offers takeout services. It is also suitable for groups. The restaurant has a business rating of 4.0 stars. Reviews indicate that the staff is friendly, the food is quick, and there are options for indoor and outdoor seating."
13706,"
Backyard Bowls is a local business located at 331 Motor Way in Santa Barbara, CA. The business operates under various categories, including health markets, coffee & tea, ice cream & frozen yogurt, restaurants, juice bars & smoothies, breakfast & brunch, and specialty food.

Backyard Bowls offers outdoor seating and accommodates groups. The business provides parking options, including street parking and a parking lot. However, it does not offer validated parking, valet service, or reservations.

The business has a casual ambiance and does not offer WiFi. It provides takeout services and is well-received by customers, as evidenced by a 4.0-star rating based on customer reviews."
13708,"
Lure Fish House is a seafood restaurant located at 3815 State St, Ste G131, Santa Barbara, CA. The restaurant offers a variety of seafood dishes and is known for its fresh fish and calamari. The restaurant has a trendy and classy ambiance, with options for outdoor seating, group dining, and takeout. Lure Fish House has a high customer satisfaction rating, with an average of 4.5 stars based on customer reviews."
