source_id,summary
15599,"Blue Bell temporarily shut down its Broken Arrow, Oklahoma, plant after listeria was found in ice cream from that facility. The CDC warned consumers not to eat Blue Bell products made at this plant, specifically 3-ounce servings marked with certain letters. The recall does not affect other Blue Bell products, but the company has recalled additional items as a precaution. The shutdown follows a listeria outbreak at a Kansas hospital, where five people were infected and three died after consuming Blue Bell ice cream. Listeria was found in both hospital and plant samples, though not all matched genetically. Investigations are ongoing to determine if Blue Bell products caused the illnesses. This is Blue Bell’s first recall in its 108-year history. Listeriosis is a serious infection, especially dangerous for vulnerable populations. The CDC advises discarding recalled products."
15601,"The passage discusses the fallout from a flawed Rolling Stone article about an alleged gang rape at the University of Virginia, as identified by a Columbia Journalism School review, which found failures in reporting, editing, and fact-checking. Rolling Stone apologized to those affected, including the Phi Kappa Psi fraternity. The passage then examines whether UVA, Phi Kappa Psi, or other fraternities could sue for defamation. It explains that UVA, as a government entity, cannot sue for defamation, and that groups generally cannot sue unless the defamatory statement is about a small, identifiable group. Individual fraternity members might have a case if they can show the statements were about them and caused harm, but there are legal hurdles, including proving damages. The passage concludes that while most defamation threats are empty, this case could be an exception if the fraternity members can meet the legal requirements."
15604,"The author, the first woman and person of color elected to the Kentucky State Senate in 1967, criticizes Rand Paul's presidential campaign announcement. She argues that despite Paul's claims of wanting to expand the Republican Party and appeal to minorities, his record shows opposition to key civil rights and voting rights legislation, support for eliminating the Department of Education, limiting women's choices, and opposing protections for DREAMers. She finds his outreach to minority communities insincere and his positions outdated and disqualifying for presidential leadership, concluding that Americans deserve better."
15613,"Mary Kay Letourneau Fualaau, a former teacher who served over seven years in prison for having a sexual relationship with her 13-year-old student, Vili Fualaau, remains married to him. The couple, who wed after her release in 2005 and have two teenage daughters, are celebrating their 10th wedding anniversary. In an upcoming ABC ""20/20"" interview, Letourneau discusses their marriage, her plans to teach again, and her wish to be removed from the sex offender registry, while Fualaau talks about his struggles with alcoholism, depression, and his view that the system failed him as a minor. Letourneau is now 53 and Fualaau is 31."
15616,"Kanye West settled a civil lawsuit with photographer Daniel Ramos, whom he assaulted at Los Angeles International Airport in July 2013 while trying to take Ramos' camera. West had previously pleaded no contest to misdemeanor battery, receiving probation, anger management, and community service. Ramos and his lawyer, Gloria Allred, sought damages, claiming West interfered with Ramos' lawful work. The case was settled before trial, with West apologizing to Ramos, and both parties shaking hands. Details of the settlement were not disclosed. Allred stated the case showed celebrities are not above the law."
15617,"Blues legend B.B. King was hospitalized for dehydration caused by his Type II diabetes but recovered quickly and was released from the hospital, according to his daughter Claudette King. He thanked fans for their concern and is now resting at home with his grandchildren. King, 89, is a celebrated guitarist and vocalist, inducted into the Rock and Roll Hall of Fame in 1987, with 30 Grammy nominations. He is known for naming his Gibson guitars ""Lucille,"" which became a custom signature model. Some of his notable songs include ""The Thrill Is Gone,"" ""There Must be a Better World Somewhere,"" and ""When Love Comes to Town"" with U2. Last year, he also suffered from dehydration and exhaustion, leading to tour cancellations."
15623,"Chris Copeland of the Indiana Pacers was stabbed outside a New York nightclub early Wednesday, along with his companion Katrine Saltara and another woman, after a dispute with a 22-year-old man. The incident occurred near, but not at, the 1OAK club. Copeland and Saltara sought help at the club after the attack. Copeland is in stable condition with wounds to his elbow and abdomen. Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, who were in New York for a game, were arrested at the scene for obstructing police but were not involved in the stabbing. The suspect was detained, and charges are pending. Both NBA teams and the league are investigating the incident."
15627,"Selena's family is creating a digital, hologram-like version of the late Tejano singer called ""Selena the One,"" which will walk, talk, sing, and dance using advanced technology from Acrovirt LLC. The project aims to introduce Selena to new fans and continue her legacy, not replace her. The digital Selena will release new music, collaborate with current artists, and plans to tour in 2018. Fans can support the project through an Indiegogo campaign launching April 16, with a fundraising goal of $500,000. A commemorative event, Fiesta de la Flor, will be held in Corpus Christi, Texas, on April 17 and 18."
15628,"An Alaska Airlines flight from Seattle to Los Angeles returned to the airport shortly after takeoff when the pilot heard banging from the cargo hold. The noise was caused by a ramp agent from Menzies Aviation who had accidentally fallen asleep in the hold. The cargo area was pressurized and temperature controlled, and the man was not harmed. Passengers heard banging and faint cries for help, prompting an emergency landing. The ramp agent was taken to the hospital as a precaution, passed a drug test, and was discharged. The airline is investigating the incident, and the flight later continued to Los Angeles."
15634,"The passage discusses Emy Afalava, a decorated veteran born in American Samoa, who has lived under U.S. law but is denied citizenship and the right to vote because the federal government does not recognize people born in American Samoa as citizens. The passage argues that the Fourteenth Amendment should guarantee citizenship to those born on U.S. soil, referencing historical injustices like the Dred Scott case and the treatment of Puerto Ricans such as Isabel Gonzalez. It highlights the ongoing discrimination against residents of U.S. island territories and notes that American Samoans are now seeking citizenship rights through a federal lawsuit, making them the last group from U.S. territories still denied citizenship."
