source_id,summary
14-0,"Based strictly on the provided passage, here is a concise summary covering the core pieces of information:

1.  **Attack Details:** Militants armed with guns and grenades attacked Sardar Daud hospital in Kabul. They gained entry after detonating explosives at the gate and opened fire on staff and patients.
2.  **Resolution:** Commandos landed on the hospital roof and killed all four attackers after several hours of fighting.
3.  **Claim & Denial:** The so-called Islamic State (IS) group claimed responsibility for the attack. The Taliban denied any involvement.
4.  **Casualties:** More than 50 people were wounded, according to the defence ministry.
5.  **Condemnation:** President Ashraf Ghani condemned the attack, stating it ""trampled all human values"" and that hospitals are regarded as immune sites in all religions.
6.  **Timeline & Witness:** The attack began at 09:00 local time. A staff member witnessed an attacker disguised in a white coat opening fire.
7.  **Tactical Shift:** This attack marks a change in IS approach in Afghanistan. It's their first direct engagement with security forces in Kabul (previously targeting civilians/Shia gatherings) and they used a Taliban-associated tactic (blowing gates open). This suggests they may have increased resources and training.
8.  **IS Context in Afghanistan:** IS has been active in Afghanistan for two years, mainly in the east near Pakistan, struggling to widen its base. The government claims it has rooted them out of some eastern bases but not mountainous areas. The passage notes IS's history of attacks in the region since 2015.
9.  **Aftermath:** TV showed people hiding on window ledges. The interior ministry confirmed the operation ended over six hours later with all attackers dead. IS-affiliated media shared images from the attack. Deputy leader Abdullah Abdullah condemned the attack and vowed revenge."
14-1,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Booker Prize Details:** The winner of the Booker Prize will be announced at London's Guildhall on Tuesday night. This is the 46th year of the prize and the first year it is open to all authors writing in English, regardless of nationality.
2.  **Shortlist Composition:** The shortlist consists of three British writers (including former winner Howard Jacobson), two Americans, and one Australian (Richard Flanagan).
3.  **Shortlisted Authors & Books:**
    *   **Neel Mukherjee (British?):** *The Lives of Others* (5/2 favourite), set in 1960s Calcutta, focusing on family secrets and political activism.
    *   **Howard Jacobson (British):** *J* (3/1 in betting), a futuristic love story set in a world where the past is taboo. He won the prize in 2010.
    *   **Ali Smith (British):** *How To Be Both*, featuring two interlinking stories set in different centuries, allowing the reader to choose the starting point. She has been shortlisted twice before.
    *   **Joshua Ferris (American):** *To Rise Again at a Decent Hour*, exploring atheism through a New York dentist who finds fake online accounts in his name.
    *   **Karen Joy Fowler (American):** *We Are All Completely Beside Ourselves*, narrated by a college student about her family, including a ""surprisingly special"" sibling. It is the best-selling shortlisted book (over 55,000 copies sold).
    *   **Richard Flanagan (Australian):** *The Narrow Road to the Deep North*, a love story set against the construction of the Thailand-Burma Death Railway in WWII. He is the only non-British Commonwealth representative.
4.  **Sales Information:** Fowler's novel is the best-seller (over 55,000 copies). Ferris's novel has sold just over 6,000 copies. Sales spiked for all shortlisted books after the announcement (e.g., Mukherjee's sales jumped from 97 to 507 copies per week).
5.  **Critical Opinion:** A professor criticizes the shortlist as ""weak,"" noting notable omissions. He believes Jacobson's *J* is the strongest but fears reluctance to award him again so soon after Mantel's double win. Jacobson's book was also negatively featured in a ""Top 10 Unfinishable Novels"" list, reviving debate about judging criteria (""literary merit"" vs. ""readable"").
6.  **Logistics:** Shortlisted authors each receive £2,500 and a specially bound edition. The Duchess of Cornwall will present the prize. Coverage will be on the BBC News Channel and BBC Arts from 2130 BST. The judging panel is chaired by AC Grayling. Last year's winner was Eleanor Catton (*The Luminaries*), the youngest-ever winner at age 28."
14-2,"Based solely on the provided passage, the core information is:

1.  **Decision:** Mark Carney, Governor of the Bank of England, announced an unexpected one-year extension to his term (until 2019), surprising those who expected him to either leave in 2018 or extend until 2021.
2.  **Primary Reason:** The decision was driven entirely by personal family circumstances. His daughters face important educational milestones (A-levels and GCSEs) in 2018, and his family planned to return to Canada then. He stated the role requires ""total attention and devotion,"" and managing his family life was the key factor.
3.  **Rejected Factors:** The passage explicitly dismisses other possible reasons:
    *   It was *not* due to political pressure (e.g., from the Prime Minister who wanted a longer extension).
    *   It was *not* due to disillusionment with Brexit economic predictions or criticism of the Bank's forecasts.
    *   It was *not* related to government policy.
4.  **Professional Context:** While Carney recognized the professional challenge of leaving during the Brexit negotiations (expected to be underway in 2018), he only felt able to extend for one year. By 2019, the Article 50 process (formal Brexit negotiation period) should be complete."
14-3,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Death and Illness:** Adrian Gill, a columnist for the Sunday Times, died. He had previously announced being diagnosed with multiple cancers, which he described as the ""full English"" and ""an embarrassment of cancer,"" undergoing chemotherapy.
2.  **Professional Tributes:** Sunday Times editor Martin Ivens announced Gill's death, calling him a ""giant among journalists,"" the ""heart and soul"" of the paper (joined in 1993), praising his wit, dazzling/fearless writing, intelligence, and compassion. Gill's final column, about his diagnosis, was due to be published.
3.  **Reactions:** Gill's death caused shock and sadness. Many journalists, broadcasters, and writers paid tribute, highlighting his unique, brilliant, and instantly recognizable writing style, calling him one of the finest writers of the time and controversial but kind.
4.  **Controversies:** Gill's writing often caused controversy, including offensive remarks about the Welsh, the Isle of Man, Norfolk, and Clare Balding (for which he was censured), describing shooting a baboon, and being thrown out of a Gordon Ramsay restaurant.
5.  **Personal Background:** Gill had dyslexia, dictating his copy. Born in Edinburgh (1954), he attended St Christopher School, Central Saint Martins, and the Slade School. He started writing art reviews in the 1980s before joining Tatler and then the Sunday Times.
6.  **Family:** He was married to author Cressida Connolly (1983) and later to Amber Rudd (1991, two children: Flora and Alistair), divorcing both. He was engaged to Nicola Formby (partner of 23 years, two children: twins Edith and Isaac) following his diagnosis."
14-4,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Groups Involved:** Three prominent independent hacker groups are active in the cyber conflict: the Ukrainian Cyber Troops (pro-Ukrainian), Cyber Berkut (anti-Western/pro-Russian), and Anonymous International (leaks Kremlin documents).
2.  **Ukrainian Cyber Troops:**
    *   Led by Kiev-based programmer Yevhen Dokukin.
    *   Claimed hacks: Russian interior ministry servers, police email in Rostov.
    *   Provided hacked data to Ukraine's security service; volunteer group Inform Napalm analyzed it, finding evidence suggesting wounded Russian soldiers were evacuated from Ukraine.
    *   Use DDoS attacks (""artillery"") to make rebel websites inaccessible.
    *   Target rebel electronic payment accounts to disrupt funding.
    *   Hack public CCTV in rebel areas to monitor troop movements.
    *   Hijacked network printers in eastern Ukraine and Crimea to print pro-Ukrainian messages and insults against Putin.
    *   Ukrainian officials deny using hacker-obtained data for military targeting, stating they only use data from trusted sources.
3.  **Cyber Berkut:**
    *   Staunchly anti-Western group named after Ukrainian riot police.
    *   Goal: Thwart Ukraine's military plans and stop what they call a ""genocide"" by Kiev.
    *   Hacked Ukrainian government websites during Joe Biden's visit, posting an anti-Biden message.
    *   Claimed to retrieve confidential US military assistance documents from a Biden team member's device in Kiev.
    *   Hacked Kiev electronic billboards to show graphic images of dead civilians and label officials ""war criminals"".
    *   Claimed disruptions: Ukraine's parliamentary election vote-counting systems, leaking Ukrainian defence ministry data on losses/desertions, blocking President Poroshenko's website.
    *   Quoted by Russian media on allegedly hacked Facebook conversation where Ukrainian officials appeared to admit downing MH17 (unverified).
4.  **Anonymous International (Shaltay Boltay):**
    *   Known for publishing leaked Kremlin documents.
    *   Source of material unclear (hacking or Kremlin insiders).
    *   Focuses on Russia's domestic affairs but also covers Ukraine.
    *   Published a letter from a Russian fighter suggesting locals didn't support separatists.
    *   Leaked alleged emails to/from former Russian FSB colonel and rebel commander Igor Girkin (Strelkov).
    *   Access to their website is blocked in Russia."
5-0,"Based strictly on the provided passage:

1.  **Player Background:** A 30-year-old former Manchester City player.
2.  **Senior England Career:**
    *   Made his senior debut in 2009.
    *   Won 61 caps for England.
    *   Was part of the squad for two World Cups and two European Championships.
    *   Played only three minutes at Euro 2016.
    *   Scored his only international goal in a 5-0 win over Moldova during the 2014 World Cup qualifiers.
3.  **Under-21 Record:** Holds the record for most England Under-21 caps (46), making his first appearance in 2004.
4.  **Statement:** Commented on a decision being ""about common sense"" and wished success to Sam Allardyce, players, staff, and supporters."
5-1,"Based solely on the provided passage, the core information about Brad Wilk is:

1.  He is best known as the drummer for the rock bands Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07).
2.  He started his career as a drummer for Greta in 1990.
3.  He co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991.
4.  As of 2016, he was playing in the band Prophets of Rage with Commerford, Morello, Chuck D, B-Real, and DJ Lord.

The passage also includes the unrelated statement:
5.  ""Rage"" is a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Based solely on the provided passage, the summary is:

Gary Locke has been appointed Kilmarnock manager on a permanent basis, signing a three-year deal. He originally joined the club as assistant manager to Allan Johnston last summer. Locke took over as interim manager when Johnston resigned in early February. The 41-year-old has lost only one of his seven games in charge since taking over. He will speak at a press conference on Friday morning."
5-3,"Based solely on the provided passage, the core information is:

1.  Rupert Murdoch is the current chairman and acting CEO of Fox News.
2.  James Rupert Jacob Murdoch (born 13 December 1972) is the younger son of Rupert Murdoch.
3.  James Rupert Jacob Murdoch is described as an Australian, British, American businessman.
4.  James Rupert Jacob Murdoch is the CEO of 21st Century Fox and chairman of Sky plc.
5.  Rupert Murdoch had full control as Chairman and CEO of News Corporation (now the world's second-largest media conglomerate).
6.  Rupert Murdoch also had full control of News Corp and 21st Century Fox after News Corporation split on 28 June 2013."
15-0,"Based solely on the provided passage, here is a concise summary covering the core information:

1.  **Auction Reason & Scale:** Veteran actor Robert Hardy, aged 89, is selling over 200 items from his antique collection in a £100,000 auction to downsize his home. He expressed sadness about selling his treasured collection.
2.  **Notable Items for Sale:**
    *   A hand-painted limewood diorama of the Battle of Agincourt, commissioned by Hardy from artist L.M. Rendall in the 1960s (estimate: £4,000-£6,000).
    *   A pair of early Victorian cabinets made by Gillows of Lancaster (estimate: up to £4,000).
    *   A portrait of Hardy holding a longbow (estimate: up to £2,000).
    *   A longbow made from yew with a mother-of-pearl handle.
    *   Paintings, furniture, swords, flintlock rifles, silverware, crystal chandeliers, and dozens of books (some from the 17th century).
3.  **Auction Details:** Dominic Winter Auctioneers is selling 238 lots at their saleroom in South Cerney, Gloucestershire, on Saturday.
4.  **Hardy's Connection to the Collection:** Hardy is a keen military historian and expert on the medieval longbow. He built the collection due to his interests in classic literature and military history. He studied English at Oxford with J.R.R. Tolkien and C.S. Lewis and published two books on the longbow. He was also consulted on the Mary Rose shipwreck.
5.  **Acting Career Highlights:** Hardy is known for roles including Siegfried Farnon in *All Creatures Great and Small*, Winston Churchill in several productions, Franklin D. Roosevelt, and Cornelius Fudge in the *Harry Potter* films. He retired from stage acting after a fall two years ago but plans to continue television work."
