source_id,summary
14-0,"Militants armed with guns and grenades blew up the gate of Kabul’s 400-bed Sardar Daud hospital at 09:00 local time, then shot staff and patients—wounding more than 50—until Afghan commandos landed on the roof and, after six hours of fighting, killed all four attackers. The Islamic State group claimed responsibility, its first direct clash with security forces in the capital, while the Taliban denied involvement. President Ashraf Ghani and de-facto deputy leader Abdullah Abdullah condemned the assault, calling hospitals immune sites. Witnesses described an attacker in a white coat firing a Kalashnikov. IS’s use of a gate-blasting, commando-style assault suggests it has acquired new resources and training in Afghanistan, where it declared its “Khorasan Province” in 2015 and has since carried out several high-casualty bombings in Kabul. Government forces say they have cleared IS from some eastern bases but not from mountainous areas. The IS-linked Amaq news agency posted images of militants and casualties on Telegram. Meanwhile, the Taliban have also stepped up attacks, including suicide bombings in Kabul last week."
14-1,"Mukherjee’s The Lives Of Others (a 1967 Calcutta family drama) is a 5/2 favorite to win this year’s Booker Prize, the 46th award and the first open to any author writing in English. The winner will be announced Tuesday at London’s Guildhall. The six-strong shortlist—Howard Jacobson (J), Ali Smith (How to Be Both), Joshua Ferris (To Rise Again at a Decent Hour), Karen Joy Fowler (We Are All Completely Beside Ourselves), Richard Flanagan (The Narrow Road to the Deep North) and Mukherjee—comprises three British writers, two Americans and an Australian. Fowler’s novel tops sales at over 55,000 copies; Ferris has sold about 6,000, and Mukherjee’s weekly sales jumped from 97 to 507 after the shortlist was revealed. Critics have called it a “weak list,” reigniting debates over literary merit versus readability. The judges, chaired by AC Grayling, include Sarah Churchwell, Jonathan Bate, Daniel Glaser, Alastair Niven and Erica Wagner. Last year’s prize went to Eleanor Catton’s The Luminaries. Shortlisted authors each receive £2,500 and a specially bound edition; the ceremony, hosted by the Duchess of Cornwall, will be broadcast on BBC News Channel and BBC Arts from 21:30 BST."
14-2,"After weeks of speculation over whether Mark Carney would extend his term as Governor of the Bank of England until 2021 or leave as planned in 2018, he announced a compromise: a one-year extension to mid-2019. Observers had wondered if political pressure or disillusionment with Brexit’s economic outlook lay behind any decision, but Carney made clear—most recently to the Lords’ economic affairs committee—that the extra year was driven by personal and family considerations. With two daughters facing A-levels and GCSEs in 2018, he felt it was “the perfect moment” to return to Canada’s education system once those exams were completed. While Theresa May supported whichever choice he made and dismissed any government pressure, Carney’s one-year extension will see him through the Article 50 negotiations before a successor takes over."
14-3,"Adrian Gill, a much-loved Sunday Times columnist since 1993, died suddenly after describing himself as diagnosed with the “full English” of cancers. His final column, about coming to terms with that diagnosis, appears in tomorrow’s paper. Editor Martin Ivens called him “the heart and soul” of the paper and “a giant among journalists,” and peers from Jay Rayner to Piers Morgan paid tribute to his wit, courage and flair.  

Gill was as famous for his dazzling, fearless prose as he was for sparking outrage—whether recounting shooting a baboon in Tanzania or insulting the Welsh, Rhyl, Norfolk, the Isle of Man and TV presenter Clare Balding. Born in Edinburgh in 1954, he overcame dyslexia by dictating copy, studied art in London, began as an art reviewer in the 1980s, wrote for Tatler and then the Sunday Times.  

His personal life included marriages to Cressida Connolly (1983) and Amber Rudd (1991; two children), and a long partnership with Nicola Formby, with whom he had twins and to whom he became engaged shortly before his death."
14-4,"The passage describes three prominent “virtual warrior” groups operating around the Russia–Ukraine conflict.  
1. Ukrainian Cyber Troops, led by Kiev programmer Yevhen Dokukin, claim responsibility for hacking Russian interior-ministry servers and a Rostov-region police email account, data from which volunteer group Inform Napalm says prove the evacuation of wounded Russian servicemen from Ukraine.  They rely heavily on distributed denial-of-service (DDoS) attacks to knock rebel websites offline, target separatist funding accounts (e.g. PayPal, WebMoney), hijack public CCTV to monitor troop movements, and in December even commandeered network printers in eastern Ukraine and Crimea to spit out pro-Ukrainian messages.  Ukrainian officials deny using hacker-provided intelligence to direct artillery fire.  
2. Cyber Berkut takes an anti-Western line, styling itself on the riot police who crushed Kiev protesters in 2014.  Its stated aim is to halt Ukraine’s military operations, which it dubs “genocide” instigated by the US.  During US vice-president Joe Biden’s November visit, it defaced Ukrainian government sites with anti-Biden slogans and claims to have stolen confidential US assistance documents from a team member’s mobile device.  It has also hacked Kiev billboards with graphic “war criminal” imagery, allegedly disrupted electronic vote-counting in October’s parliamentary election, leaked defence-ministry casualty data, blocked President Poroshenko’s website, and—in an unverified claim—published a hacked Facebook chat suggesting Ukrainian forces downed flight MH17.  
3. Anonymous International (also called b0ltai or Shaltay Boltay) is best known for leaking Kremlin documents.  It’s unclear whether it hacks or relies on insider sources.  Mostly focused on Russian domestic politics, it has also released material relating to Ukraine—such as a November letter from a Russian fighter disparaging local support for separatists and May email exchanges involving former FSB colonel Igor Girkin.  Its website is currently blocked in Russia."
5-0,"Milner, the 30-year-old former Manchester City midfielder, earned 61 England caps after debuting in 2009. He was part of two World Cup squads and two European Championship squads—playing just three minutes at Euro 2016—before announcing his departure as “about common sense,” and wishing Sam Allardyce, his teammates, staff and supporters well. He also holds the record for most England Under-21 appearances (46 caps since 2004) and scored his only senior international goal in a 5-0 World Cup qualifying win over Moldova in 2014."
5-1,"Brad Wilk is an American drummer best known for his work with Rage Against the Machine (1991–2000; 2007–11) and Audioslave (2001–07). He began his career with the band Greta in 1990 and co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991. As of 2016, he performs in Prophets of Rage alongside Tim Commerford, Morello, Chuck D, B-Real and DJ Lord. The passage also notes that Rage is the name of a German heavy metal band formed in 1984 by Peter “Peavy” Wagner."
5-2,"Gary Locke, 41, has been appointed Kilmarnock’s permanent manager on a three-year deal following a successful interim spell.  Having joined last summer as assistant to Allan Johnston, he took charge at Rugby Park in early February when Johnston resigned and has since lost only one of seven games.  Locke will speak at a Friday morning press conference and was pictured shaking hands with chairman Jim Mann after signing."
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News. His younger son, James Rupert Jacob Murdoch (born December 13, 1972), is an Australian–British–American businessman who serves as CEO of 21st Century Fox and chairman of Sky plc. Prior to its June 28, 2013 split, Rupert Murdoch held full control as chairman and CEO of News Corporation, which became the world’s second-largest media conglomerate and later spun off into News Corp and 21st Century Fox."
15-0,"Veteran actor Robert Hardy, 89, is selling over 200 antiques from his lifelong military-history collection in a £100,000 auction this Saturday at Dominic Winter in South Cerney, Gloucestershire, as he downsizes his Cotswolds home. Highlights include a pair of early Victorian Gillows cabinets (est. up to £4,000), a 1960s hand-painted limewood diorama of the Battle of Agincourt (£4,000–£6,000), a yew longbow with mother-of-pearl handle (up to £2,000) and a portrait of Hardy holding it. Other lots range from swords, flintlock rifles and crystal chandeliers to paintings—among them an early 20th-century scene of Alfred the Great by Frank Owen Salisbury—and books dating back to the 17th century. Hardy, famed for playing Siegfried Farnon in All Creatures Great and Small and Winston Churchill on screen (as well as Cornelius Fudge in the Harry Potter films), studied English under J.R.R. Tolkien and C.S. Lewis at Oxford, has published two books on the longbow, and advised on the Mary Rose shipwreck. Though saddened to part with his “treasured library,” he says entrusting the sale to Dominic Winter has eased the pain; he retired from the stage after a fall but remains active in television."
