source_id,summary
14-0,"The passage describes a series of events involving militant groups, particularly the Islamic State (IS), in Afghanistan. Here’s a concise summary:

- **Militant Attack**: Militants armed with guns and grenades entered a hospital gate and attacked staff and patients.
- **Security Response**: Commandos killed all attackers after several hours of fighting.
- **Outcome**: The attack resulted in casualties among the attackers, including injuries to hospital staff and patients.
- **Background**: The attack occurred in the aftermath of a previous incident where militants attacked a hospital, leading to multiple deaths.
- **Impact**: The attack marked a shift in tactics for the IS group, which previously targeted civilian gatherings and Shia Muslim gatherings but now uses a more direct approach targeting hospitals.
- **Security Concerns**: The attack highlights the need for improved security measures in Afghanistan, especially in high-risk areas like hospitals.
- **Government Response**: The government claims to have eradicated IS militants from some locations but faces challenges in dislodging them from other areas controlled by the Taliban.
- **International Reaction**: International powers are involved in this conflict, with the United States calling it a ""Great Game"" and the United Nations condemning the attack.

This summary captures the key points of the event and its broader implications for the region."
14-1,"The passage describes the Booker Prize, a prestigious literary award for fiction written in English. It lists several contenders including Howard Jacobson's ""J"" and Karen Joy Fowler's ""To Rise Again at a Decent Hour"", while also mentioning other shortlisted authors like Ali Smith, Joshua Ferris, and Richard Flanagan. The passage concludes by noting that the winner of the 2019 Booker Prize will be announced on September 9th."
14-2,Mark Carney announced that he would serve out just one more year as the Governor of the Bank of England after the referendum result.
14-3,"The passage describes Adrian Gill, a renowned British journalist, who was diagnosed with cancer in November 2007. Despite his illness, Gill maintained a high level of productivity and wrote extensively for The Sunday Times. He was remembered for his wit, writing style, and ability to convey complex ideas concisely. The passage highlights his contributions to journalism, including his role as an editor, his work on controversial topics, and his impact on the industry. It also mentions his personal life, including his relationship with Nicola Formby and their children."
14-4,"The passage describes various cyber threats and activities taking place in Ukraine, including:

1. The Ukrainian Cyber Troops, led by Yevhen Dokukin, using distributed denial-of-service (DDoS) attacks to hack into Ukrainian government websites.
2. Cyber Berkut, a pro-Russian group, using electronic billboards and network printers to disrupt separatist funding and propaganda.
3. Cyber Berkut hacking into public CCTV systems in rebel-held areas of eastern Ukraine and monitoring their movements.
4. Cyber Berkut hacking into Ukrainian government websites to leak Ukrainian defense ministry data and prevent elections.
5. Russian tabloid Komsomolskaya Pravda quoting leaked documents from the Kremlin about Ukrainian forces downing Malaysia Airlines flight MH17.
6. Anonymous International making anonymous leaks of documents from the Kremlin, claiming to have leaked Ukrainian defence ministry data on losses and desertions.
7. The Ukrainian Cyber Troops targeting rebel websites and disrupting their operations.
8. The Ukrainian Cyber Troops hacking into electronic billboards and network printers to disrupt separatist propaganda.
9. The Ukrainian Cyber Troops hacking into Ukrainian government websites to leak Ukrainian defense ministry data and prevent elections.
10. The Ukrainian Cyber Troops hacking into electronic billboards and network printers to disrupt separatist propaganda.

The passage highlights the extent of cyber threats facing Ukraine and the involvement of various groups, including the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International."
5-0,"The passage describes:

1. A former Manchester City player who has made 61 caps for England.
2. His senior debut in 2009.
3. He was a squad member at two World Cups (2009 and 2014) and two European Championships (2014).
4. He played just three minutes at Euro 2016.
5. He holds the record for the most capped England Under-21 player with 46 caps.
6. He scored his first international goal in England's 5-0 victory over Moldova at the 2014 FIFA World Cup qualifiers."
5-1,"Brad Wilk is a drummer who has played in two rock bands: Rage Against the Machine from 1991 to 2000 and Audioslave from 2001 to 2007. He was also part of Rage Against the Machine before joining Audioslave. In 2016, he is still active in the band Prophets of Rage, along with other members like Commerford, Chuck D, B-Real, and DJ Lord. Rage is a German heavy metal band that was founded in 1984 by Peter ""Peavy"" Wagner."
5-2,Gary Locke has been appointed as the interim manager of Kilmarnock after a successful interim period. He was previously the assistant manager of Hearts and has taken charge of the team since January. Locke has only lost one game since joining the club.
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News, who was also the CEO of 21st Century Fox before that. He is the younger son of Rupert Murdoch, the founder of News Corporation, which is now the world's second-largest media conglomerate. The passage provides additional context about his role within the media industry, including his connection to the News Corporation and the 21st Century Fox division."
15-0,"The passage describes Robert Hardy's sale of his extensive antique collection, which includes items such as a diorama of the Battle of Agincourt, a cabinetry set to fetch £4,000, a portrait of him holding a longbow, and a painting featuring a hand-painted limewood diorama depicting the progress of the Battle of Agincourt in 3D. The auction is taking place at Dominic Winter Auctioneers in Gloucester, UK, and is expected to be held on Saturday. The auction features various antiques, including furniture, swords, flintlock rifles, silverware, and crystal chandeliers. The sale aims to raise money for charitable causes and to honor Hardy's legacy as a classical scholar and military historian."
