source_id,overview
13601,"Finch & Fork is a 4.0-star rated business located at 31 W Carrillo St, Santa Barbara, CA. It operates as a restaurant, bar, and nightlife venue, specializing in Breakfast & Brunch, American (New), and American (Traditional) cuisine.

The establishment is open Monday from 5:30 PM to 11:00 PM, Tuesday through Saturday from 5:00 PM to 9:00 PM, and Sunday from 9:00 AM to 2:00 PM.

Key attributes include available parking (garage, street, validated, and valet), the option for reservations, free WiFi, and takeout service. It is suitable for groups and features a classy ambiance. Outdoor seating and music are not offered.

Customer reviews frequently highlight the brunch experience, particularly the ""mimosa madness"" and ""bottomless brunch"" options, which are noted for their value ($14 for the first mimosa, $1 for each subsequent one, totaling $16 for bottomless) and variety of flavors (orange, grapefruit, poinsettia/cranberry). Food items such as breakfast burrito, steak/eggs/frites, and eggs benedict are described as delicious and filling. While the taste and quality of food receive praise, one review indicates it can be overpriced. Service is consistently commended, with specific mentions of servers Jamie and Matthew for being hospitable, outgoing, and providing fast service. The restaurant's ambiance is described as nice and classy, and it is noted to be located within a hotel lobby."
13603,"Tinker's Burgers is a restaurant located at 2275 Ortega Hill Rd, Ste C in Summerland, CA, specializing in burgers. It operates daily from 11:00 AM to 5:00 PM.

The business offers street parking and outdoor seating, provides takeout, and is suitable for groups. It does not offer reservations or Wi-Fi. The ambiance is described as both divey and classy.

Tinker's Burgers has an overall rating of 4.0 stars. Customer reviews highlight the quality of the burgers, with some describing them as ""best burgers we've ever had"" and ""excellent,"" specifically mentioning the Sourdough Bacon Cheeseburger, double cheeseburger with an egg, fries, freeze, and malt. It has been referred to as a ""hidden gem."" However, some customers have reported long wait times (approximately 30 minutes for two burgers, fries, and a corn dog), perceived the food as good but not above average, and experienced issues with service, such as difficulty obtaining extra ketchup and passive-aggressive cashier behavior, leading to concerns about value for price."
13604,"Benchmark Eatery is a restaurant located at 1201 State St in Santa Barbara, CA, with an overall business rating of 4.0 stars. It offers a diverse range of categories including American (Traditional and New), Breakfast & Brunch, Seafood, and Vegetarian options, also functioning as a Nightlife spot, Bar, and Venue for Event Planning & Services.

The establishment operates Tuesday through Thursday and Sunday from 11:30 AM to 8:00 PM, and Friday and Saturday from 11:30 AM to 4:00 PM. It is listed as closed on Mondays.

Attributes include available parking (garage, street, lot), outdoor seating, free WiFi, and takeout options. It is noted as good for groups, does not offer music, and has a classy and casual ambience. Reservations are not accepted.

Customer reviews indicate varied experiences. Positive feedback highlights enjoyment of flatbreads and the burrito, with one reviewer finding the clam chowder tasty despite being thick. The place is described as a nice, friendly upscale casual spot with a pleasant patio.

Conversely, some reviews mention issues such as specific order requests being ignored (e.g., no tomato), food being bland or unseasoned (grilled chicken, burger), and sandwich components falling out. The beer-battered onion rings were noted as having too much batter. Service was described as adequate but with missed opportunities for drink refills. One customer reported feeling ill after eating, attributing it to potential lack of food freshness, and noted an unpleasant musty/mildewy smell from cleaning spray inside. The menu was also described as too scattered and overwhelming. Consistency issues with the Spanish soup's spiciness were also mentioned."
13613,"Pizza Mizza is a casual restaurant located in Santa Barbara, CA, specializing in Food Delivery Services, Food, Restaurants, Pizza, and Italian cuisine, with an overall business rating of 3.5 stars.

The establishment operates on Mondays and Sundays from 11:00 to 21:00. Parking is available in a lot, but not in a garage, street, or via valet. Pizza Mizza offers reservations, outdoor seating, and free WiFi. Takeout is available, and the restaurant is good for groups.

Customer reviews indicate that the food, including pizza, pasta, salads, and sandwiches, is generally well-regarded for its quality and variety, with options like cauliflower and gluten-free crusts. One reviewer described it as their favorite pizza in town. However, recent reviews highlight a shift to delivery-only service, with one customer being told pickup was not an option. Delivery times can be around an hour. A significant recurring issue noted by customers is poor customer service, characterized by long wait times (over 30 minutes), inattentive staff, and a perceived lack of care, leading to frustration and, in one instance, a full refund due to excessive delays."
13614,"Taffy's Pizza, located at 2026 De La Vina St in Santa Barbara, CA, is a restaurant specializing in pizza, holding an overall rating of 4.0 stars. The business operates Tuesday through Saturday from 11:00 AM to 9:00 PM, and Sunday from 12:00 PM to 8:00 PM, remaining closed on Mondays.

The establishment offers street and lot parking, accepts reservations, provides outdoor seating, and has free WiFi. Taffy's Pizza is available for takeout and is considered suitable for groups, featuring a casual ambience.

Customer feedback highlights a diverse menu beyond pizza, including a selection of beer, breadsticks, salads, pastas, and sandwiches, with a wide variety of toppings. The business is noted for its customer service, including the ability to accommodate requests for off-menu items, and offers free delivery, though early ordering is recommended due to potential wait times. It is described as family-friendly, featuring a small arcade room and children's books. While some patrons praise the consistent quality and reasonable prices over many years, one review reported a negative experience concerning the refusal to accept an ""axxess card"" for payment, resulting in full price for an order that included chicken piccata."
13619,"Goodland Kitchen is a business located at 231 S Magnolia Ave in Goleta, CA. It operates Monday through Friday from 7:00 AM to 2:00 PM. The establishment falls under categories such as Food, Local Services, Farmers Market, Professional Services, American (New), Restaurants, and Shopping.

Key attributes include street parking availability, outdoor seating, and takeout options. It is noted as good for groups, but does not accept reservations and lacks WiFi. The ambiance is described as both classy and casual.

With an overall business rating of 3.5 stars, customer reviews offer mixed perspectives. Recent reviews highlight that the business has reopened and offers takeout, with mentions of a great lunch menu, good chorizo, good chips, huge salads, and friendly or amazing service. However, an older review indicates a perceived decline in food quality, describing it as ""humdrum standard food"" with little innovation, heavy on meat, and noting the absence of previously available lunch specials. This review also mentioned issues with bread quality and limited soup choices."
13632,"Sam's To Go is a restaurant located at 315 Meigs Rd, Ste I, Santa Barbara, CA. It specializes in Sandwiches, American (New) cuisine, and is categorized as a restaurant.

The business operates daily from 10:00 AM to 9:00 PM, except on Sundays when it closes earlier at 7:30 PM.

Key attributes include lot parking, outdoor seating, and free WiFi. Sam's To Go offers takeout and is suitable for groups, but does not accept reservations. No specific ambience is noted.

The business has an overall rating of 4.5 stars. Customer reviews highlight several aspects:
*   **Positive feedback** often praises the delicious sandwiches, fresh bread, and quality ingredients. Specific sandwiches mentioned positively include the #11 Italian cold cuts, #29 veggie sandwich, and Pastrami Avocado and Cheese. The turkey sandwich was also noted as a hit with a picky eater. Customer service is frequently described as excellent, with staff being sweet, nice, and funny. Reviewers also note that the medium-sized sandwiches are large.
*   **Negative feedback** from one review indicated a perceived decline in sandwich quality and taste, describing them as sloppily made and poorly wrapped. This review also cited poor customer service from a specific staff member, describing him as cantankerous, easily perturbed by requests, and having a ""smart alec - bad attitude demeanor."""
13633,"Viva Modern Mexican, located at 1114 State St in Santa Barbara, CA, is a business with an average rating of 3.5 stars. It operates as a restaurant offering Mexican, Latin American, Peruvian, seafood, and tapas/small plates, with categories also including Breakfast & Brunch, Bars, Cocktail Bars, Nightlife, and Venues & Event Spaces, providing Event Planning & Services.

The establishment offers garage and street parking, accepts reservations, provides outdoor seating, and has free WiFi. Takeout is available, and it is noted as good for groups. The ambience is described as classy.

Customer reviews highlight various experiences. One reviewer praised the margarita flights as the ""best fresh margaritas"" and noted the ""light fresh, flavorful salads,"" expressing sadness about the business's status. Another customer reported a severe case of food poisoning and an ankle injury from a dropped plate and glass. Conversely, a positive review commended the venue for hosting a rehearsal dinner and welcome party, specifically mentioning the delicious taco buffet, the helpful Events Coordinator Dina, and the amazing staff, recommending it for similar events or dinner."
13637,"Hollister Brewing Company is a restaurant, food establishment, and brewpub located at 6980 Marketplace Dr in Goleta, CA. It is categorized under Restaurants, Food, Breweries, American (Traditional), and Brewpubs, and holds an overall business rating of 3.5 stars.

The establishment operates daily from 11:30 AM, closing at 7:30 PM on Monday, Tuesday, Wednesday, Thursday, and Sunday, and at 8:00 PM on Friday and Saturday. It offers lot parking, accepts reservations, and provides outdoor seating. Free WiFi is available, and takeout is an option. Hollister Brewing Company is noted as being good for groups, with a casual and classy ambience.

Customer reviews highlight a mix of experiences. Some patrons appreciate the recent changes, including a new chef and menu, noting improved flavor in dishes like the Korean chicken wings, which are described as juicy. The availability of house-made dressings, a variety of house-brewed beers, a full bar, and wine are also mentioned positively. Its location in a large shopping area is seen as convenient.

Conversely, other reviews express dissatisfaction. Concerns include a preference for the old menu, perceived unfriendliness of staff, and allegations of bartenders and a manager drinking on the job. Slow service and long wait times for drink and food orders have also been reported."
13669,"Jeannine's American Bakery Restaurant is located at 7060 Hollister Ave, Ste 105 in Goleta, CA. It operates as a bakery and restaurant, specializing in American (Traditional) cuisine, Breakfast & Brunch, and Coffee & Tea.

The business is open Wednesday through Friday from 7:30 AM to 1:30 PM, and on Saturday and Sunday from 7:30 AM to 2:00 PM. It is closed on Monday. Parking is available in a lot. The establishment offers outdoor seating, free WiFi, and takeout services. Its ambiance is described as classy.

Jeannine's American Bakery Restaurant has an overall business rating of 4.5 stars.

Customer reviews offer mixed feedback. Positive comments highlight excellent food and service, with specific praise for the French toast, Avo toast, matcha lattes, tasty eggs with deep orange yolks, and smokey, crisp bacon. The fresh orange juice and the ""All American"" dish also received positive mentions, as did the ambiance and attentive service.

Conversely, negative feedback includes disappointment with the coffee, describing it as not great. One reviewer found the chilequiles to be bitter and the worst they had experienced, noted overcooked eggs despite specific requests, and found the fresh orange juice not tasty (contradicting another review). A croissant was also unfavorably compared to a store-bought alternative, and one customer felt the meal was a major letdown for the price."
