source_id,summary
15599,"Blue Bell ice cream has temporarily shut down its Broken Arrow, Oklahoma manufacturing plant following the discovery of listeria in a serving of ice cream originating from that facility. The Centers for Disease Control and Prevention (CDC) warned consumers not to eat 3-ounce Blue Bell servings made at the Broken Arrow plant marked with codes O, P, Q, R, S, or T, though this warning does not apply to other Blue Bell products. Listeria monocytogenes was found in a cup from a Kansas hospital (where an outbreak occurred) produced at the Broken Arrow plant, and additional samples from the plant also tested positive. While the listeria from the hospital cup and the plant sample matched genetically, they did not appear identical to samples from patients in the Kansas outbreak. However, in a separate Texas outbreak, listeria from patients matched recovered samples. The CDC investigation into whether Blue Bell products caused these illnesses is ongoing. This is the third action Blue Bell has taken related to the Kansas outbreak, where five people were infected and three died after consuming milkshakes potentially made with Blue Bell ice cream at a hospital. Blue Bell previously recalled products from a Texas plant and expressed deep concern, noting this is the company's first recall in its 108-year history. The CDC advises discarding any recalled products."
15601,"Following a Columbia Journalism School review finding institutional failures led to a flawed Rolling Stone article about a purported gang rape at the University of Virginia (UVA), the magazine apologized. The passage explores the potential for defamation lawsuits.

Key points regarding lawsuits:

*   **Defamation elements:** Requires publication of a false, defamatory statement with requisite intent. True statements and pure opinion are not actionable. Private individuals (likely the fraternity members) have a lower burden of proof than public figures, needing to show the defendant published a false statement about them causing harm, and did so knowingly, without reasonable basis, or negligently.
*   **UVA:** Cannot sue for defamation as it is a governmental entity.
*   **Phi Kappa Psi Fraternity:** As a group, it faces challenges. Generally, statements about groups aren't actionable by individual members unless the statement is ""of or concerning"" them. However, the ""small group"" exception might apply if the defamatory statement can be imputed to all members, allowing individuals to sue. Phi Kappa Psi would argue this exception applies, while Rolling Stone might argue the group is too large and fluid for individualized injury.
*   **Other Fraternities:** Members of the broader Greek community likely fall into a ""large group"" category, making lawsuits difficult.
*   **General Hurdles:** Defamation suits often require proof of financial harm, which can be difficult and costly to establish. However, the UVA case might overcome these hurdles if the fraternity members can establish standing under the group defamation rules and demonstrate tangible damages."
15604,"The author, the first woman and person of color elected to the Kentucky State Senate in 1967, critiques Rand Paul's presidential campaign announcement. She finds his message of ""expanding the Republican Party"" to be mere hype, arguing that his policies contradict his outreach efforts, particularly towards minority communities. The author points to Paul's record, including questioning the Civil Rights Act and Voting Rights Act, suggesting private businesses can discriminate, wanting to eliminate the Department of Education, seeking to limit women's choices, and opposing protections for DREAMers. She contrasts Paul's views with the importance of protecting voting rights and expanding democracy, concluding that his record demonstrates outdated, disqualifying views and that he seeks to dismantle progress made over the last five decades."
15613,"Mary Kay Letourneau Fualaau and Vili Fualaau, whose relationship began in 1996 when she was his 34-year-old teacher and he was her 13-year-old student, remain married. This relationship resulted in Letourneau serving over seven years in prison. They married shortly after her release in 2005, will celebrate their 10th anniversary on May 20, and have two teenage daughters together. An upcoming ABC ""20/20"" interview with Barbara Walters will feature the couple. According to ABC, Mary Kay (now 53) will discuss their marriage despite the age difference, her plans to teach again, and her desire to have her registered sex offender status lifted. Vili (now 31) will discuss his struggles with alcoholism and depression, and his belief that the system failed him as a minor."
15616,"Kanye West settled a civil lawsuit filed by photographer Daniel Ramos, whom West assaulted at Los Angeles International Airport in July 2013 while trying to take his camera. West had previously pleaded no contest to misdemeanor battery for the incident, receiving probation, anger management, and community service. The civil suit, which alleged West interfered with Ramos's right to pursue his occupation, was settled before trial. While details were undisclosed, Ramos's lawyer, Gloria Allred, stated a key part was an apology from West to Ramos, after which the two shook hands. Allred commented that the case sent a message that celebrities are not above the law and cannot physically attack people for asking questions. The original altercation, including West warning Ramos not to talk to him before the scuffle, was captured on video."
15617,"Blues legend B.B. King was hospitalized for dehydration resulting from his Type II diabetes. His daughter, Claudette King, reported he was feeling much better. B.B. King released a statement confirming his improvement and departure from the hospital that day. A publicist later stated he was resting at home. No further details on his condition or the hospital location were provided. The passage also notes that B.B. stands for Blues Boy, he is a Rock and Roll Hall of Fame inductee with 30 Grammy nominations, he names his Gibson guitars Lucille, and he previously cancelled a tour due to dehydration and exhaustion."
15623,"Indiana Pacers player Chris Copeland and his companion, Katrine Saltara, were stabbed early Wednesday morning after leaving the 1OAK nightclub in New York. According to the club, the incident occurred down the street near the Fulton Houses project, not at the venue itself, though 1OAK staff assisted Copeland upon his return. A suspect was detained by Copeland's driver and arrested; a knife was recovered. Copeland suffered wounds to his elbow and abdomen and is in stable condition; Saltara and another woman were also injured. Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, who were present but not involved in the stabbing, were arrested on charges including obstruction after allegedly interfering with police establishing a crime scene while checking on Copeland. The Hawks players will contest the charges. Both the Pacers and Hawks organizations, along with the NBA, are gathering information on the incident."
15627,"Twenty years after her death, Tejano star Selena's family is creating a ""hologram-like figure"" described as a ""walking, talking, singing and dancing digital embodiment"" of the singer. The project, called ""Selena the One,"" uses technology from Acrovirt LLC to create a ""Digitized Human Essence."" Selena's sister, Suzette Quintanilla, stated the goal is to help Selena's legacy grow and give new fans a sense of her, not to replace her. Selena will be the first figure to use this technology. Plans include releasing new songs and videos, collaborating with current artists, and a potential tour in 2018. An Indiegogo campaign aims to raise $500,000 to support the launch. While other artists like Michael Jackson and Tupac Shakur have had virtual performances, Quintanilla described this technology as a step forward. Selena remains popular, with millions of Facebook likes and ongoing fan tributes."
15628,"Alaska Airlines Flight 448, en route from Seattle to Los Angeles, returned shortly after takeoff when the pilot reported hearing banging from the cargo hold. Passengers also heard banging and faint yelling. Upon landing, a ramp agent employed by Menzies Aviation, a contractor for Alaska Airlines, was found inside. He told authorities he had fallen asleep. The cargo hold was pressurized and temperature-controlled, and the plane was only airborne for 14 minutes, so the agent was not in danger. He was taken to a hospital as a precaution, passed a drug test, and was discharged. His co-workers believed he had finished his shift and gone home after attempts to contact him before departure failed. Alaska Airlines is investigating the incident. The flight later continued to Los Angeles."
15634,"Emy Afalava, a decorated veteran born in American Samoa (a U.S. territory since 1900), believes he should be a citizen under the Fourteenth Amendment, which grants citizenship to those born in the United States and subject to its jurisdiction. Despite this, the federal government denies him citizenship and the right to vote. This situation is highlighted as an injustice, particularly as American Samoa recently marked 115 years with the U.S. Afalava and other American Samoans are pursuing citizenship through a federal lawsuit.

Historically, birth on U.S. soil conferred citizenship, with the Dred Scott decision being a notable, race-based exception later overturned by the 14th Amendment. In the early 20th century, racial prejudice influenced the treatment of residents in U.S. territories like Puerto Rico. In the case of Isabel Gonzalez, the Supreme Court ruled Puerto Ricans were not aliens but avoided declaring them citizens, influenced by views that islanders were racially unfit. This allowed officials to deny them full citizenship rights for years.

While inhabitants of all other U.S. island territories have since become citizens, American Samoans like Emy Afalava remain the last group born on U.S. soil who are denied citizenship."
